Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"During today’s COVID-19 update, I announced the State ended the fiscal year $360 million above our revised projection. Because of this, the State will be able to further fund the Public School Fund, Higher Education, and the Medicaid Trust Fund beyond our original projection.",276,2020-06-30 21:15:59,Twitter Web App,639,68,AsaHutchinson,1278074827723747330,,269992801,False,,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update (6.30.20):,85,2020-06-30 18:29:28,Twitter for iPhone,9,9,AsaHutchinson,1278032922969333760,,269992801,False,https://t.co/y7Z77qaS66,en,June,Q2
"I’m saddened to hear of the passing of Charles Ripley. “Coach Rip” understood that “student” is listed first in “student athlete” for a reason. His care and compassion for young people will be missed greatly, and his impact on the State of Arkansas will continue on.",266,2020-06-29 20:38:53,Twitter Web App,275,18,AsaHutchinson,1277703104604049414,,269992801,False,,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update (6.29.20):,85,2020-06-29 18:28:59,Twitter for iPhone,10,6,AsaHutchinson,1277670416648192001,,269992801,False,https://t.co/pbZela5AEQ,en,June,Q2
Have a restful Sunday.,46,2020-06-28 12:58:00,TweetDeck,422,40,AsaHutchinson,1277224731008274433,,269992801,False,https://t.co/x7hL4vZ8lA,en,June,Q2
Listen in Sunday as I answer questions on our current national health emergency.,104,2020-06-27 20:12:50,Twitter for iPhone,95,25,AsaHutchinson,1276971775335829505,,269992801,False,https://t.co/pLbKGZprjZ,en,June,Q2
"Today is Post Traumatic Stress Disorder (PTSD) awareness day. PTSD affects nearly 8 million people in the United States, and it affects veterans and civilians who have experienced a traumatic event in their lives.",213,2020-06-27 16:02:00,TweetDeck,219,55,AsaHutchinson,1276908648548249600,,269992801,False,,en,June,Q2
Very proud of the legislative effort on a hate crime law in Arkansas. Texas has one &amp; Georgia recently did so as well. This is the right step for Arkansas.,183,2020-06-26 21:56:17,Twitter for iPhone,195,31,AsaHutchinson,1276635421670285312,,269992801,False,https://t.co/19LTs5MvbG,en,June,Q2
"Today I announced the appointment of Rob Finley to the Arkansas Game and Fish Commission. His dedication to outdoor conservation in Arkansas is remarkable, and I am thankful for his willingness to serve on the Commission.",245,2020-06-26 21:12:35,TweetDeck,41,5,AsaHutchinson,1276624422246461443,,269992801,False,https://t.co/7k7SDSPR9b,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update (6.26.20):,85,2020-06-26 18:30:03,Twitter for iPhone,11,6,AsaHutchinson,1276583520392171522,,269992801,False,https://t.co/vbd94J9mWM,en,June,Q2
@blakerutherford Your comments are becoming increasingly harsh.  You are a thoughtful person and I always considered you to recognize the importance of civil discussion.  My door is always open if you wish to discuss any issue.,227,2020-06-26 12:50:55,Twitter for iPhone,15,0,AsaHutchinson,1276498173251338240,14483334.0,269992801,False,,en,June,Q2
"Today I was honored to attend a wreath-laying ceremony for those who served and lost their lives in the Korean War. Often referred to as the “Forgotten War,” I was grateful to remember their service today.",229,2020-06-25 21:51:47,Twitter for iPhone,222,14,AsaHutchinson,1276271900805795840,,269992801,False,https://t.co/xU2ripBDGg,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update (6.25.20):,85,2020-06-25 18:29:48,Twitter for iPhone,17,5,AsaHutchinson,1276221068584398851,,269992801,False,https://t.co/eX6C5Kf6c9,en,June,Q2
U of A Walton College has just been named as having the #1 Undergraduate Supply Chain program in America. A very big deal. Congrats!,156,2020-06-25 01:27:19,Twitter for iPhone,513,50,AsaHutchinson,1275963752773533696,,269992801,False,https://t.co/2VON12uF0n,en,June,Q2
During today’s COVID-19 update I announced the Department of Health will be doubling the number of those working in contact tracing to more than 700. Contact tracing is a critical tool being used by our public health officials to help best determine where COVID-19 is being spread,280,2020-06-24 21:52:43,Twitter Web App,140,21,AsaHutchinson,1275909747934363648,,269992801,False,,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update (6.24.20):,85,2020-06-24 18:30:25,Twitter for iPhone,11,7,AsaHutchinson,1275858836365205506,,269992801,False,https://t.co/1jkCdWodPx,en,June,Q2
"Today I provided our COVID-19 update from Mountain Home. While Baxter County has not seen the number of cases other parts of Arkansas have seen, we can’t let our guard down in response to COVID-19.",221,2020-06-24 00:21:57,Twitter for iPhone,104,12,AsaHutchinson,1275584915497799680,,269992801,False,https://t.co/JzrS5UaSv7,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update from Mountain Home (6.23.20):,104,2020-06-23 18:29:54,Twitter for iPhone,14,6,AsaHutchinson,1275496316689436672,,269992801,False,https://t.co/PaGAEUGzSb,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update (6.22.20):,85,2020-06-22 18:30:52,Twitter for iPhone,10,7,AsaHutchinson,1275134172726730753,,269992801,False,https://t.co/9gFiwy6064,en,June,Q2
Happy Father's Day!,43,2020-06-21 12:56:00,TweetDeck,285,31,AsaHutchinson,1274687512758366208,,269992801,False,https://t.co/rJwaHQBYox,en,June,Q2
"Well done @ARGOP for following public health guidelines at state committee meeting.  Well attended, distanced and safe.  Temperature checks  &amp; masks available &amp; worn as necessary.",211,2020-06-20 20:19:03,Twitter for iPhone,107,10,AsaHutchinson,1274436623812505600,,269992801,False,https://t.co/80vQWkrBJP,en,June,Q2
"This past week, we received another shipment of N-95 masks for the state. These masks will be distributed all across Arkansas as we continue to deal with COVID-19.",187,2020-06-20 16:35:00,TweetDeck,196,22,AsaHutchinson,1274380238408028161,,269992801,False,https://t.co/cQVlX4MnPt,en,June,Q2
"The Arkansas unemployment percentage for the month of May was 9.5%, nearly four points below the national average. While this number is still higher than we would like to see, it’s great to see an economy bringing Arkansans back to work.",237,2020-06-20 12:00:00,TweetDeck,488,48,AsaHutchinson,1274311033864155137,,269992801,False,,en,June,Q2
"During today’s COVID-19 update, I once again stressed the importance of wearing a face covering with new guidance from the Department of Health. We must be vigilant in the fight against this virus as we continue to go about our daily lives.",264,2020-06-19 20:51:53,Twitter Web App,171,66,AsaHutchinson,1274082496725073921,,269992801,False,https://t.co/SzDpnv8RXM,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update (6.19.20):,85,2020-06-19 18:29:38,Twitter for iPhone,9,8,AsaHutchinson,1274046701121286145,,269992801,False,https://t.co/0HYufXzaTn,en,June,Q2
Thank you to @USDOT for funding to improve US-67 in Arkansas! I am grateful for the work @myARDOT does to continually improve our highways across the state.,180,2020-06-19 16:11:23,Twitter Web App,176,17,AsaHutchinson,1274011907196887044,,269992801,False,https://t.co/QXVv8y5XII,en,June,Q2
"Today we celebrate Juneteenth as the end of slavery in the United States. We recognize the struggle that African Americans continue to have as we work for a more equitable society, with liberty and justice for all.",238,2020-06-19 12:06:30,Twitter Web App,344,53,AsaHutchinson,1273950282116935681,,269992801,False,https://t.co/PYN9ZLR1e2,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update from Fort Smith (6.18.20):,101,2020-06-18 18:30:13,Twitter for iPhone,19,8,AsaHutchinson,1273684458374336514,,269992801,False,https://t.co/HMMvig4Lyy,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update (6.17.20):,85,2020-06-17 18:29:04,Twitter for iPhone,16,4,AsaHutchinson,1273321781902917633,,269992801,False,https://t.co/2IbnwMEBlx,en,June,Q2
"Yesterday, I was able to provide a COVID-19 update from Hot Springs. I am grateful for the work done by the officials in Hot Springs and Garland County in battling COVID-19 in their community.",216,2020-06-17 12:05:00,TweetDeck,99,4,AsaHutchinson,1273225127094890498,,269992801,False,https://t.co/rrQG8HTuFm,en,June,Q2
"Throughout the COVID-19 pandemic, Arkansas companies have adapted to the changing economic environment in our state. Vulcan Sporting Goods Co. in Hot Springs has shifted some of its production to top quality masks for athletes and sportsmen. Very proud of them!",285,2020-06-16 21:58:09,Twitter Web App,86,13,AsaHutchinson,1273012009399975940,,269992801,False,https://t.co/K1rqJiQmTj,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update from Hot Springs (6.16.20):,102,2020-06-16 18:28:58,Twitter for iPhone,17,8,AsaHutchinson,1272959366694670337,,269992801,False,https://t.co/uOauvHQBKh,en,June,Q2
LIVE: Governor Hutchinson Provides COVID-19 Update (6.15.20):,85,2020-06-15 18:28:58,Twitter for iPhone,13,4,AsaHutchinson,1272596980922028032,,269992801,False,https://t.co/UAFkD1w7fz,en,June,Q2
"184 years ago, Arkansas became the 25th state to be admitted to the Union. Arkansas has changed a lot since 1836, and I am confident our best days are ahead of us.",163,2020-06-15 12:50:11,Twitter for iPhone,890,108,AsaHutchinson,1272511722201526272,,269992801,False,,en,June,Q2
"The Second Continental Congress adopted the flag of the United States on this day in 1777. It has undergone a number of changes in the past 243 years, but remains a symbol of freedom to people all across the world.",238,2020-06-14 15:59:55,Twitter for iPhone,545,89,AsaHutchinson,1272197082233942016,,269992801,False,https://t.co/5MPQ52eoX3,en,June,Q2
