Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"Rudolfo Anaya, perhaps better than any other author, truly captured what it means to be a New Mexican, what it means to be born here, grow up here and live here.",185,2020-06-30 19:42:02,Twitter Web App,334,73,GovMLG,1278051184306122752,,1070083706822438912,False,https://t.co/ufG37DhexI,en,June,Q2
"I'm deeply saddened to hear of the death of Rudolfo Anaya, one of New Mexico’s greatest artists.

While his passing is a great loss for New Mexico, his life &amp; his work was an incredible gift, not just to New Mexico but to the world. His words &amp; stories will be treasured forever.",311,2020-06-30 19:35:36,Twitter Web App,651,136,GovMLG,1278049568752414720,,1070083706822438912,False,https://t.co/RMtKhnfhoS,en,June,Q2
"I was glad to sign HB 6 into law yesterday to support New Mexico taxpayers and businesses.

The financial pain caused by #COVID19 is real, and this legislation will help New Mexicans who through no fault of their own were unable to pay their taxes on time.",280,2020-06-30 16:25:27,Twitter Web App,103,15,GovMLG,1278001714604343296,,1070083706822438912,False,https://t.co/7xD3Op3d48,en,June,Q2
"I am proud to lead a New Mexico that recognizes every New Mexican as equal. Be you, be proud.

Happy #PrideMonth!",137,2020-06-30 15:40:10,Twitter Web App,187,23,GovMLG,1277990319263383552,1.0700837068224389e+18,1070083706822438912,False,https://t.co/yDNYAQpfVa,en,June,Q2
"- Cutting through discriminatory red tape to ensure trans New Mexicans can correctly represent their gender identity on official documents without burdensome requirements

- Ensuring that employees cannot be discriminated against due to their sexual orientation or gender identity",280,2020-06-30 15:40:10,Twitter Web App,114,12,GovMLG,1277990318189588481,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"Since taking office, I am been immensely proud to sign critical legislation cementing protections &amp; gains for the LGBTQ+ community, including:

- The inclusion of the protection of sexual orientation &amp; gender identity in school bullying codes

- Access to gender-neutral bathrooms",288,2020-06-30 15:40:09,Twitter Web App,76,6,GovMLG,1277990316000243712,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"As #PrideMonth draws to a close, it's important to me that every LGBTQ+ New Mexican knows that here in New Mexico, they are valued and protected.

My administration will always work to welcome and support those of all sexual orientations and gender identities.",260,2020-06-30 15:40:09,Twitter Web App,631,80,GovMLG,1277990313890508801,,1070083706822438912,False,,en,June,Q2
"Today's #COVID19 update:

- 173 new COVID-19 cases, totaling 11,982 cases statewide

- One additional death, bringing the total to 493 deaths statewide

- 119 individuals currently hospitalized with COVID-19 statewide

More info here:",282,2020-06-29 22:18:41,Twitter Web App,128,42,GovMLG,1277728221547520000,,1070083706822438912,False,https://t.co/Q8aWwv2nax,en,June,Q2
"Thank you @SFCCNM and @WCKitchen for your incredible work serving 50,000 meals to New Mexicans in need! #AllTogetherNM",142,2020-06-29 17:54:05,Twitter Web App,466,71,GovMLG,1277661631535673344,,1070083706822438912,False,https://t.co/wCfoPKRlSp,en,June,Q2
Access to abortion is access to health care. Period.,76,2020-06-29 15:40:18,Twitter for iPhone,2477,398,GovMLG,1277627965593972737,,1070083706822438912,False,https://t.co/2GgfaGKk2w,en,June,Q2
"Today's #COVID19 update:

- 192 new COVID-19 cases, totaling 11,809 cases statewide

- One additional death, bringing the total to 492 deaths statewide

- 114 individuals currently hospitalized with COVID-19 statewide

More info here:",282,2020-06-28 23:35:06,Twitter Web App,128,42,GovMLG,1277385062435090433,,1070083706822438912,False,https://t.co/cU4kD4xmdE,en,June,Q2
"I'd also like to give a shout out to our runner up, Linda Hettich of Albuquerque!

Thank you, New Mexico, for making &amp; wearing these wonderful face masks.

Don't forget, the most important thing is that you wear them while in public &amp; around others. Wear a mask, slow the spread.",311,2020-06-28 21:05:07,Twitter Web App,189,20,GovMLG,1277347318614769665,1.0700837068224389e+18,1070083706822438912,False,https://t.co/NIKZkSi4uj,en,June,Q2
"Face coverings are critical to slowing the spread of COVID-19 and living in a COVID-positive world.

So many New Mexicans submitted incredible pictures of their masks for New Mexico's Mask Madness competition.

Your votes are in, and the winner is: Andrew Garmon of Santa Fe!",299,2020-06-28 21:05:07,Twitter Web App,237,26,GovMLG,1277347317130002432,,1070083706822438912,False,https://t.co/Mn043RjaRl,en,June,Q2
"New Mexico: face masks are still required in any and all public settings.

Wearing a mask is not a political statement – it’s proof that you value the life &amp; health of your loved ones and your community.

Face coverings significantly reduce the spread of COVID-19 – do your part.",307,2020-06-28 18:45:47,Twitter for iPhone,2020,638,GovMLG,1277312253604196352,,1070083706822438912,False,https://t.co/lTzGwzA0Lm,en,June,Q2
"Today's #COVID19 update:

- 209 new COVID-19 cases, totaling 11,619 cases statewide

- Two additional deaths, bringing the total to 491 deaths statewide

- 122 individuals currently hospitalized with COVID-19 statewide

More info here:",283,2020-06-27 23:16:57,Twitter Web App,129,45,GovMLG,1277018110218792960,,1070083706822438912,False,https://t.co/h7eFt8GHks,en,June,Q2
"I know New Mexicans are disappointed that the state fair is canceled – I am too. We didn’t ask for this virus, but we’ve got it, and we’ve got to beat it – and that means avoiding large groups and events. I'm confident that the state fair will be back next year, better than ever.",304,2020-06-27 17:04:24,Twitter Media Studio,756,83,GovMLG,1276924350948499457,,1070083706822438912,False,https://t.co/lyUbfJrs7i,en,June,Q2
"Today's #COVID19 update:

- 225 new COVID-19 cases, totaling 11,408 cases statewide

- Four additional deaths, bringing the total to 489 deaths statewide

- 128 individuals currently hospitalized with COVID-19 statewide

More info here:",284,2020-06-26 23:25:37,Twitter Web App,111,37,GovMLG,1276657902623703040,,1070083706822438912,False,https://t.co/MQfVkl0OyH,en,June,Q2
"Today I granted pardons to 19 individuals, all of whom have shown themselves to be reformed and contributing members of society.

Forgiveness is an exercise in compassion, and I am humbled by the opportunity to grant executive clemency.

🔗:",264,2020-06-26 21:05:22,Twitter Web App,1093,106,GovMLG,1276622604695072770,,1070083706822438912,False,https://t.co/x8xcE1htE2,en,June,Q2
"The worst thing we can do is move backward.

In New Mexico we will be safe, methodical and smart as we learn to live in a COVID-positive world.

Please - help me, help your neighbors and help your state keep this virus under control.",257,2020-06-26 16:30:27,Twitter Web App,218,29,GovMLG,1276553421986783233,1.0700837068224389e+18,1070083706822438912,False,https://t.co/BBlG5EL1R0,en,June,Q2
"New Mexico's COVID-19 transmission rate is rising again.

The states around us are seeing record numbers of daily new cases.

Your health and safety, and that of your community, is the number one priority.",229,2020-06-26 16:30:27,Twitter Web App,503,117,GovMLG,1276553420959182849,,1070083706822438912,False,https://t.co/LOnFBXntjX,en,June,Q2
"Anyone traveling into New Mexico by car should absolutely self-isolate for 14 days upon arrival.

COVID-19 spread due to travel continues to remain a problem. Do not place yourself or your community at risk. Do not travel unless absolutely essential.",274,2020-06-25 23:35:23,Twitter Web App,687,247,GovMLG,1276297972284747776,,1070083706822438912,False,https://t.co/fU9s49xbwv,en,June,Q2
"It is more important than ever that you wear a face mask, wash your hands, maintain physical distancing do not gather with groups of people.

Reopening does not mean relaxing. We must remain vigilant in our fight against the virus.

#MaskUp #ProtectNM #AllTogetherNM",290,2020-06-25 23:30:08,Twitter Web App,128,40,GovMLG,1276296650307170304,1.0700837068224389e+18,1070083706822438912,False,https://t.co/dmqEzfjGzC,en,June,Q2
