Tweets,Length,Date,Source,Favourites,RTs,Username,id_str
"I wanted to take a moment to acknowledge my dad, a strong and successful black man. Because of him, both @nicolashamilton and I have careers, strong mindedness and determination. He has always been my hero. Happy 60th Birthday dad🖤 #blackexcellence #happybirthday https://t.co/CHBnbq0TjG",287,2020-05-31 17:15:27,Twitter Web App,56494,3754,LewisHamilton,1267142661808574464
#BlackLivesMatter https://t.co/sBAP5vxLSh,41,2020-05-30 14:16:50,Twitter for iPhone,42026,11672,LewisHamilton,1266735322341277697
@WFP 🙏🏾,7,2020-05-29 10:02:18,Twitter Web App,50,4,LewisHamilton,1266308881019527169
"No one should go hungry. Due to the effects of Covid-19, more people than ever are finding themselves without food. Find out how you can support a family in need via @WFP here https://t.co/4u0Tt8xqv2 #MissingThisMeal https://t.co/fMHLGeZytU",240,2020-05-28 15:30:37,Twitter Web App,2384,330,LewisHamilton,1266029115938930689
@MercedesAMGF1 😂,16,2020-05-27 16:04:18,Twitter Web App,2346,61,LewisHamilton,1265675205994852359
@NASA @Astro_Doug 🙌🏾,20,2020-05-27 15:47:57,Twitter Web App,561,16,LewisHamilton,1265671090929623040
"My friend @Astro_Doug is heading to the International Space Station today! 
Who else is tuning in to watch #LaunchAmerica ? https://t.co/sz5A7FSngI",147,2020-05-27 15:01:02,Twitter Web App,20522,1253,LewisHamilton,1265659284723060740
"Throwing it back to this moment. Such an incredible feeling. I can’t wait to be back behind the wheel
#throwbackthursday
📸: @MSI_Images https://t.co/qREQFjkdOU",159,2020-05-21 17:02:06,Twitter for iPhone,10164,805,LewisHamilton,1263515423527632898
We miss you Niki ♥️ https://t.co/8IjvDgLzcX,43,2020-05-20 14:02:46,Twitter Web App,38028,3076,LewisHamilton,1263107906104373250
"RT @BBCBreakfast: ""I am in awe of you""
@LewisHamilton has this message for @captaintommoore - soon-to-be #SirCaptainTomMoore
More here: htt…",140,2020-05-20 08:57:36,Twitter Web App,0,353,LewisHamilton,1263031108406558721
"RT @MercedesAMGF1: Catching up with @LewisHamilton! 🖥️

We sat down for a chat with the Champ and spoke about mental health, keeping a posi…",140,2020-05-19 10:59:45,Twitter Web App,0,238,LewisHamilton,1262699459970043904
@MercedesAMGF1 🙌🏾,17,2020-05-09 12:01:03,Twitter for iPhone,1325,58,LewisHamilton,1259091008324882434
"RT @MercedesAMGF1: Training hard 💪
Future planning 👀
Learning a new language 💬
Attempting his own Gran Turismo lap record challenge! 🎮

Cat…",140,2020-05-09 11:58:15,Twitter for iPhone,0,372,LewisHamilton,1259090302691917824
"Throwback to the Met Gala 2019 👀
I don’t think there is an event in the world where people put so much work and effort into making their looks the best it can possibly be. Such a vast eclectic group of talented and inspiring people. 
#MetGala https://t.co/nrDr7xRwPu",266,2020-05-05 11:39:12,Twitter for iPhone,7473,587,LewisHamilton,1257635958272507909
@joejonas 🙌🏾,12,2020-05-01 16:27:39,Twitter Web App,327,16,LewisHamilton,1256258994081054723
"So much fun exploring Paris with @joejonas! Go check out the latest episode of #CupOfJoe. 
Out on @Quibi now 🙌🏾 https://t.co/nkqSTzJif4",135,2020-05-01 16:04:41,Twitter for iPhone,5330,527,LewisHamilton,1256253215118589953
"Fun catching up with @StyleMagazineIt 👓
Sending you all love and positivity in these difficult times #TeamLH.
@PoliceLifestyle 
👉🏾https://t.co/qjCQu7uBKp https://t.co/UYfGXB4omT",177,2020-04-30 14:42:46,Twitter for iPhone,4755,378,LewisHamilton,1255870215474339842
https://t.co/8vRq6ovewD,23,2020-04-27 13:22:54,Twitter for iPhone,18252,2470,LewisHamilton,1254762952386740225
Proud to be working with you guys @NeatBurger_  🙌🏾 https://t.co/05p0mlRrOB,74,2020-04-27 12:09:36,Twitter for iPhone,2649,214,LewisHamilton,1254744503455547393
If only... https://t.co/PFCf7iMuP2,34,2020-04-25 13:44:40,Twitter for iPhone,79042,8571,LewisHamilton,1254043654886490112
@MercedesAMGF1 @emmarcmarquez Wow! This is Incredible 🔥,55,2020-04-24 09:37:59,Twitter Web App,2732,97,LewisHamilton,1253619184602406913
@loopylarner @TheF1Nerds @MercedesAMGF1 Happy Birthday Callum! Hope you have a great one 🙌🏾,91,2020-04-20 13:44:08,Twitter Web App,1118,32,LewisHamilton,1252231580086484992
"@captaintommoore @NHSuk My grandad would have been 100 this year and he served at the same time as he did. You are my hero, and a hero to so many 🙏🏾",148,2020-04-17 18:42:07,Twitter for iPhone,3342,122,LewisHamilton,1251219404320321538
Healthcare workers on the frontlines of the COVID-19 crisis need our support. That’s why I’m joining forces with @GlblCtzn and the @WHO for One World: #TogetherAtHome — a one-night special event on April 18. Join me and take action now:https://t.co/mGIm2bs1uZ https://t.co/jp7Tr5ZFCO,283,2020-04-17 16:39:52,Twitter for iPhone,3271,440,LewisHamilton,1251188641294139393
"What a legend! Captain Tom Moore is a total inspiration, raising over £13million for the NHS by walking 100 laps of his garden. I am blown away by his amazing achievement. Congratulations Captain Tom, we could all learn something from you! https://t.co/KoglN5YNeO",263,2020-04-16 11:45:43,Twitter for iPhone,37324,2907,LewisHamilton,1250752226408173568
🙌🏾 https://t.co/IACOQafT99,26,2020-04-15 14:11:36,Twitter Web App,5981,390,LewisHamilton,1250426551247581186
"Today we say goodbye to Sir Stirling Moss, the racing legend. I certainly will miss our conversations. I am truly grateful to have had these special moments with him. Sending my prayers and thoughts to his family. May he rest in peace🙏🏾 https://t.co/SDUAqxENHk",260,2020-04-12 13:22:03,Twitter for iPhone,41859,4866,LewisHamilton,1249326917569961985
