Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"Justin Trudeau outsourced a $900 million program to a charity with close ties to the Liberal Party. That’s outrageous!
Conservatives have asked the Auditor General to investigate.
You deserve to know how your tax dollars are being spent.",262,2020-06-30 18:27:11,TweetDeck,1245,408,andrewscheer,1278032349024989186,,256360738,False,https://t.co/tJipY3Tfx9,en,June,Q2
"The Chinese Communist Party hunts for children, sends parents to detention camps and imposes forced mass sterilization on Uyghur women. Using population control to oppress them and suppress minority birth rates is despicable. Trudeau and the international community must respond.",303,2020-06-30 17:52:24,TweetDeck,717,336,andrewscheer,1278023597831925776,,256360738,False,https://t.co/TPmaNaonc0,en,June,Q2
"Canada’s Conservatives condemn Beijing’s unilateral move to impose a ""security law"" on Hong Kong. This directly undermines its heritage of freedom and the rule of law. Justin Trudeau must do the right thing and stand up for the democratic aspirations of Hong Kongers.",267,2020-06-30 17:18:35,TweetDeck,789,247,andrewscheer,1278015086771294212,,256360738,False,,en,June,Q2
"11 years ago today, we lost my friend Dave and he is still dearly missed.

I encourage anyone struggling with their mental health to reach out for support and remember that you are not alone.",215,2020-06-30 00:01:19,Twitter for iPhone,331,51,andrewscheer,1277754047295094785,,256360738,False,https://t.co/rhQWpO3q6y,en,June,Q2
"Conservatives believe it should always pay to work. 

Our #BackToWorkBonus will support Canadians as they transition back into the workforce.

All while ensuring a more flexible and generous CERB.",220,2020-06-29 20:14:00,TweetDeck,103,22,andrewscheer,1277696841967075328,,256360738,False,https://t.co/C2KG6OCfpk,en,June,Q2
"Private sector growth will be integral to Canada’s economic recovery. 
 
Earlier this week I announced the #BackToWorkBonus to help workers and small businesses. 
 
I spoke with @simisara980 on @CKNW about our plan to support YOU.",254,2020-06-29 14:59:00,Twitter Media Studio,89,25,andrewscheer,1277617569730564097,,256360738,False,https://t.co/oPXNUrgAje,en,June,Q2
First Trudeau says he doesn’t think Canada is the best country in the world. Now the Liberal media is issuing trigger warnings for the 🇨🇦. I will wave the 🇨🇦 proudly and celebrate the hope and opportunity our great country means to people fleeing violence and discrimination.,299,2020-06-28 21:14:13,Twitter for iPhone,1637,458,andrewscheer,1277349611267674113,,256360738,False,https://t.co/Snv6Rq4ADu,en,June,Q2
"Hard work, innovation, and Canadians’ entrepreneurial spirit will drive our economic recovery. 

Conservatives are committed to giving workers and businesses a helping hand with the #BackToWorkBonus.",223,2020-06-28 20:03:00,TweetDeck,68,13,andrewscheer,1277331686095835140,,256360738,False,https://t.co/GbSWKsDGOG,en,June,Q2
"Justin Trudeau’s all or nothing CERB approach is hurting Canadians.
 
Conservatives are committed to making the CERB more flexible and generous with the #BackToWorkBonus.
 
Constructive solutions like this will get Canada back on its feet.",263,2020-06-28 16:47:00,TweetDeck,422,118,andrewscheer,1277282360812134405,,256360738,False,https://t.co/hsxqGK7zyK,en,June,Q2
"China is: 
- Illegally detaining Canadian citizens 
- Blocking Canadian exports
 
Trudeau’s response? 
Weak leadership.",143,2020-06-28 00:09:00,Twitter Media Studio,931,281,andrewscheer,1277031206010466308,,256360738,False,https://t.co/om0YUnQ1hy,en,June,Q2
"You shouldn’t be penalized for going back to work.
 
That’s why Conservatives are proposing the #BackToWorkBonus.
 
We are focused on getting Canadians the help they need.",195,2020-06-27 19:02:00,TweetDeck,212,59,andrewscheer,1276953947140509699,,256360738,False,https://t.co/on7E9TMj0F,en,June,Q2
Today we proudly celebrate Canadian Multiculturalism Day. Canada’s Conservatives pay tribute to the millions of Canadians whose families have come from all over the world and we celebrate the freedoms that make our nation great.,252,2020-06-27 15:50:26,TweetDeck,57,14,andrewscheer,1276905738292559874,,256360738,False,https://t.co/mLd7ZIh2WT,en,June,Q2
"Conservatives are committed to helping Canadians get back on their feet.
A more generous and flexible CERB will help workers as they head back to work and local businesses as they reopen.
The #BackToWorkBonus is part of our Conservative plan to help YOU.",278,2020-06-27 13:32:31,TweetDeck,330,78,andrewscheer,1276871031798599681,,256360738,False,https://t.co/uXtijFEA5i,en,June,Q2
"#BackToWorkBonus 
 
I’m announcing a Conservative proposal to help workers and local businesses as they reopen.
 
WATCH LIVE:",149,2020-06-25 17:06:01,TweetDeck,156,53,andrewscheer,1276199982559899650,,256360738,False,https://t.co/CkLP3Ky8R7,en,June,Q2
"Throughout the pandemic Justin Trudeau has been wrong or slow to act.
 
His inaction has cost Canadians. 
 
Conservatives advocated for stronger border measures early on.
 
Who do you trust to lead Canada through the recovery?",250,2020-06-25 00:08:00,TweetDeck,608,150,andrewscheer,1275943790520356864,,256360738,False,https://t.co/M8l2oYKStL,en,June,Q2
Canada entered the pandemic in a weakened and vulnerable position because Trudeau spent the cupboards bare when times were good. He’s abandoned his own fiscal anchors. Under his watch Canada has now lost its AAA rating. He’s letting you down.,266,2020-06-24 19:58:52,Twitter for iPhone,1699,585,andrewscheer,1275881094915731458,,256360738,False,https://t.co/SMI6SZixmI,en,June,Q2
"Over the past 5 years, Justin Trudeau: 

-Sold out our Canadian principles 
-Cozied up to dictators and despots 
-Put our soldiers in harms way 

He came home empty handed. 

Was it worth it?",215,2020-06-24 17:54:00,TweetDeck,455,177,andrewscheer,1275849670439260161,,256360738,False,https://t.co/xdHUIbsYOG,en,June,Q2
No Canadian should ever be targeted because of his or her ethnicity. Anti-Asian prejudice is always unacceptable.,137,2020-06-24 14:32:00,TweetDeck,184,25,andrewscheer,1275798835806138369,,256360738,False,https://t.co/ucXBwnwaRF,en,June,Q2
"This article is pure Liberal spin!

Trudeau shut down Parliament, won't fix his programs, won't fund the AG's office so YOU can see how YOUR tax $$ are being spent.

Media: but CPC MPs are watching on TV instead of on the computer...

CPC MPs filled 100% of our available slots.",302,2020-06-23 15:25:59,Twitter for iPhone,1048,459,andrewscheer,1275450033798647822,,256360738,False,https://t.co/SCPt6o5Vil,en,June,Q2
"Today marks the 35th anniversary of the Air India bombing and the National Day of Remembrance for Victims of Terrorism. As we commemorate and honour the victims, we strengthen our resolve to fight for a safer world free of terrorism.",257,2020-06-23 13:37:05,TweetDeck,162,48,andrewscheer,1275422629537734658,,256360738,False,https://t.co/Wa3xHfbsXD,en,June,Q2
"Justin Trudeau’s latest embarrassment on the world stage.  
 
Was it worth it?",102,2020-06-23 02:12:16,Twitter Media Studio,1282,456,andrewscheer,1275250287599632386,,256360738,False,https://t.co/j1Gafuat9h,en,June,Q2
Justin Trudeau refused to provide an economic update for weeks. Just releasing a “snapshot” next month is not good enough and it lets Canadians down. It’s time for the full picture.,205,2020-06-22 19:53:49,TweetDeck,784,236,andrewscheer,1275155050072018950,,256360738,False,https://t.co/mDRfXHWOxF,en,June,Q2
"14 years ago, our former Conservative government offered an official apology for the Chinese Head Tax. All Canadians should be free to pursue their dreams regardless of race or ethnicity. Conservatives will always fight to see that right protected.",272,2020-06-22 13:27:57,Twitter for iPhone,214,50,andrewscheer,1275057943441027072,,256360738,False,https://t.co/M1HyKd3yB0,en,June,Q2
"Canadians have been illegally detained. 
 
Our exports have been blocked. 
 
Our citizens harassed.

Medical equipment we’ve received has been defective or contaminated. 
 
And Trudeau has done nothing.
 
His weak leadership and naïve approach to Beijing have let Canadians down.",303,2020-06-22 00:54:41,Twitter Media Studio,2190,781,andrewscheer,1274868377673175040,,256360738,False,https://t.co/YLGdQHGBjR,en,June,Q2
"Today we’re recognizing and celebrating the unique heritage, cultures and achievements of Canada’s First Nations, Inuit and Métis peoples. Happy National Indigenous Peoples Day!",201,2020-06-21 13:32:37,Twitter for iPhone,95,23,andrewscheer,1274696727073902592,,256360738,False,https://t.co/Sy3XrttdpS,en,June,Q2
"The pandemic has been difficult for all Canadians. Many fathers have embraced new and important responsibilities. Some lost their jobs. Others are separated from their family as they serve on the front lines. No matter what role you've taken on, thank you and Happy Father’s Day!",303,2020-06-21 13:11:57,TweetDeck,431,75,andrewscheer,1274691529844633607,,256360738,False,https://t.co/AHwvQx5HhY,en,June,Q2
No one is buying what the Liberals are selling.,71,2020-06-21 01:24:20,Twitter Media Studio,1463,467,andrewscheer,1274513448982978567,,256360738,False,https://t.co/kPMFW6ayDE,en,June,Q2
