username,year,month,num_covid_mentions,num_words_total,num_covid_tweets,total_num_tweets
JustinTrudeau,2020,MarToJun,315,13417,252,752
JustinTrudeau,2020,March,111,3964,95,224
JustinTrudeau,2020,April,66,3390,54,191
JustinTrudeau,2020,May,78,3206,58,183
JustinTrudeau,2020,June,60,2857,45,154
realDonaldTrump,2020,MarToJun,138,22958,125,1754
realDonaldTrump,2020,March,61,5251,57,415
realDonaldTrump,2020,April,33,4418,30,341
realDonaldTrump,2020,May,33,6702,28,510
realDonaldTrump,2020,June,11,6587,10,488
andrewscheer,2020,MarToJun,93,7070,81,402
andrewscheer,2020,March,30,1794,28,104
andrewscheer,2020,April,32,2199,26,120
andrewscheer,2020,May,19,1653,16,98
andrewscheer,2020,June,12,1424,11,80
aoc,2020,MarToJun,61,8930,51,518
aoc,2020,March,26,3458,24,182
aoc,2020,April,25,2103,20,111
aoc,2020,May,8,1663,5,112
aoc,2020,June,2,1706,2,113
AsaHutchinson,2020,MarToJun,276,7184,254,480
AsaHutchinson,2020,March,90,2187,78,142
AsaHutchinson,2020,April,84,2647,81,163
AsaHutchinson,2020,May,55,1485,54,104
AsaHutchinson,2020,June,47,865,41,71
BrianKempGA,2020,MarToJun,76,3139,66,179
BrianKempGA,2020,March,27,1062,23,63
BrianKempGA,2020,April,12,819,11,44
BrianKempGA,2020,May,26,685,22,40
BrianKempGA,2020,June,11,573,10,32
DougBurgum,2020,MarToJun,178,4828,152,270
DougBurgum,2020,March,73,1686,56,91
DougBurgum,2020,April,59,1411,54,82
DougBurgum,2020,May,31,1007,29,59
DougBurgum,2020,June,15,724,13,38
dougducey,2020,MarToJun,71,19960,69,1305
dougducey,2020,March,25,6810,24,457
dougducey,2020,April,17,5767,17,387
dougducey,2020,May,15,4256,15,263
dougducey,2020,June,14,3127,13,198
fordnation,2020,MarToJun,245,11461,236,774
fordnation,2020,March,51,2601,48,184
fordnation,2020,April,73,3333,71,243
fordnation,2020,May,66,2737,65,179
fordnation,2020,June,55,2790,52,168
GavinNewsom,2020,MarToJun,19,4536,19,365
GavinNewsom,2020,March,10,1040,10,88
GavinNewsom,2020,April,3,1817,3,134
GavinNewsom,2020,May,3,901,3,71
GavinNewsom,2020,June,3,778,3,72
govabbott,2020,MarToJun,39,4255,38,237
govabbott,2020,March,19,1603,19,86
govabbott,2020,April,10,1448,10,82
govabbott,2020,May,8,852,7,47
