Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"Sat down w/ @uarizona Pres. Dr. Robbins to discuss the latest on #COVID19 &amp; our universities’ work to protect public health &amp; provide flexibility to students in the coming months. A medical doctor, @UArizonaPres has worked with AZ to combat this virus and expand antibody testing.",312,2020-06-30 20:07:42,Twitter Web App,54,11,dougducey,1278057644180168705,,20217019,False,https://t.co/DwCdgfGUGw,en,June,Q2
"Returning The Favor, a series hosted by Mike Rowe, featured The Wildland Firefighter Guardian Institute in 2018. It was an honor to join @mikeroweworks, family of #Yarnell19 and supporters two years ago at the Granite Mountain Hotshots Memorial State Park to honor the fallen.",300,2020-06-30 20:02:04,Twitter Media Studio,67,12,dougducey,1278056227637915648,,20217019,False,https://t.co/DYwuvxib0X,en,June,Q2
@SonoraQuestLabs @BannerHealth @DignityHealthAZ 3/3,51,2020-06-30 19:14:49,Twitter Web App,16,0,dougducey,1278044338753163264,20217019.0,20217019,False,,en,June,Q2
We’re grateful for the continued partnership from our health leaders. @AZDHS @navajodephealth @Maricopahealth @CPLCdotORG @DavidAdameCPLC @HealthSystemsAZ @azhospitalassn @ArizonaMedicine @ArizonaNurses @ASUResearch @UArizonaPres 2/,232,2020-06-30 19:14:32,Twitter Web App,27,2,dougducey,1278044264769806336,20217019.0,20217019,False,,en,June,Q2
"We were joined by Dr. Birx and health and community leaders from around the state to discuss continued efforts to contain the spread of #COVID19. Arizona’s focused on expanding testing and amplifying contact tracing, while pausing high-risk activities. 1/",279,2020-06-30 19:13:33,Twitter Web App,100,26,dougducey,1278044016429330434,,20217019,False,https://t.co/xT9l1lmysp,en,June,Q2
Flags at all state buildings are at half-staff today to honor the 19 Granite Mountain Hotshots. #Yarnell19,130,2020-06-30 18:38:46,Twitter for iPhone,362,71,dougducey,1278035264061837312,,20217019,False,https://t.co/Yt1vHT27R4,en,June,Q2
"She led the fight against the HIV/AIDS epidemic, and has received international recognition for her work in HIV/AIDS immunology, vaccine research and global health. We’re grateful for her continued advice &amp; partnership and that of the entire Administration to combat #COVID19. 2/2",284,2020-06-30 17:02:16,Twitter Web App,77,9,dougducey,1278010981545734144,20217019.0,20217019,False,,en,June,Q2
We’re proud to welcome Dr. Deborah Birx to Arizona. Dr. Birx is the Coronavirus Response Coordinator for the @WhiteHouse Coronavirus Task Force. She’s a world-renowned medical expert with more than three decades of public health experience at the highest levels. 1/,289,2020-06-30 17:00:51,Twitter Web App,299,57,dougducey,1278010621313732608,,20217019,False,https://t.co/58n4OiGiE7,en,June,Q2
Arizona remembers the #Yarnell19:,57,2020-06-30 15:00:01,Twitter Media Studio,323,67,dougducey,1277980213687857152,,20217019,False,https://t.co/tdOVVcWBXM,en,June,Q2
"Seven years ago, on a day AZ will never forget, 19 Granite Mountain Hotshot Firefighters lost their lives protecting fellow Arizonans and their communities. Our hearts are with their families, fellow firefighters and the community of Yarnell on this solemn anniversary. #Yarnell19",304,2020-06-30 12:00:00,Twitter Media Studio,895,213,dougducey,1277934912700444674,,20217019,False,https://t.co/Ws8CpQ0MuW,en,June,Q2
"We must be clear-eyed. The next few weeks will be hard. But these steps combined with stepped-up compliance with public health guidance can make a difference, and we're grateful to Arizonans for their cooperation. 

Stay home. 

Wear a mask. 

Be responsible. 8/8",263,2020-06-29 22:45:58,Twitter Web App,565,137,dougducey,1277735085400154113,20217019.0,20217019,False,,en,June,Q2
"Today's actions follow recent steps to boost diagnostic testing, including expanding rapid testing; amplify contact tracing; fund additional PPE for long-term care settings; and enhance guidance for establishments to limit congregating and enforce mitigation policies. 7/",271,2020-06-29 22:45:23,Twitter Web App,240,59,dougducey,1277734941929861120,20217019.0,20217019,False,,en,June,Q2
"In addition, we’re announcing a new grant program for long-term care facilities. Through the partnership, facilities will receive $10,000 for the purchase of electronic devices to facilitate video conferencing with residents and their families. @AZ_AARP 6/",256,2020-06-29 22:44:22,Twitter Web App,390,92,dougducey,1277734684345032705,20217019.0,20217019,False,,en,June,Q2
"Starting today, the Arizona Department of Liquor Licenses and Control shall cease issuing special event licenses for the period between June 29, 2020 and July 27, 2020. 5/",171,2020-06-29 22:43:42,Twitter Web App,298,106,dougducey,1277734517457944578,20217019.0,20217019,False,,en,June,Q2
"The first day of school for in-person learning will be delayed until August 17, 2020. Distance learning can begin before then. This delay allows additional time for schools to implement safety precautions, including making available remote learning options. 4/",260,2020-06-29 22:43:10,Twitter Web App,382,167,dougducey,1277734381415567360,20217019.0,20217019,False,,en,June,Q2
"Effective today, organized events of more than 50 people are prohibited. Arizonans should celebrate the 4th of July responsibly this weekend, including by staying home, avoiding larger gatherings, and wearing a mask if you do go out. 3/",236,2020-06-29 22:42:34,Twitter Web App,553,206,dougducey,1277734230571642880,20217019.0,20217019,False,,en,June,Q2
"Effective at 8:00 p.m. tonight, we are instituting a month-long pause on the operations of bars, gyms, movie theaters, waterparks and tubing rentals. This will help relieve stress on our health care system and give time for new transmissions to slow. 2/",253,2020-06-29 22:41:52,Twitter Web App,1176,497,dougducey,1277734055056793601,20217019.0,20217019,False,,en,June,Q2
