Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,Quarter
"Experience the beauty of Ontario as you celebrate Canada Day this year! Tomorrow day use of all provincial parks will be free, and for the next two weeks we’re providing free fishing for everyone. 

I wish everyone a happy, and most of all safe, Canada Day! 🇨🇦",284,2020-06-30 20:30:58,Twitter for iPhone,497,75,fordnation,1278063500628287488,False,https://t.co/4RXMxT31Aq,en,June,Q2
"Great news from @AmazonCa who announced the opening of their second Ottawa facility today. Opening in 2021 this fulfillment centre will create 1000 full-time jobs for the region. 

Read more:",215,2020-06-30 19:45:11,Twitter for iPhone,731,72,fordnation,1278051978468261896,False,https://t.co/RnYkFrCsm3,en,June,Q2
"We are celebrating Canada Day in true Canadian style by giving everyone a chance to explore Ontario! 🇨🇦 

We are allowing FREE day use of all provincial parks on Canada Day and free fishing starting July 4-July 19! 🎣",266,2020-06-30 17:21:55,Twitter for iPhone,264,76,fordnation,1278015924986089472,False,https://t.co/mHlfRO8OpX,en,June,Q2
"Premier Ford makes an announcement with Minister Elliott, Minister Yurek and Minister MacLeod",117,2020-06-30 17:01:09,Twitter Media Studio,82,23,fordnation,1278010697180422147,False,https://t.co/NDxVwL1rJj,en,June,Q2
"Supporting local businesses is the #1 thing we can do to support our economy.

Small businesses are living proof that Ontario is a place to grow and achieve big dreams. 

Shop local, shop safe and shop with confidence in Ontario, by Ontario.

#ShopLocalON",304,2020-06-30 15:12:49,Twitter for iPhone,223,42,fordnation,1277983433810161664,False,https://t.co/8yNBFfa4Ex,en,June,Q2
"Before #COVID19 our government was hard at work making Ontario businesses more competitive. Cutting red tape will reduce unnecessary barriers to success. 

Together, we can help businesses in our province thrive.",236,2020-06-30 00:48:23,Twitter Web App,224,44,fordnation,1277765893670547456,False,https://t.co/mzCJJ5x9lT,en,June,Q2
"The reports of corruption and criminal activity impacting our tow truck industry are unacceptable. While the vast majority of Ontario’s tow truck drivers are good, hardworking people, a small group is out there causing trouble. 

That ends now.",268,2020-06-29 22:34:01,Twitter Web App,397,63,fordnation,1277732079674052608,False,https://t.co/1jisZfS6zm,en,June,Q2
"Tow truck operators play a key role in keeping our roads safe but we’re concerned about reported incidents of violence. Today, @C_Mulroney, @SylviaJonesMPP and I launched a task force to provide greater oversight and protect Ontarians and their families.",279,2020-06-29 18:00:34,Twitter Web App,105,15,fordnation,1277663264772628482,False,https://t.co/RRdrp2OfN6,en,June,Q2
"Premier Ford makes an announcement with Minister Mulroney, Minister Jones and Minister Elliott.",119,2020-06-29 17:04:14,Twitter Media Studio,100,32,fordnation,1277649086099992576,False,https://t.co/r4tFTaD86U,en,June,Q2
"We need to tear down the barriers that stand in the way of our youth reaching their full potential. 

A part of that plan includes investing more than $13M through the Youth Opportunities Fund to support youth and community-led projects.",261,2020-06-29 15:56:52,Twitter Web App,193,36,fordnation,1277632133557891072,False,https://t.co/Y0Q6iSHMMv,en,June,Q2
