Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,Quarter
"If I’m elected, I’ll immediately reach out to Dr. Fauci and ask him to continue his incredible service to our country. 

I’ll have the nation’s top medical experts and scientists ready to advise our response on day one — and I'll actually listen to them.",254,2020-06-30 20:55:00,TweetDeck,243145,33997,joebiden,1278069548076331008,False,,en,June,Q2
"Mr. President, the American people didn’t make enormous sacrifices over the past four months so you could waste your time with late night rants and tweets.

Step up. Take responsibility. Do your job.",199,2020-06-30 19:25:00,TweetDeck,147511,26015,joebiden,1278046898536898560,False,,en,June,Q2
"Tune in as I deliver remarks on how President Trump failed to protect the American people, save our economy, and control the virus:",155,2020-06-30 17:09:30,Periscope,24462,6849,joebiden,1278012801143865344,False,https://t.co/pqbJECpUHQ,en,June,Q2
"I want every single American to know: if you’re sick, if you’re struggling, if you’re worried about how you’re going to get through the day — I will not abandon you. I will not leave you to face these challenges alone.

We are going to get through this — together.",264,2020-06-30 15:22:00,TweetDeck,124205,21624,joebiden,1277985745609908225,False,,en,June,Q2
"As simple as it sounds, we need a president who listens. So much of this could have been prevented if Donald Trump listened to someone other than himself.",154,2020-06-30 00:30:00,TweetDeck,159670,25666,joebiden,1277761266757431299,False,,en,June,Q2
"Folks, tomorrow night marks our first end-of-quarter deadline of the general election. We need your help to hit our goal so we can catch up to Donald Trump's hefty cash-on-hand advantage.
 
I know times are tough, but if you're able, please chip in today:",279,2020-06-29 23:20:00,TweetDeck,9885,3149,joebiden,1277743650412408839,False,https://t.co/mv8ZZdhwAI,en,June,Q2
The President spent his weekend golfing.,64,2020-06-29 21:30:00,TweetDeck,161586,38680,joebiden,1277715968614035457,False,https://t.co/zQepsL9lUp,en,June,Q2
Here’s my promise to you: I’ll appoint a director who will actually go after financial predators and protect consumers.,143,2020-06-29 20:39:07,Twitter Web App,41215,8747,joebiden,1277703163429208068,False,https://t.co/LYY54KXbUk,en,June,Q2
"Today's decision reaffirmed that states can't put in place laws that unduly burden a woman's right to make her own health care decisions—but the fight isn't over. As President, I'll codify Roe v. Wade and protect a woman’s constitutional right to choose.",279,2020-06-29 20:10:00,TweetDeck,26481,5677,joebiden,1277695835413925888,False,https://t.co/qFrH8hFst8,en,June,Q2
"It's time we remember who we are as Americans: we treat each other with dignity and respect, we leave nobody behind, and we give hate no safe harbor.

We are everything that Donald Trump is not.",194,2020-06-29 17:40:00,TweetDeck,105961,21644,joebiden,1277658086556209155,False,,en,June,Q2
