Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month
“I guess you’re outta your mind till it actually happens...” incredible congrats to spacex @nasa astro_bobbehnken @Astro_Doug and Elon on a successful launch after so many years of hard work 🚀,216,2020-05-31 00:51:53,Instagram,10097,1006,katyperry,1266895137327779846,False,https://t.co/YeQX0k9oS7,en,May
powerful,32,2020-05-30 20:33:58,Instagram,9415,1094,katyperry,1266830232310464516,False,https://t.co/aBCUDO0YFn,en,May
@AstroBehnken @Astro_Doug take me with you,42,2020-05-30 19:58:00,Twitter for iPhone,1835,442,katyperry,1266821180456988672,False,,en,May
Some of u with sharp ears caught a glimpse of this remix earlier this week 👏🏼 Major thanks to @MarcKinchen for kicking off the first #Daisies dance party of the summer... we will dance even if it’s at home!  🎶🕺💃☀️🌼🎶,263,2020-05-29 16:03:42,Twitter for iPhone,11097,1674,katyperry,1266399827966844933,False,https://t.co/8A7MT0lieN,en,May
#BLACKLIVESMATTER,41,2020-05-29 07:23:19,Instagram,16197,2003,katyperry,1266268868466507778,False,https://t.co/DJ6FDwWtgZ,en,May
"Welp. Today’s #SpaceLaunchLive was BUMPED due to weather, but what’s two days when spacex has been waiting for 18 years... Let’s pray it’s in the cards for Saturday! Set your alarm for the 3:22pm EDT launch, and…",236,2020-05-27 22:24:06,Instagram,9341,999,katyperry,1265770784267567106,False,https://t.co/K311tyNpKE,en,May
Going live from the 🌙 on @Discovery and @ScienceChannel right now! #SpaceLaunchLIVE,107,2020-05-27 18:10:11,Twitter for iPhone,18181,2681,katyperry,1265706884071223297,False,https://t.co/6Scp6XVhn3,en,May
12 yrs ago when I wrote a new song I’d go to @thehotelcafe to work it out for an audience that wasnt Kitty Purry😸 When @iheartradio invited me to do their Living Room Concert Series I took it back to where it all started🤗 Watch at 4p PT @,286,2020-05-27 17:27:00,Twitter for iPhone,12574,2583,katyperry,1265696017774567424,False,https://t.co/lu6mCqSXEK,en,May
"Over the moon 🌙 to be able to participate in the @SpaceX launch 🚀 in my own, 1 in 7 billion small way. Tune in to @Discovery or @ScienceChannel at 11am PT to see this historic moment GO OFF  💫 #SpaceLaunchLIVE",233,2020-05-27 14:32:32,Twitter for iPhone,11468,1925,katyperry,1265652111485747205,False,https://t.co/bArftJCDFk,en,May
I’m starting to look like shrek now just forewarning u,54,2020-05-27 06:07:32,Twitter for iPhone,56636,4764,katyperry,1265525022015315968,False,,en,May
same,28,2020-05-27 05:58:26,Twitter for iPhone,22478,3045,katyperry,1265522734957813760,False,https://t.co/GI4edDDArF,en,May
"Gather your (shoe) friends around and tune in to @QVC at 9:00pm ET tonight! And see a sneak preview of the special set we built because when you can’t go to the Q, ya build it urself 💁🏼‍♀️ #ShoesdayTuesday @kpcollections",268,2020-05-26 22:28:27,Twitter for iPhone,8008,890,katyperry,1265409491345928193,False,https://t.co/wKYWxfbqSp,en,May
"Last week I was in a live action version of this animation created by @valleeduhamel, and I’m happy to reveal the next dimension of #Daisies with this lyric video 🌼💛",213,2020-05-26 04:09:26,Twitter for iPhone,15688,3057,katyperry,1265132914217414657,False,https://t.co/us6p3MbbNz,en,May
A picture is worth a thousand words... or maybe a few lyrics. Stay tuned tomorrow for it all to make even more sense 🌼,142,2020-05-25 16:37:56,Twitter for iPhone,24560,4431,katyperry,1264958890845671425,False,https://t.co/UCDXJLMn08,en,May
It’s been 1 week since my first TV performance of #Daisies🌼 and I know a lot of y’all have been curious about how we did it... here’s a look at how XR studios transported me to that animated 🌎 (that u may or may not see again soon 👀),257,2020-05-24 20:32:30,Twitter for iPhone,15415,2465,katyperry,1264655534394765312,False,https://t.co/GUVtxgfCl6,en,May
"ICYMI: I had the honor of kicking off the @GMA ☀️Summer Concert Series☀️ this morning from my favorite tree in my backyard! For all the sleepyheads who hit snooze too many times, watch my performance of #Daisies here:  (&amp; check out NRO while ur at it 💁🏼‍♀️)",308,2020-05-22 23:41:53,Twitter for iPhone,17788,2932,katyperry,1263978420624474112,False,https://t.co/99lQD2CBXz,en,May
🧡,25,2020-05-22 14:23:24,Twitter for iPhone,16313,1994,katyperry,1263837873339379712,False,https://t.co/Dwfqf8iW8c,en,May
💛🌼,26,2020-05-22 14:23:09,Twitter for iPhone,16670,2088,katyperry,1263837808013094912,False,https://t.co/j5rQOTAg90,en,May
The show should be renamed: “We Have Much More Sex Than NORMAL PEOPLE”,70,2020-05-22 00:48:57,Twitter for iPhone,39675,2883,katyperry,1263632908188712960,False,,en,May
". @DirectRelief is a Santa Barbara based org coordinating with public health authorities, nonprofit organizations and businesses throughout the U.S. and globally to provide personal protective equipment and essential medical items to health workers responding to COVID-19 👍🏼",274,2020-05-21 21:37:58,Twitter for iPhone,3662,489,katyperry,1263584847206834179,False,,en,May
