;people;change;young;real;heres;country;health;help;pandemic;new;community;michelle;vote;lives;take;happy;communities;leaders;good;crisis;support;work;american;love;social;home;2020;hope;times;across;lets;part;hard;world;protect;working;medical;example;still;power;generation;family;professionals;useful;fight;makes;justice;coming;chicago;cant;states;class;best;join;care;reminder;together;vulnerable;stay;bring;ive;months;government;moment;act;distancing;approach;thank;america;life;another;everybody;progress;takes;may;history;americans;activists;economic;hit;generations;system;matter;seen;@mbk_alliance;use;next;proud;weeks;local;build;protest;stories;level;laws;remember;testing;virus;something;story
people;0;22;22;10;4;8;2;6;6;2;2;0;4;2;6;2;4;8;4;2;8;2;6;0;2;4;2;0;8;8;0;6;6;2;4;4;0;0;4;0;2;2;2;0;0;6;2;4;0;2;0;2;2;0;0;0;6;2;2;6;4;2;2;2;2;0;4;2;0;2;0;2;4;0;2;2;2;0;4;4;2;0;0;4;0;0;0;2;4;0;0;0;2;6;2;0;0;2;4;2
change;0;0;16;16;4;6;0;2;2;2;2;2;2;0;6;2;0;8;2;0;2;2;4;2;2;2;6;2;0;6;0;2;2;4;4;0;0;2;4;2;6;0;0;0;0;4;2;2;0;2;0;6;0;0;0;2;2;0;2;6;4;2;0;4;2;0;0;0;2;2;0;2;4;0;0;8;0;0;2;0;2;0;0;2;2;0;2;4;2;0;0;4;0;4;4;0;0;0;2;4
young;0;0;0;8;4;6;0;4;4;0;2;0;4;0;0;2;0;4;0;0;2;0;2;0;2;0;2;0;0;4;0;4;4;2;2;2;0;0;2;0;2;2;0;0;0;6;2;0;0;2;0;2;0;2;0;0;2;0;0;4;0;2;2;4;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;4;2;0;0;2;2;0;0;0;0;6;2;0;0;0;2;0
real;0;0;0;0;0;4;2;2;2;0;2;0;0;2;6;0;0;2;0;2;0;0;2;0;2;0;0;0;0;4;0;0;2;0;4;2;2;2;2;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;2;0;2;8;2;2;0;4;2;0;2;0;2;0;0;0;2;0;0;2;0;2;4;0;0;0;0;2;2;2;2;0;2;0;0;4;4;0;2;0;0;2;4;0
heres;0;0;0;0;0;2;2;4;2;2;0;0;0;4;0;2;4;0;4;2;2;0;0;2;4;2;4;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;10;4;2;0;6;0;0;4;2;2;0;0;4;0;0;0;0;0;4;0;0;0;2;4;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0
country;0;0;0;0;0;0;0;2;2;0;2;0;0;6;2;0;2;2;2;2;0;0;0;4;2;2;0;2;0;10;0;4;0;2;0;2;4;0;0;0;0;0;2;0;2;2;4;2;0;0;0;0;0;6;0;2;2;0;0;4;2;0;0;2;0;2;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;2;2;2;0;2;0;2;0;0;0
health;0;0;0;0;0;0;0;2;4;0;4;0;0;4;2;0;4;2;4;2;2;0;0;2;2;6;2;0;0;0;2;0;0;2;2;0;2;0;2;2;0;0;6;2;2;0;0;2;2;2;4;0;2;0;6;0;0;0;4;0;0;0;0;0;0;2;2;2;0;0;2;4;0;4;2;0;0;2;0;2;0;0;0;2;2;2;2;0;4;2;0;0;2;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;2;2;0;4;2;0;2;0;0;0;6;0;0;4;0;0;0;2;0;0;2;4;0;2;0;0;0;6;0;0;2;0;2;2;0;0;0;0;0;0;2;2;6;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;2;0;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;4;2;0;2;2;0;0;0;0;0;2;0;2;0;2;2;2;4;0;0;0;0;0;0;2;2;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;4;0;0;0;0;2;0
new;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;4;0;0;0;2;0;2;0;0;2;2;4;0;0;0;0;6;0;0;0;4;0;0;6;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;2
