;change;people;young;real;country;take;moment;justice;police;laws;bring;happy;community;@mbk_alliance;protests;across;criminal;specific;work;voting;generation;past;power;system;sustain;makes;activists;voices;history;practices;awareness;elected;officials;changing;momentum;reform;might;lets;raise;matter;american;protest;levels;action;third;progress;useful;seen;point;anger;city;elect;@joebiden;chicago;changed;concrete;reminder;resources;mayors;mentioned;peaceful;connect;health;build;everybody;support;help;local;hope;gun;town;politics;new;speaking;channeling;vote;part;heart;mental;yesterday;hall;celebration;heres;nashville;ideals;reforms;problem;highlight;government;second;national;join;priority;kid;lives;@repjohnlewis;overwhelming;ballots;force;extraordinary
change;0;12;10;14;4;4;4;2;0;4;6;2;2;2;0;4;0;0;2;2;4;4;2;0;4;4;0;4;6;2;2;2;2;2;4;2;0;0;4;0;2;4;0;2;0;2;0;2;0;2;0;2;0;0;2;0;2;0;2;2;2;2;0;0;2;2;0;0;2;0;2;4;0;2;2;2;0;4;0;2;2;2;2;0;0;0;4;2;0;2;0;0;0;0;0;0;0;2;0;0
people;0;0;14;8;6;2;2;2;0;2;4;2;2;0;0;6;0;0;0;0;2;4;0;0;4;6;0;4;2;0;0;0;0;0;4;0;0;0;2;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;2;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
young;0;0;0;8;6;0;4;0;0;2;4;2;2;2;0;4;0;0;0;0;2;4;0;0;4;6;2;2;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;4;2;0;0;2;2;2;2;0;0;0;0;2;0;2;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;2;4;2;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
real;0;0;0;0;4;4;4;2;0;2;8;0;2;2;0;4;0;0;0;2;0;4;2;0;6;2;2;4;2;2;2;2;2;2;6;2;0;0;4;0;0;4;0;4;0;0;0;2;2;2;0;2;0;0;0;2;2;2;2;2;2;2;0;0;0;0;2;0;0;0;2;4;0;0;4;0;0;0;0;2;2;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;2;0;0
country;0;0;0;0;0;2;2;2;0;2;4;0;2;2;0;6;0;0;0;2;0;2;0;0;4;0;0;2;0;0;2;0;0;2;4;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0
take;0;0;0;0;0;0;0;2;0;2;2;2;2;2;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;2;0;2;0;2;0;2;2;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;2;4;2;0;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;4;2;0;2;2;0;2;0;0;0;0;0;2;0
moment;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;2;0;0;2;0;0;2;0;4;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
justice;0;0;0;0;0;0;0;0;6;0;2;0;0;0;4;2;6;2;2;0;0;0;0;4;2;0;0;2;0;2;0;4;4;2;2;4;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;2;2;0;0;0;0;4;0;0;0;0;0;2;0;4;4;2;0;4;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0
laws;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;2;4;2;2;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;2;2;0;4;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0
