kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
#gapol,67,#gapol,51,#gapol,56,#gapol,35,#gapol,33,#gapol,25,#gapol,267
state,26,georgia,22,georgia,18,georgia,18,covid19,22,fight,10,georgia,98
georgia,21,state,19,state,13,testing,16,georgia,13,covid19,9,state,80
trafficking,13,great,10,spread,12,georgians,11,testing,11,state,7,covid19,53
@gafirstlady,12,safe,9,help,12,covid19,10,georgians,10,georgia,6,georgians,48
georgians,10,honored,7,covid19,12,state,8,great,7,public,6,safe,42
safe,10,proud,7,georgians,11,@aug_university,8,patients,7,safe,5,together,38
together,9,support,7,safe,10,help,8,state,7,together,5,great,34
efforts,9,gt,6,together,10,safe,8,health,7,georgians,5,icymi,32
families,8,teachers,6,working,9,w,7,w,7,ensure,5,proud,32
continue,8,work,6,coronavirus,9,data,7,days,6,ga,4,testing,31
working,8,@gafirstlady,6,kemp,9,healthcare,7,icymi,5,follow,4,help,31
human,8,efforts,6,stop,8,capacity,6,hospitalized,5,continue,4,working,28
gt,7,county,5,icymi,8,forward,6,kemp,5,lets,4,fight,27
put,7,icymi,5,gt,8,new,5,positive,5,forward,4,gt,25
#godawgs,7,trafficking,5,families,7,fight,5,together,5,american,4,efforts,24
gang,7,@realdonaldtrump,5,health,6,together,5,number,4,guidance,4,stop,24
proud,7,part,5,proud,6,stay,5,percentage,4,commitment,4,w,24
gangs,6,tests,4,medical,6,icymi,5,working,4,stay,4,kemp,24
help,6,opportunity,4,fight,6,working,5,use,4,great,4,health,22
great,6,sex,4,officials,5,surge,5,capacity,4,proud,4,public,22
home,6,stop,4,georgias,5,lives,5,data,4,service,4,local,21
history,6,industry,4,public,5,future,4,partnership,4,local,4,continue,20
icymi,6,dangerous,4,@realdonaldtrump,5,communities,4,new,4,icymi,3,ensure,20
survivors,6,evil,4,vulnerable,5,download,4,war,4,social,3,@gafirstlady,20
grace,5,help,4,#covid19,5,call,4,proud,4,mask,3,work,19
stop,5,local,4,@cdcgov,5,stronger,4,battle,4,protect,3,families,19
dismantle,5,high,4,gov,5,livelihoods,4,declining,4,communities,3,support,19
end,5,together,4,family,5,expresscare,4,@aug_university,4,strong,3,spread,19
county,5,country,4,continue,4,emerge,4,business,3,stop,3,trafficking,18
ga,5,dismantle,4,great,4,safer,4,app,3,practice,3,part,16
commission,5,women,4,battle,4,hospitals,4,fight,3,lives,3,protect,16
ensure,5,love,4,hardworking,4,app,4,future,3,wrong,3,forward,15
support,5,students,4,force,4,ga,4,making,3,steps,3,ga,15
vulnerable,5,school,4,local,4,health,4,public,3,health,3,vulnerable,15
enforcement,4,championing,3,care,4,work,4,difficult,3,economy,3,new,14
protect,4,raise,3,guidance,4,step,4,local,3,wear,3,county,14
business,4,pay,3,unemployment,4,another,4,progress,3,distancing,3,future,14
2019,4,education,3,w,3,access,4,vulnerable,3,officials,3,safer,14
bars,4,good,3,emergency,3,proud,4,family,3,measured,3,georgias,14
w,4,powerful,3,efforts,3,free,3,drop,3,revive,3,honored,14
jobs,4,remain,3,healthy,3,partnered,3,#,3,honored,2,communities,14
huge,4,leos,3,safety,3,king,3,lowest,3,called,2,healthcare,13
law,4,public,3,good,3,symptomatic,3,virus,3,country,2,strong,13
local,4,year,3,passed,3,kemp,3,record,3,dangerous,2,stronger,13
kemp,4,ensure,3,dr,3,frontline,3,cases,3,freedom,2,lives,13
