;#gapol;georgia;state;great;safe;honored;proud;support;gt;teachers;work;@gafirstlady;efforts;county;icymi;trafficking;@realdonaldtrump;part;tests;opportunity;sex;stop;industry;dangerous;evil;help;local;high;together;country;dismantle;women;love;students;school;championing;raise;pay;education;good;powerful;remain;leos;public;year;ensure;men;prosperous;strong;best;gangs;enhance;level;future;children;safer;educators;governors;safety;coach;stronger;commitment;@whitehouse;street;states;next;lady;thanks;faith;communities;across;meth;ran;saturday;evening;federal;reduce;georgias;valentines;commission;drug;criminal;put;enjoyed;may;center;hardworking;veterans;plan;learn;empower;people;general;throughout;force;jobs;georgian;life;economic;#usmca
#gapol;0;34;34;14;16;8;10;14;12;12;10;10;10;10;10;10;8;10;6;6;8;8;8;8;8;8;8;8;8;8;8;8;4;8;8;4;6;6;6;6;4;6;4;4;6;4;6;6;6;6;6;6;6;6;4;4;6;6;2;4;4;4;6;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;2;4;2;2;4;2;4;4;4;4;4;2;4;4;4;2;2;4;4
georgia;0;0;14;4;10;4;4;8;8;6;6;4;4;6;6;4;0;6;2;2;0;8;2;2;2;6;4;2;6;2;8;4;0;2;0;4;2;2;2;0;0;0;2;0;2;4;2;4;2;4;4;4;0;4;2;4;2;2;0;2;4;2;2;4;2;2;0;0;0;2;0;2;0;0;0;2;2;4;0;0;4;2;0;2;0;4;2;4;0;0;2;0;2;4;2;0;2;4;0;0
state;0;0;0;6;8;2;4;2;0;8;4;2;6;2;0;4;6;4;2;8;6;2;4;4;4;4;4;6;6;8;4;0;0;4;6;6;4;4;4;0;2;2;0;4;2;6;0;6;4;4;2;4;6;6;4;4;6;4;0;0;4;0;2;2;0;0;0;4;0;2;2;4;0;2;4;4;2;4;0;2;2;2;2;0;0;0;0;0;0;2;2;0;2;2;0;4;2;4;4;4
great;0;0;0;0;0;4;4;4;0;0;0;2;6;0;0;2;8;0;0;4;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;6;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;4
safe;0;0;0;0;0;2;2;2;0;2;2;0;2;4;0;2;0;6;0;4;2;4;4;2;4;4;0;0;4;0;4;4;0;0;2;2;2;2;2;2;0;0;0;2;0;4;4;2;4;0;4;0;0;4;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;2;0
honored;0;0;0;0;0;0;4;2;0;0;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;6;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
proud;0;0;0;0;0;0;0;2;0;0;6;4;6;0;0;4;2;0;0;0;4;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;4;0;2;2;4;4;2;0;2;0;2;0;0;4;0;2;0;0;2;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
gt;0;0;0;0;0;0;0;0;0;0;2;0;0;2;8;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;2;2;0;0;0;0;2;0;0;0;0;0
teachers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;2;0;2;0;4;2;0;2;0;0;4;2;2;6;6;2;0;0;0;0;2;2;2;0;6;2;4;2;4;0;2;0;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;2;0
work;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0
@gafirstlady;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;2;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;0;0;2;2;2;0;0;0;0;0;0;2;4;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2
county;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;2;0;0;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
icymi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0
trafficking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;6;0;6;0;6;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2
@realdonaldtrump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;2;4;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0
opportunity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;2;4;2;2;2;0;0;0;0;2;0;2;0;2;2;0;2;0;4;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;4
