;#gapol;georgia;state;spread;help;covid19;georgians;safe;together;working;coronavirus;kemp;stop;icymi;gt;families;health;proud;medical;fight;officials;georgias;public;@realdonaldtrump;vulnerable;#covid19;@cdcgov;gov;family;continue;great;battle;hardworking;force;local;care;guidance;unemployment;w;emergency;efforts;healthy;safety;good;passed;dr;work;prevent;2;impact;job;workforce;ensure;year;staff;task;provide;atlanta;support;citizens;cabaniss;hall;town;community;part;leaders;praying;friend;join;prepare;protect;strong;ahead;virus;provided;pandemic;facilities;hard;rates;rt;put;cancer;assured;combat;@vp;low;#stopthespread;amid;access;practices;ones;discuss;weeks;world;partnership;building;life;rural;greyson;following
#gapol;0;30;24;20;20;20;20;20;16;16;14;16;14;16;14;14;12;10;8;12;10;8;10;10;8;10;10;10;6;8;8;4;6;6;8;8;8;8;4;6;6;4;6;6;4;2;6;4;2;6;6;6;4;4;2;4;4;4;4;6;2;6;6;4;4;6;4;4;4;6;4;4;6;6;6;6;6;6;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4
georgia;0;0;6;4;8;6;6;10;4;12;6;4;6;6;6;8;4;4;2;2;2;0;6;4;2;6;4;2;0;2;0;0;0;2;2;2;2;2;2;4;4;2;0;0;2;0;0;0;0;0;4;4;0;2;0;2;4;0;0;2;0;0;0;4;0;0;0;0;0;2;2;4;2;0;4;4;2;0;2;2;0;0;4;2;2;2;0;2;4;2;2;0;2;2;0;2;0;2;0;0
state;0;0;0;4;6;4;6;4;4;6;2;0;2;2;4;2;6;4;2;2;4;2;2;2;2;4;2;0;0;4;2;2;4;2;6;0;0;4;6;2;2;2;2;0;0;0;0;0;0;2;2;0;2;0;2;2;4;4;0;0;0;0;0;2;2;4;0;0;0;4;0;2;0;0;0;0;0;0;2;0;2;0;2;2;2;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0
spread;0;0;0;0;10;18;4;10;12;6;2;2;12;2;0;8;2;2;4;4;2;2;2;4;2;2;6;2;0;2;0;4;2;2;2;2;6;0;4;0;2;4;4;0;0;0;0;4;0;0;0;2;4;0;2;2;2;2;0;4;0;2;2;0;0;4;2;0;2;2;2;0;0;4;4;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4
help;0;0;0;0;0;6;6;6;6;4;4;0;6;0;0;4;4;2;4;2;4;2;4;4;0;6;4;0;0;0;0;2;4;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;2;2;4;0;0;0;2;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;2;4;4;0;0;0;4;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2
covid19;0;0;0;0;0;0;6;8;12;4;0;2;12;0;0;6;4;2;8;4;4;0;2;2;4;0;4;0;2;4;0;6;2;0;2;4;4;0;4;0;2;4;4;0;0;0;0;2;0;0;0;2;4;0;4;0;2;2;0;4;0;2;2;0;0;4;4;0;4;2;2;2;2;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2
georgians;0;0;0;0;0;0;0;2;6;6;4;4;2;4;6;0;4;4;0;2;4;0;2;0;0;0;0;4;0;4;0;0;8;0;4;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;2;2;0;2;0;0;2;2;4;0;0;0;0;2;4;4;0;0;0;4;2;0;2;0;0;2;0;2;0;0;2;2;0;0;0;0;2;2;4;2;0;0;2;0;0;2;0;0;0;0
safe;0;0;0;0;0;0;0;0;6;8;2;0;6;0;0;14;0;2;0;2;4;0;2;6;2;4;8;0;0;0;0;0;2;2;2;0;6;0;2;0;2;4;0;2;0;0;2;0;0;0;0;2;2;0;0;2;2;0;0;2;0;0;0;2;2;2;2;0;2;2;0;2;0;0;6;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4
together;0;0;0;0;0;0;0;0;0;4;2;2;12;2;0;4;2;2;4;2;2;0;2;4;0;2;2;2;2;4;0;4;2;0;2;0;4;0;4;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;2;0;2;4;0;2;0;2;2;0;0;4;0;0;0;2;2;0;2;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2
working;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;6;2;2;0;2;2;4;0;4;0;4;2;0;0;2;0;0;0;4;4;0;2;0;4;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;0;4;4;0;0;2;0;0;0;4;0;2;0;0;0;4;0;2;0;0;2;2;0;2;0;0;2;0;4;2;4;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0
