;#gapol;georgia;state;covid19;georgians;safe;together;great;icymi;proud;testing;help;working;fight;gt;efforts;stop;w;kemp;health;public;local;continue;ensure;@gafirstlady;work;families;support;spread;trafficking;part;protect;forward;ga;vulnerable;new;county;future;safer;georgias;honored;communities;healthcare;strong;stronger;lives;coronavirus;remain;@realdonaldtrump;@aug_university;capacity;home;service;best;#godawgs;family;stay;safety;history;commitment;officials;prosperous;data;hardworking;patients;guidance;resources;days;put;country;good;medical;dangerous;year;industry;throughout;workforce;ahead;human;access;business;gangs;thanks;opportunity;surge;battle;record;gang;leaders;partnership;among;follow;grace;appreciate;dismantle;teachers;life;another;live;survivors
#gapol;0;154;136;82;80;74;68;56;64;50;32;50;46;42;46;40;42;32;46;42;40;42;38;34;38;34;36;34;34;36;30;28;28;22;26;20;28;26;26;26;22;26;24;22;24;26;22;22;22;20;14;20;18;20;16;14;24;20;20;18;22;22;14;18;18;22;16;16;20;22;20;16;16;14;20;20;18;16;18;12;14;16;18;14;10;12;12;18;18;14;14;18;16;16;16;16;14;12;10;16
georgia;0;0;38;30;12;34;26;14;30;20;20;20;26;10;20;26;26;6;10;6;8;16;10;8;16;10;18;14;6;16;12;4;8;0;2;8;10;10;14;6;10;10;14;10;12;10;8;8;6;12;12;8;4;8;0;2;8;4;4;2;4;12;10;4;8;4;6;6;0;12;2;6;6;4;10;20;6;6;10;10;6;10;6;4;6;2;8;6;10;2;2;4;6;6;12;6;4;8;4;6
state;0;0;0;22;22;20;24;18;8;10;16;18;10;8;12;16;12;14;2;18;14;14;14;14;10;10;14;8;8;16;10;4;10;14;6;6;4;16;14;8;6;12;10;8;12;10;2;14;8;4;4;8;4;6;2;2;2;8;12;4;8;10;4;8;6;4;6;6;6;14;2;4;8;6;8;4;6;4;8;4;6;10;4;8;4;2;6;6;8;8;2;2;6;2;10;10;6;8;2;6
covid19;0;0;0;0;24;24;24;12;6;12;20;12;14;28;2;10;24;16;4;20;4;10;10;8;0;0;8;4;26;0;2;2;8;6;10;10;2;4;2;4;0;4;2;6;6;2;2;6;2;14;12;2;6;2;0;2;12;4;0;2;8;2;8;2;16;14;8;6;2;4;2;12;6;0;4;4;2;4;0;2;4;0;8;0;8;14;4;0;6;8;4;12;2;4;0;0;0;4;0;0
georgians;0;0;0;0;0;12;24;8;6;4;20;10;10;14;8;4;4;12;6;18;10;8;12;8;8;10;0;10;8;2;4;16;6;8;12;8;4;6;6;0;0;2;4;0;6;10;6;6;0;10;4;6;0;4;0;0;2;4;4;2;8;4;6;18;8;4;2;8;8;0;2;0;2;2;0;0;4;6;2;8;2;0;4;2;2;2;4;0;4;6;4;6;2;4;0;4;2;4;2;0
safe;0;0;0;0;0;0;20;4;2;12;2;14;14;12;2;14;22;2;2;2;4;6;8;14;6;8;26;6;10;8;8;2;4;2;4;4;4;6;2;4;4;10;2;8;2;2;4;2;6;4;0;10;2;0;0;0;18;0;0;2;6;8;0;2;2;8;4;2;0;2;4;0;4;4;6;4;2;4;8;0;2;10;4;8;0;0;0;4;2;0;2;4;2;6;8;2;4;2;6;8
together;0;0;0;0;0;0;0;6;2;6;8;18;12;14;0;4;22;6;2;6;6;6;6;14;6;4;14;6;14;6;4;12;0;2;6;0;2;14;14;4;0;8;2;4;10;10;2;2;4;2;4;2;0;4;2;2;6;2;2;4;6;8;0;2;4;8;2;4;6;6;2;4;2;2;4;2;2;6;4;4;0;4;2;2;2;4;2;2;4;2;2;8;8;2;10;2;2;2;2;4
great;0;0;0;0;0;0;0;0;2;4;4;4;2;8;0;6;6;0;4;2;4;2;0;6;4;2;0;4;0;2;4;2;0;0;2;4;4;4;4;6;8;0;4;2;4;4;0;2;8;4;2;6;4;0;2;2;2;0;4;2;0;0;0;0;0;0;4;2;0;6;6;0;0;2;0;2;2;0;0;4;2;0;0;4;0;2;2;0;4;4;2;0;2;2;0;0;2;0;0;0
icymi;0;0;0;0;0;0;0;0;0;0;8;0;0;0;34;2;0;0;28;4;4;4;4;2;0;0;0;4;2;6;0;0;0;2;0;6;2;0;0;0;0;0;0;4;0;0;10;0;0;4;2;0;0;2;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0
proud;0;0;0;0;0;0;0;0;0;0;2;4;10;4;0;14;6;8;0;4;6;4;2;2;10;16;2;4;4;8;2;4;4;2;6;0;6;4;4;2;6;4;2;4;2;0;2;2;2;0;4;4;4;2;2;2;6;4;0;8;2;2;0;6;2;4;2;2;4;2;8;6;2;2;4;4;2;0;2;4;2;2;0;0;2;4;2;4;2;0;6;4;4;2;2;0;0;0;0;6
