;#covid19;wear;mask;tune;ca;rate;spread;physical;moment;slow;update;face;wash;practice;new;listen;part;hands;actions;distancing;lives;save;fight;love;people;reminder;covering;cas;conducted;led;positivity;close;repeat;equality;take;continue;smart;californians;community;justice;honor;law;pandemic;still;literally;gone;away;together;feet;testing;rise;counties;lit;help;days;required;santa;statewide;create;state;bars;across;peacefully;use;simply;capitol;choose;public;san;protest;stable;force;cannot;testspositivity;patience;change;dropped;lost;7;politics;short;continues;isnt;imperial;tear;lets;#juneteenth;deserves;kind;start;based;bullets;sex;county;14;seriously;black;access;violence;safe
#covid19;0;12;12;12;8;10;12;12;2;8;12;6;8;10;6;2;4;8;4;10;4;4;0;0;0;4;4;6;6;2;6;4;2;0;6;2;2;4;0;0;0;0;2;4;2;6;4;0;2;4;0;2;0;4;4;0;2;0;0;2;4;2;0;0;0;0;0;0;2;0;4;0;0;4;0;0;4;0;4;4;0;0;4;4;0;0;0;0;0;0;2;0;0;2;4;4;0;2;0;0
wear;0;0;26;0;4;2;10;6;0;10;0;4;6;6;4;2;8;6;4;4;4;4;0;0;2;6;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;4;4;4;0;2;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2
mask;0;0;0;0;4;2;8;8;0;8;0;2;6;8;2;2;6;6;6;6;6;6;0;0;2;6;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;4;4;4;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;4;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2
tune;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ca;0;0;0;0;0;6;2;4;2;0;0;4;4;4;6;0;2;4;0;4;0;0;0;0;2;2;4;0;6;0;2;2;0;0;2;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;4;2;2;0;0;2;2;2;0;0;0;2;0;2;2;0;0;0;2;4;0;0;2;0;4;0;0;0;0;4;0;2;2;0;0;0;0;0;0;2;4;2;0;0;2;2
rate;0;0;0;0;0;0;0;4;0;0;0;2;4;4;4;0;0;4;0;4;0;0;0;0;0;0;2;4;6;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;4;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0
spread;0;0;0;0;0;0;0;0;0;10;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
physical;0;0;0;0;0;0;0;0;0;0;0;6;10;12;2;0;0;10;6;10;6;6;0;0;0;2;4;0;4;0;2;0;2;0;2;0;2;0;0;0;0;0;2;2;4;4;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0
moment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0
slow;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
