;ca;tune;new;health;state;live;#covid19;people;california;healthcare;help;trump;hands;thank;homelessness;housing;work;families;firstinthenation;million;#casots;crisis;record;school;climate;home;change;making;billion;take;wall;vote;@realdonaldtrump;address;lose;issues;lives;job;system;country;moment;build;major;services;put;together;working;listen;social;meet;stay;coronavirus;1;real;save;public;ban;#stayhomesavelives;created;great;yes;emergency;months;still;spread;prescription;medical;grateful;hospital;update;low;communities;laws;contact;violence;growth;unemployment;sick;ways;protect;file;companies;los;whats;values;info;homeless;affordable;start;grocery;children;increase;gun;end;lets;food;close;order;cant;simply
ca;0;0;12;2;6;2;4;10;2;4;4;4;0;0;2;2;6;4;2;0;0;4;2;2;8;10;2;2;2;4;0;0;4;2;4;6;4;4;0;4;4;0;2;4;6;2;2;0;2;6;6;2;4;6;6;2;4;0;2;0;0;2;4;0;2;0;2;2;0;2;4;0;2;0;2;4;4;2;2;4;2;4;0;0;4;0;0;0;0;2;2;2;4;4;4;0;0;2;0;4
tune;0;0;0;0;4;16;8;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;4;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;4;0;0;6;2;6;8;2;4;0;2;2;2;0;0;2;4;0;0;4;2;6;6;2;4;4;2;0;0;4;2;2;4;0;6;2;0;2;2;0;0;2;0;6;2;2;4;2;2;2;0;2;2;2;0;6;2;0;0;4;2;2;0;2;2;2;2;8;0;0;0;2;4;4;0;0;0;2;2;0;0;2;0;0;4;2;0;0;4;2;2;2;0;2;0;0;0
health;0;0;0;0;0;4;2;2;0;4;4;2;0;2;0;2;2;0;0;4;4;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;4;0;6;0;0;0;0;4;0;0;0;4;6;0;0;2;0;0;4;8;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;2;2;2;2;0;0;2;0;2;2;2;0;0;0;0
state;0;0;0;0;0;2;0;2;6;0;0;0;2;0;2;0;0;0;0;0;0;2;4;0;0;2;0;0;0;2;0;0;0;4;0;4;0;4;0;6;0;0;0;2;2;0;2;0;0;0;2;0;2;0;0;0;2;0;2;2;0;0;6;0;0;2;0;0;0;0;2;0;2;0;2;2;4;0;2;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0
live;0;0;0;0;0;0;4;2;0;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;2;2;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2
#covid19;0;0;0;0;0;0;0;4;2;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;8;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;0;4;0;0;0;4;0;6;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;4;0;2;0;2;10;0;2;0;2;0;0;0;0;0;4;0;0;2;2;0;2;2;0;0;2;0;2;0;2;0;0;2;0;0;0
people;0;0;0;0;0;0;0;0;4;4;0;2;2;0;2;0;2;2;0;2;0;0;2;0;0;2;2;0;2;6;0;0;4;0;2;0;4;2;2;2;0;0;0;2;4;0;2;4;4;2;2;2;4;2;2;2;0;4;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;2;2;2;2;2;0;4;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0
california;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;2;4;2;2;0;0;0;0;0;0;2;0;0;2;2;0;4;0;4;0;0;2;0;0;0;2;0;6;0;0;4;0;2;2;0;0;0;0;0;0;2;0;0;4;2;2;2;2;0;2;2;0;0;0;4;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0
healthcare;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;0;4;2;2;4;0;4;2;0;8;0;2;4;2;2;0;0;4;2;2;2;0;2;6;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;2;0;2;2;0;0;2;2;0;0;2;4;0;2;0;2;0;0;0;2;4;0;0;4;0;2;0;0;2;0;2;0;0;0;0;0
