;ca;#covid19;tune;new;cases;continue;physical;home;update;take;confirmed;positive;hospitals;stay;health;public;flattening;curve;wear;workers;practice;lives;mask;reopening;moment;seriously;science;help;people;icu;testing;actions;thank;safe;#stayhomesavelives;distancing;californians;across;save;distancing#stayhomesavelives;states;staying;fight;work;healthy;allow;together;listen;spread;days;important;risk;million;guided;isnt;protect;love;frontlines;working;healthcare;provide;impact;literally;rate;state;lost;crisis;face;cas;care;12pm;reopen;federal;pandemic;homepractice;wash;cant;next;repeat;ability;simply;live;stores;stage;begin;honor;hands;counties;americans;practicing;data;seriouslystay;2;grateful;start;meet;great;slow;led;cannot
ca;0;30;0;80;56;54;34;30;0;44;54;42;44;22;20;16;30;26;4;10;18;16;4;16;4;22;18;6;12;26;10;10;8;6;14;12;8;10;4;20;8;6;4;10;12;14;0;0;2;12;6;6;8;12;4;2;0;6;12;8;8;14;4;6;6;6;4;4;4;4;0;4;0;4;12;4;4;10;0;2;0;0;2;2;6;2;4;4;4;4;10;12;4;2;2;2;4;0;2;6
#covid19;0;0;58;18;6;12;14;4;58;10;4;2;4;4;6;2;6;8;12;4;10;10;12;6;6;6;6;4;2;2;12;10;0;4;2;10;4;8;8;0;0;2;6;8;2;2;2;2;16;10;4;0;0;2;6;2;0;0;8;0;0;4;4;10;2;4;0;8;8;2;12;2;2;4;0;8;6;4;2;0;4;0;0;0;0;0;8;2;0;0;2;0;0;2;2;2;2;8;2;0
tune;0;0;0;0;0;0;0;2;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;54;38;26;20;0;42;54;42;44;16;10;8;22;20;4;2;12;10;2;8;0;20;10;8;6;24;4;10;2;2;12;6;6;4;2;20;2;4;0;10;0;12;2;0;2;10;2;2;4;4;0;2;0;0;4;2;4;14;0;4;2;6;2;2;2;6;0;2;4;2;12;2;0;4;0;0;0;0;0;0;4;0;2;4;0;2;6;12;2;0;2;2;0;2;0;2
cases;0;0;0;0;0;34;22;16;0;40;54;40;40;14;4;2;20;16;0;0;10;10;0;4;0;18;10;0;4;22;0;10;0;0;12;2;0;2;2;20;0;2;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;14;0;0;2;6;0;0;2;2;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;0;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;28;20;0;38;34;24;24;16;6;8;30;26;0;0;14;4;0;12;0;16;12;0;2;18;4;4;0;4;6;6;2;6;4;20;4;4;6;6;4;10;0;0;0;2;2;0;0;10;0;2;2;0;2;0;0;2;2;0;4;2;0;0;4;0;0;0;0;0;12;0;6;0;2;0;2;0;2;0;2;2;0;4;0;2;2;12;0;0;0;0;0;0;0;4
physical;0;0;0;0;0;0;0;32;0;22;22;22;22;22;8;4;20;24;6;2;32;16;8;8;2;12;8;0;2;14;0;10;2;2;4;24;0;0;14;22;0;12;0;0;0;6;0;0;0;4;8;0;0;4;2;0;0;2;2;0;0;4;12;4;0;2;0;6;0;2;0;0;0;2;14;12;4;0;6;2;0;0;0;0;2;0;10;2;0;10;2;12;0;0;0;2;0;0;0;0
home;0;0;0;0;0;0;0;0;0;18;16;16;18;34;8;8;16;16;0;4;20;8;0;10;6;16;12;2;2;10;2;2;2;2;10;14;0;0;6;10;2;16;2;2;4;6;4;2;4;0;4;0;0;8;4;0;0;2;8;2;2;6;6;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;4;0;0;2;0;2;2;0;0;2;0;10;2;0;0;0;0;2;0;0;0;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;40;30;32;14;4;2;24;20;2;0;8;4;2;8;0;28;6;2;2;20;2;4;0;0;8;2;0;2;2;18;2;4;0;0;0;6;0;0;2;2;0;0;0;6;0;0;0;0;4;0;0;8;0;2;4;4;0;0;6;2;0;0;0;0;12;2;0;0;2;0;0;0;0;0;2;0;2;2;2;4;2;12;0;0;0;0;0;0;0;0
confirmed;0;0;0;0;0;0;0;0;0;0;0;40;40;14;4;2;20;16;0;0;10;10;0;4;0;18;8;0;4;22;0;10;0;0;12;2;0;2;2;20;0;2;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;14;0;0;2;6;0;0;2;2;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;0;0;0;0;0;0;0;0
positive;0;0;0;0;0;0;0;0;0;0;0;0;42;14;6;2;10;8;0;2;10;6;0;0;0;12;4;0;6;22;2;4;0;0;8;2;0;2;0;20;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;10;0;0;2;4;0;0;0;2;0;0;0;0;12;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;12;2;0;0;0;0;0;0;0
