;#covid19;#togetherky;#teamkentucky;beshear;governor;#healthyatwork;watch;information;live;visit;update;5;kentuckians;#healthyathome;ab;updated;thank;et;shares;kentucky;via;testing;safe;may;tune;todays;together;help;take;protect;gov;guidelines;weekend;conference;andy;reopening;remember;register;wear;health;stay;tomorrow;economy;news;mask;updates;care;please;honor;ahead;daily;june;new;special;follow;following;lets;public;#patriot;week;capitol;share;friday;yesterday;locations;still;spread;hate;reopen;thanks;announced;family;masks;statement;commonwealth;louisville;across;#memorialday;available;advantage;safely;step;plans;include;state;fight;full;proud;lives;face;call;beshears;online;#whyiwearamask;thing;making;tonight;healthy;primary;monday
#covid19;0;88;88;66;64;44;74;68;60;46;54;50;34;38;12;48;8;40;44;22;36;26;12;20;28;28;8;16;22;8;6;10;14;20;4;12;10;6;2;8;10;10;8;16;2;12;6;14;6;10;14;4;6;6;0;6;4;4;6;10;2;8;6;10;10;6;6;2;0;4;4;2;4;0;6;4;8;10;6;10;6;6;2;8;2;8;4;0;2;0;8;2;0;0;2;4;4;8;2;6
#togetherky;0;0;134;18;20;66;8;12;10;26;36;34;36;52;30;0;30;26;0;20;32;22;22;14;20;4;22;14;18;16;0;10;12;0;2;10;8;10;10;12;12;6;8;0;10;4;10;8;10;6;12;6;4;6;8;6;8;4;10;8;2;12;6;8;10;6;6;6;4;6;4;4;8;0;6;2;8;6;4;6;4;4;6;2;2;2;2;4;4;6;2;0;2;8;4;8;6;4;2;2
#teamkentucky;0;0;0;20;20;68;8;20;8;26;38;36;34;52;26;0;24;28;0;20;30;22;24;12;20;6;22;12;16;16;2;10;12;2;4;8;12;8;8;6;14;6;12;0;10;6;4;6;8;8;12;4;4;8;4;4;6;2;10;10;4;12;6;8;8;8;8;4;6;8;6;6;8;0;4;2;6;6;4;8;4;2;6;4;0;2;2;6;4;4;6;0;0;8;6;6;6;8;0;2
beshear;0;0;0;0;64;10;46;46;46;0;18;18;20;16;2;46;0;18;44;8;16;0;0;4;16;0;0;0;2;0;20;0;4;2;18;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;4;0;2;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;2;0;2;0;2;2;0;0;0;2;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;2;4
governor;0;0;0;0;0;14;44;44;46;0;18;18;22;18;0;44;4;18;44;2;16;0;2;2;16;0;2;2;2;4;0;4;2;0;6;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;2;2;2;0;0;2;2;0;0;0;0;2;0;2;4;0;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;2;4;4;2;0;0;6;0;0;0;0;0;0;0;2
#healthyatwork;0;0;0;0;0;0;8;16;6;22;18;16;20;24;0;0;8;16;0;6;20;20;12;2;12;2;6;6;8;12;0;6;4;0;0;8;8;6;8;0;6;4;8;0;8;4;2;4;0;6;4;4;2;0;4;0;2;0;0;8;4;6;4;4;4;4;2;0;6;0;4;4;4;0;4;2;8;2;0;6;4;4;2;4;2;0;0;4;0;6;0;0;0;8;2;2;0;2;0;2
watch;0;0;0;0;0;0;0;48;50;20;12;6;2;2;0;46;0;8;44;0;10;0;2;0;2;22;0;2;0;0;2;0;6;20;2;0;0;0;0;0;0;0;0;16;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0
information;0;0;0;0;0;0;0;0;44;16;6;6;2;2;0;44;0;6;44;2;4;8;8;2;4;6;0;4;4;0;2;6;4;0;2;6;4;4;0;0;4;2;6;0;0;2;0;2;0;4;2;2;2;0;2;0;0;0;0;6;0;2;0;4;2;2;2;0;0;0;2;0;0;0;2;2;2;4;4;4;2;2;0;6;2;0;0;0;0;0;4;0;2;0;0;0;0;4;0;2
live;0;0;0;0;0;0;0;0;0;0;14;12;0;2;2;44;2;10;44;4;8;2;2;8;4;0;0;0;6;0;0;0;4;0;0;0;4;0;0;0;2;4;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
visit;0;0;0;0;0;0;0;0;0;0;4;0;4;6;0;2;6;2;0;2;0;16;6;4;0;20;0;6;8;0;0;6;0;18;0;2;6;10;0;0;2;2;2;16;0;6;0;8;0;0;2;6;2;0;6;0;0;0;2;8;0;0;2;6;10;6;2;0;2;2;6;0;4;0;2;2;4;0;6;8;2;2;2;2;2;0;2;0;0;4;4;0;2;0;0;0;0;2;4;0
update;0;0;0;0;0;0;0;0;0;0;0;44;16;24;2;0;0;38;0;4;34;0;4;8;26;12;0;2;6;2;0;8;8;2;0;4;4;0;0;2;4;6;2;0;2;2;0;0;0;6;6;2;0;0;0;4;0;2;2;2;2;8;0;2;0;0;0;2;0;0;0;2;4;0;0;0;0;4;0;0;4;0;0;6;0;0;2;0;2;0;2;0;0;0;2;2;0;2;0;6
5;0;0;0;0;0;0;0;0;0;0;0;0;18;24;2;0;2;38;0;6;32;2;2;8;28;8;0;2;4;0;0;6;6;2;0;6;4;0;0;4;2;4;4;0;2;0;2;2;0;4;6;2;0;0;0;4;0;2;2;2;2;8;0;2;0;0;0;2;0;2;0;2;4;0;0;0;0;4;0;0;4;0;0;6;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;6
