;#covid19;#teamkentucky;#togetherky;beshear;governor;live;watch;#healthyathome;kentuckians;update;visit;information;thank;ab;et;kentucky;updated;5;shares;#healthyatwork;#patriot;help;together;testing;via;gov;todays;health;conference;protect;safe;care;andy;commonwealth;new;news;tune;4;remember;facebook;fight;full;state;june;reopening;take;updates;tomorrow;across;lets;may;week;honor;weekend;guidelines;2;locations;10;register;follow;economy;following;share;yesterday;shared;tonight;mask;call;lost;louisville;wear;cases;please;work;making;spread;daily;stay;public;next;states;support;thing;proud;important;green;continue;lives;special;steps;family;place;guidance;masks;home;workers;people;#socialdistancing;communities;reopen
#covid19;0;252;258;204;208;200;170;142;142;160;110;152;46;40;112;72;122;116;102;58;56;60;38;60;60;38;58;38;36;34;28;36;26;34;44;32;48;38;24;48;44;26;16;26;28;34;24;24;30;22;24;26;14;20;22;6;24;26;18;20;20;20;18;24;22;12;12;20;18;10;10;26;22;16;14;20;24;16;12;20;20;20;6;4;18;16;14;6;10;18;6;20;16;8;8;12;14;14;18;6
#teamkentucky;0;0;350;70;76;62;12;186;114;100;78;36;80;80;90;44;0;96;2;86;94;54;60;38;42;2;14;22;4;38;38;18;4;20;18;2;30;6;28;48;10;12;12;6;20;22;16;16;20;22;14;20;18;18;14;8;18;18;22;18;20;8;24;24;10;18;16;16;14;2;12;8;14;16;16;18;16;18;8;12;4;16;18;16;14;14;16;16;8;10;6;8;8;12;12;8;8;8;6;16
#togetherky;0;0;0;68;78;64;12;186;122;102;62;26;86;94;90;48;0;100;2;78;90;50;62;34;44;0;12;30;2;34;34;26;2;26;20;2;28;6;22;48;14;12;12;10;20;24;14;16;22;28;16;14;22;20;14;6;16;16;20;20;14;10;22;24;16;22;18;6;22;2;16;8;16;18;18;14;16;14;10;10;6;14;14;16;16;20;14;18;6;10;8;12;12;12;16;12;6;14;6;12
beshear;0;0;0;0;184;162;118;60;90;76;4;104;0;2;80;24;120;68;100;10;0;0;0;0;32;68;2;2;18;0;0;2;50;2;0;16;20;16;2;46;18;8;6;10;0;2;4;0;0;0;4;0;0;4;0;2;0;0;0;0;0;10;0;0;2;0;0;0;0;14;0;8;0;0;0;0;0;0;2;2;12;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0
governor;0;0;0;0;0;158;114;66;80;70;2;100;8;8;76;4;100;68;100;14;6;4;4;8;28;0;0;6;8;4;2;8;14;2;12;8;20;4;2;46;10;6;2;0;2;4;2;0;0;4;2;4;0;2;4;0;2;0;0;2;0;2;0;0;2;0;0;0;0;14;0;2;0;0;8;0;0;0;0;4;0;0;0;12;0;0;4;6;4;4;2;2;2;0;6;0;0;2;2;4
live;0;0;0;0;0;0;162;46;46;94;2;104;2;2;76;12;100;62;100;8;4;0;2;4;34;4;14;0;12;0;2;0;6;4;2;12;18;36;6;48;0;0;0;12;0;10;8;10;2;2;8;6;2;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;10;0;0;0;0;0;0;6;2;0;12;0;0;0;0;0;0;0;0;0;2;0;12;0;0;0;0;0;0;0;0
watch;0;0;0;0;0;0;0;4;4;52;56;108;2;0;22;2;104;10;100;8;2;2;0;0;32;6;62;0;50;0;2;0;10;2;2;44;10;20;2;0;4;20;0;0;2;0;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;6;0;0;0;2;2;0;14;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
#healthyathome;0;0;0;0;0;0;0;0;82;76;26;10;42;28;78;22;0;80;2;24;82;20;22;6;28;0;6;8;2;24;10;8;0;10;4;2;28;0;12;42;6;10;6;0;4;6;6;4;8;12;4;6;6;10;2;4;6;14;2;8;2;4;6;12;10;4;6;2;4;0;6;8;6;6;6;6;2;8;4;2;4;8;6;8;10;2;2;10;4;10;6;4;4;4;10;6;2;12;2;2
kentuckians;0;0;0;0;0;0;0;0;0;68;8;4;26;28;70;6;20;70;0;20;18;16;12;0;20;24;2;10;4;16;10;8;20;8;8;2;20;0;8;46;26;2;2;0;0;4;4;4;2;8;0;4;12;4;2;6;0;6;2;4;2;4;8;10;4;10;0;0;14;2;0;4;2;10;12;4;2;0;0;2;16;6;2;10;0;10;6;4;6;6;0;2;2;0;4;6;2;4;4;4
update;0;0;0;0;0;0;0;0;0;0;26;18;0;4;106;18;0;104;0;20;8;10;2;2;56;10;36;4;6;2;4;2;2;4;4;2;46;28;6;48;0;24;0;16;10;10;4;14;0;4;8;4;0;8;8;2;0;4;0;0;2;6;16;4;4;0;4;2;0;2;2;4;0;0;2;0;12;4;4;12;0;0;2;0;2;0;2;2;0;6;2;10;0;4;0;0;2;2;0;0
visit;0;0;0;0;0;0;0;0;0;0;0;38;24;2;2;14;4;0;0;30;16;28;2;30;0;4;44;8;38;4;10;8;2;12;16;34;2;6;14;0;4;24;10;10;10;10;10;6;10;0;6;14;0;0;12;4;22;14;22;10;10;8;2;12;4;0;0;12;0;2;0;4;14;0;2;2;2;6;4;4;2;2;0;0;4;0;4;0;0;2;2;0;2;6;0;2;2;4;4;6
information;0;0;0;0;0;0;0;0;0;0;0;0;4;0;10;6;100;8;100;22;6;6;2;14;8;4;10;4;0;2;12;6;2;10;4;0;10;6;8;0;2;6;2;2;14;4;4;4;8;0;2;12;0;4;10;0;10;6;6;4;8;0;6;4;0;0;0;6;0;2;0;4;2;0;0;4;4;8;0;0;0;0;0;0;2;2;4;0;0;2;0;0;0;0;0;0;0;0;0;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;14;0;2;0;8;38;22;10;0;2;0;0;16;0;12;10;14;0;8;4;0;0;0;6;0;6;0;8;0;0;6;4;4;6;8;0;6;8;8;4;2;0;6;0;10;0;6;8;4;4;4;0;0;6;2;0;0;4;18;10;6;2;2;6;0;0;8;6;8;6;2;2;8;8;4;2;6;4;6;10;14;2;4;2;2
ab;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;0;4;0;0;28;8;40;0;0;0;0;4;0;10;8;8;2;12;4;2;2;0;16;0;2;0;4;0;0;4;0;8;4;18;0;0;18;6;4;2;0;2;0;2;0;2;10;6;0;24;2;0;22;0;2;0;2;4;8;4;4;4;4;0;0;4;6;10;4;18;6;8;8;0;10;0;0;0;10;0;6;2;6;0
et;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;100;0;16;12;6;0;2;50;6;14;2;12;0;2;2;6;0;0;12;36;16;6;48;0;0;2;8;6;6;4;6;0;2;6;2;0;8;2;2;0;4;2;0;2;0;10;0;0;4;2;0;2;6;2;0;0;0;2;0;4;0;2;8;0;2;0;0;2;0;2;0;2;0;2;6;0;0;0;0;0;0;0;0
kentucky;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;6;20;10;16;6;4;22;0;2;2;4;2;2;14;10;12;2;8;16;4;0;2;6;10;14;6;4;12;6;8;8;8;8;6;2;0;6;2;6;4;2;6;16;6;2;8;6;2;2;4;0;2;16;4;2;2;6;6;0;0;4;4;6;2;2;0;4;2;2;2;8;4;6;4;2;6;2;4;2;4;0
updated;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;2;0;0;0;20;2;2;4;0;0;4;18;2;0;2;0;0;0;0;16;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;12;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;10;2;4;42;0;16;6;4;0;2;4;0;0;0;2;38;0;4;48;0;2;0;2;8;4;2;4;0;2;8;2;0;6;6;0;0;4;0;2;4;6;10;4;6;0;4;0;0;0;2;2;2;2;2;2;8;2;4;2;0;0;4;0;2;0;2;0;0;4;2;4;4;4;0;2;2;2;0;0
shares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
#healthyatwork;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;6;22;22;0;2;6;0;12;16;6;0;4;2;0;12;2;10;0;4;2;4;6;16;8;4;6;10;2;2;8;0;4;8;2;6;4;6;6;14;0;6;6;0;0;10;2;0;2;10;4;4;2;2;6;6;8;0;4;0;0;4;4;0;4;6;0;0;2;4;0;4;4;0;0;0;2;0;12
#patriot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;14;4;4;0;6;8;2;12;4;8;0;8;0;2;6;0;6;2;4;4;6;0;6;2;6;4;6;6;2;2;4;4;2;4;4;8;2;8;4;4;2;6;4;4;0;2;4;0;0;4;2;4;6;2;0;0;0;2;0;12;6;8;8;2;2;6;2;8;2;2;2;0;4;8;0;0;0;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;6;0;8;10;6;0;0;2;0;0;0;2;0;2;4;4;0;0;4;2;0;4;4;2;2;0;4;2;4;0;14;0;6;2;10;6;4;6;2;2;8;0;0;2;4;6;2;2;14;2;4;2;2;2;10;2;4;2;0;4;6;2;8;2;2;4;0;4;2;2;4;2;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;14;4;2;0;12;8;0;0;2;12;0;4;0;2;2;2;4;0;6;2;12;0;2;6;2;0;0;0;6;2;6;2;0;4;0;2;8;2;0;10;2;0;0;0;2;6;4;0;4;0;4;2;0;6;8;2;10;6;2;2;6;2;2;2;0;2;0;2;0;2;2
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;2;4;0;14;18;0;2;4;4;2;2;4;2;0;4;12;2;6;16;0;6;12;0;0;0;0;22;0;20;0;4;0;0;4;0;0;0;4;0;4;0;0;8;0;2;2;2;0;0;2;0;0;0;0;4;4;2;0;0;0;0;2;0;0;0;0;0;2;6;0
via;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;16;2;12;0;2;2;6;2;0;12;44;24;0;2;0;0;0;4;6;0;4;4;2;0;0;4;0;8;2;0;0;2;0;0;0;0;10;0;0;0;2;0;0;8;2;0;0;0;0;0;4;2;2;2;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
gov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;12;0;0;2;42;2;0;8;0;12;2;0;20;6;6;10;2;0;4;0;2;0;2;0;0;4;0;2;0;0;0;0;0;10;0;0;2;0;0;0;0;4;0;8;0;0;0;0;0;0;2;0;12;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;38;0;2;2;2;0;0;36;8;2;0;2;2;8;0;0;6;0;4;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;4;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;36;0;6;2;0;2;0;0;0;2;0;6;4;10;0;4;0;2;2;2;2;4;0;4;0;0;2;0;4;8;2;2;2;2;0;2;2;0;0;4;0;2;4;4;2;2;0;6;0;0;2;6;2;8;0;4;0;0;2;0;0;6;2;2;10;4;4;2;4
