;#covid19;new;nh;state;guidance;may;click;provide;care;businesses;health;relief;million;fund;help;testing;hampshire;test;funding;thread;guidelines;across;application;granite;additional;press;child;order;forward;main;street;#603pride;update;business;3;public;reopen;facilities;available;conference;holding;ensure;week;watch;reopening;hope;accordance;ppe;education;services;live;masks;funds;operations;allow;days;eligible;flex;steps;stay;thanks;emergency;support;announcing;thank;june;communities;tune;home;residents;centers;receiving;fill;youll;receive;outdoor;take;continue;immediately;visit;resume;33;safety;monday;nhs;tests;federal;11;starting;prequalification;effective;@nhpubhealth;approach;restaurants;pregrant;economy;able;request;complete;online
#covid19;0;18;10;8;2;10;22;26;2;10;4;8;8;8;20;12;12;12;10;4;0;4;6;4;2;24;0;4;10;8;8;4;24;2;22;2;0;2;6;22;22;4;2;20;2;12;0;4;2;2;18;0;4;0;4;4;4;0;4;6;2;2;0;4;2;0;6;6;4;4;0;4;4;12;2;0;0;4;0;2;0;2;0;0;2;6;4;0;0;4;0;0;2;0;4;0;2;0;0;8
new;0;0;10;12;16;10;6;6;2;4;10;2;8;4;8;4;28;4;8;4;8;6;0;6;2;2;2;4;4;2;2;10;2;2;2;8;6;0;2;2;2;2;4;6;2;0;12;4;4;0;2;0;2;10;2;4;2;6;2;4;4;4;2;4;6;2;6;0;2;6;0;0;0;0;2;0;0;0;6;0;6;2;2;6;0;0;4;8;0;0;8;4;4;0;0;2;2;0;0;0
nh;0;0;0;12;8;12;10;6;10;6;12;8;8;4;12;6;2;4;4;4;6;16;6;2;6;0;6;4;6;4;4;4;0;8;0;8;8;6;8;0;0;8;10;0;4;2;6;10;4;2;0;6;6;0;2;4;4;2;2;6;8;4;6;2;4;0;4;0;4;10;2;4;4;0;4;2;2;4;2;4;0;2;4;4;2;6;4;6;4;2;4;0;2;2;4;2;2;4;2;0
state;0;0;0;0;8;10;6;6;2;6;10;2;4;2;2;4;6;6;4;6;4;12;2;14;4;0;0;0;2;2;2;6;2;10;2;4;10;4;6;0;0;4;6;2;2;2;4;4;2;0;2;8;0;6;0;4;4;4;2;6;4;0;0;0;4;4;2;2;2;6;0;2;2;2;0;2;0;4;4;0;4;0;2;2;2;2;0;4;0;0;4;8;6;2;0;4;2;10;0;0
guidance;0;0;0;0;0;10;14;0;4;4;10;0;2;0;2;0;0;0;0;4;2;2;0;2;6;0;4;2;2;0;0;0;0;2;0;10;4;4;2;0;0;2;2;0;6;0;6;2;2;4;0;2;0;8;8;0;2;6;2;4;2;0;0;8;0;6;2;0;4;2;2;0;0;0;0;2;2;0;8;2;10;0;6;8;2;0;0;6;2;0;6;6;2;0;0;0;6;2;0;0
may;0;0;0;0;0;0;8;2;0;8;8;8;2;8;8;0;0;0;4;4;14;6;8;2;6;0;0;4;2;8;8;0;0;2;0;4;4;0;4;0;0;0;2;0;4;0;12;4;6;2;0;0;4;0;4;4;0;2;0;6;0;0;2;4;0;6;0;0;2;6;4;4;6;0;2;4;2;2;8;2;6;2;4;8;0;0;2;8;8;4;12;6;2;2;6;2;2;0;2;4
click;0;0;0;0;0;0;0;14;0;14;4;12;0;12;6;4;0;6;2;4;0;2;12;0;0;14;0;8;0;12;12;0;14;2;14;2;4;2;0;14;14;0;8;14;4;2;0;2;0;0;14;4;8;0;2;4;6;2;0;6;4;0;0;4;0;2;0;0;6;2;0;6;4;0;4;0;0;2;4;8;2;0;4;4;2;4;0;2;2;10;0;2;2;0;4;0;2;6;8;6
provide;0;0;0;0;0;0;0;0;4;2;4;4;6;4;6;4;2;2;4;2;0;4;0;4;2;22;2;4;0;2;2;2;22;0;22;0;2;2;0;22;22;2;0;14;0;8;0;4;4;4;14;0;4;0;0;0;0;2;2;4;0;6;2;2;2;0;4;4;4;0;0;2;0;8;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0
care;0;0;0;0;0;0;0;0;0;2;8;0;6;4;4;4;0;0;6;8;0;2;2;0;4;0;12;0;6;2;2;0;0;0;0;4;4;14;0;0;0;6;4;0;2;0;0;0;4;2;0;2;0;0;0;2;2;0;0;0;0;10;4;0;0;0;0;0;0;0;6;2;0;0;2;0;2;0;0;2;0;2;2;0;2;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;4;18;4;16;8;0;2;0;6;2;0;6;12;0;4;0;0;4;0;18;18;2;2;0;0;2;2;2;4;0;0;0;2;0;4;0;0;4;2;0;0;4;10;4;0;2;4;6;2;0;4;0;2;0;0;0;0;0;0;0;0;10;6;0;4;0;0;0;0;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;6;0;0;4;8;6
