;#akleg;#akgov;alaska;state;alaskans;alaskas;future;together;year;reading;legislation;#alaska;land;great;work;new;@realdonaldtrump;create;states;people;administration;resource;reads;act;life;law;governor;economy;business;2020;children;watch;oil;history;possible;pfd;tonight;#akreads;happy;budget;spending;renewable;solutions;stop;matsu;grow;trade;good;gas;comprehensive;upon;week;jobs;historic;introduced;love;outcomes;improve;dunleavy;congratulations;statewide;learn;energy;industry;help;best;allow;2019;projects;court;program;continue;addressing;enforcement;address;forward;senate;greatest;environment;individuals;face;important;remove;grade;ensure;night;tune;country;nations;initiatives;members;fighting;goal;issues;facing;high;development;alaskan;hire;leaders
#akleg;0;76;28;20;16;10;12;14;12;6;10;2;6;8;6;6;2;4;6;6;6;6;6;6;4;2;2;6;4;6;2;4;6;8;4;6;8;6;0;6;8;6;4;0;0;4;0;2;4;4;4;2;0;2;6;4;2;4;0;0;4;4;6;4;2;2;6;2;0;0;4;6;4;0;6;2;0;2;4;6;2;2;0;4;0;0;2;0;2;4;0;0;2;2;2;2;2;2;2;0
#akgov;0;0;24;20;16;10;10;10;12;6;8;0;4;6;4;6;2;2;4;4;4;6;6;6;0;2;2;6;2;4;2;4;6;6;4;6;8;6;0;6;8;6;4;0;0;4;0;2;4;4;4;2;0;2;6;4;2;2;0;0;4;4;6;4;0;2;6;2;0;0;2;4;4;0;6;0;0;2;4;6;2;2;0;4;0;0;2;0;2;4;0;0;2;2;2;2;2;2;2;0
alaska;0;0;0;8;10;2;4;4;6;8;8;4;2;2;6;4;6;6;0;2;4;8;10;10;0;4;2;0;6;2;0;0;2;2;2;0;0;8;4;0;0;2;2;2;0;0;0;0;2;4;0;4;4;0;4;2;4;4;4;2;4;4;0;4;4;2;2;4;4;0;4;2;0;2;0;6;2;0;4;2;0;0;2;4;2;0;0;0;2;0;2;2;2;0;2;0;4;0;2;0
state;0;0;0;0;8;4;4;6;2;0;0;4;2;6;0;2;2;0;2;2;0;2;0;0;0;0;2;2;4;4;0;4;2;0;2;0;4;0;2;2;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;4;0;2;0;2;0;2;0;2;0;0;4;0;2;2;0;2;2;2;2;0;0;2;2;4;0;0;0;2;0;0;0;0;0;2;2;2
alaskans;0;0;0;0;0;2;4;6;4;0;0;2;0;2;4;2;2;2;0;4;0;4;0;0;2;2;4;0;2;0;0;0;0;0;4;0;4;0;0;4;2;2;2;2;0;0;2;2;0;0;0;0;2;2;0;6;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;2;2;0;2;0;4;0;0;2;0;0;2;2;0;0;0;4;0;0;2;2;0;0;4;0;2;0
alaskas;0;0;0;0;0;0;4;2;2;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;6;0;0;0;0;0;0;2;2;4;2;2;0;0;0;2;0;2;0;2;0;2;2;0;0;0;0;2
future;0;0;0;0;0;0;0;8;2;0;0;4;0;2;8;2;0;4;0;2;0;0;0;0;0;0;0;4;0;2;0;0;2;0;2;2;2;0;2;2;2;0;2;0;2;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;2;4;0;0;0;0;2;0;2;0;2
together;0;0;0;0;0;0;0;0;2;0;0;2;2;2;8;0;0;4;2;2;0;0;0;0;2;0;0;2;0;2;0;0;2;4;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;2;4;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
reading;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;6;6;0;0;0;0;0;0;2;0;0;0;2;0;0;6;0;0;0;0;2;0;0;0;0;0;0;4;0;4;0;0;4;0;6;4;0;0;4;4;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
legislation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;4;2;0;0;2;0;0;2;0;0;2;4;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
#alaska;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;2;0;0;0;0;2;2;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;2;0;0;2;0;2;0;0;2;2;2;0;0
land;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
@realdonaldtrump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
create;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;4;2;0;0;0;2;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;2;0;0;0;4;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
resource;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0
reads;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;4;0;4;0;0;4;0;4;4;0;0;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;4;0;4;0;0;4;0;4;4;0;0;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
governor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
