;#covid19;#akgov;#alaska;live;cases;alaskans;@alaska_dhss;new;tonight;briefing;press;state;alaska;info;tests;cumulative;deaths;todays;watch;0;apply;1;update;alaskas;latest;fishing;rate;travel;thank;help;capacity;announced;interstate;ak;great;#reopenalaskaresponsibly;hall;international;22;proclamation;holding;answer;11;june;numbers;activities;#alaskas;travelers;case;covid19;yesterday;outdoor;another;recovered;hospitalized;housing;wont;average;village;details;rent;care;virtual;stay;@realdonaldtrump;health;12new;across;encourage;federal;family;page;economy;lost;hospitalization;49total;act;sanitizer;@akdnr_official;agreement;protocols;11new;may;cares;visit;12;grant;seasonally;unemployment;dept;anchorage;guidance;1200;work;discussing;stabilize;salmon;eligible;3;set
#covid19;0;22;18;12;14;4;10;10;10;10;10;4;6;6;8;8;8;8;8;4;4;4;6;0;6;4;0;4;4;2;2;4;4;4;0;4;6;4;2;0;6;6;4;2;6;4;0;4;6;4;4;4;6;6;4;2;2;0;0;4;2;4;4;4;0;4;2;2;0;0;4;2;0;4;4;4;0;0;4;0;2;4;2;0;4;2;0;0;0;2;2;2;2;0;4;0;2;2;0;4
#akgov;0;0;18;14;4;8;12;6;8;10;10;6;4;4;0;0;0;2;10;0;4;0;4;2;2;6;0;4;4;2;0;4;6;4;4;6;6;6;0;2;4;6;2;6;0;6;0;6;2;2;2;6;2;0;0;2;0;0;0;4;2;0;4;2;0;2;0;2;2;0;0;4;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;0;0;4;0;4;2;0;4;0;4;2;0;4
#alaska;0;0;0;10;8;8;4;4;2;6;6;6;0;2;4;4;4;2;6;0;2;4;4;0;2;6;0;4;4;0;0;0;2;2;4;2;4;2;2;2;2;6;4;4;2;6;0;0;2;0;0;6;2;2;2;0;0;0;0;2;0;0;4;0;2;2;2;2;2;2;2;0;0;2;2;2;0;0;4;0;0;2;2;0;2;0;0;0;0;4;0;0;0;0;4;0;4;0;0;2
live;0;0;0;0;2;2;8;4;6;10;10;0;2;0;0;0;0;0;10;0;0;0;4;2;0;2;0;2;0;0;0;0;4;0;0;4;4;4;0;0;4;6;0;0;0;4;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0
cases;0;0;0;0;0;2;0;6;8;6;6;2;2;4;10;10;10;6;0;6;0;6;4;0;6;2;4;0;4;0;4;0;0;2;0;0;0;0;4;0;4;2;4;0;6;0;2;0;4;4;2;0;4;6;6;0;4;2;0;2;0;4;0;2;0;4;4;2;0;0;4;0;0;4;4;4;0;0;0;0;0;4;2;0;2;2;0;0;0;0;2;0;0;0;2;0;2;0;2;0
alaskans;0;0;0;0;0;0;2;0;0;0;0;4;0;4;0;0;0;0;2;0;2;0;0;2;2;4;2;2;2;2;2;2;0;4;4;0;2;0;2;4;0;2;2;4;0;4;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;2;2;0;2
@alaska_dhss;0;0;0;0;0;0;0;4;6;4;4;4;6;2;0;0;0;2;8;0;0;0;2;2;2;2;0;2;2;0;0;2;4;0;0;4;6;4;0;0;2;4;0;2;0;4;0;6;2;2;2;4;2;0;0;0;0;0;0;2;0;0;4;2;0;0;0;2;0;0;0;4;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;6;4;4;2;4;0;6;6;6;6;2;4;0;2;0;2;4;0;0;2;0;0;2;2;4;2;0;6;0;4;2;0;0;0;4;2;4;0;0;4;4;2;2;0;2;6;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;4;4;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0
tonight;0;0;0;0;0;0;0;0;0;8;8;0;4;2;6;6;6;6;4;6;0;2;4;2;4;0;2;2;0;0;2;0;4;2;0;2;2;4;0;0;4;2;2;0;4;0;2;4;4;6;0;0;0;4;4;0;2;2;0;4;0;2;0;4;0;4;2;2;0;0;0;4;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0
briefing;0;0;0;0;0;0;0;0;0;0;14;0;2;0;2;2;2;0;6;2;0;2;6;2;0;0;2;2;0;0;0;0;4;0;0;4;0;4;0;0;6;2;0;0;0;0;2;2;0;2;2;0;2;0;2;0;4;2;0;2;0;2;0;0;0;2;2;2;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;4;0;0;0;2;0
