;live;#akgov;#covid19;press;briefing;watch;@alaska_dhss;alaska;alaskans;#reopenalaskaresponsibly;tonight;#flattenthecurve;#alaska;state;economy;health;new;update;outbreak;5pm;reopen;alaskas;cases;thank;public;join;ak;businesses;plan;0;facebook;page;holding;numbers;great;responsibly;1;reopening;@annezinkmd;joined;deaths;covid19;officials;12;cumulative;discuss;tests;todays;#caresact;another;aks;latest;efforts;recovered;help;gt;#akleg;provide;22;discussing;may;economic;5;work;virus;hosting;phase;approximately;team;capacity;info;care;information;working;tomorrow;yesterday;continue;2;taking;members;federal;social;announced;questions;guidance;ongoing;case;cabinet;communities;hospitalized;briefings;evening;ways;across;system;hospitalizations;put;commissioner;alaskan;virtual
live;0;138;134;112;104;114;100;52;34;50;58;64;32;18;38;44;4;50;44;46;28;20;2;0;28;28;10;2;14;0;32;30;14;6;2;14;4;14;24;16;0;2;24;0;0;20;0;0;8;12;8;0;16;0;4;0;2;14;0;18;0;10;12;2;10;18;8;16;2;0;2;2;0;6;0;0;4;4;8;12;0;0;0;10;2;6;2;12;0;0;8;8;10;2;0;0;4;4;0;8
#akgov;0;0;156;106;98;106;100;60;52;68;62;64;50;32;48;44;8;46;42;44;34;26;6;14;24;30;22;20;20;0;30;28;18;8;16;18;10;20;22;20;0;12;20;8;0;22;2;4;12;12;10;10;16;0;6;4;12;12;6;14;4;10;12;10;12;16;12;12;6;4;6;6;8;10;2;8;6;6;6;12;2;4;6;10;8;8;4;12;4;0;8;8;8;8;4;0;4;2;2;8
#covid19;0;0;0;124;116;110;96;64;54;64;66;66;50;34;42;48;22;56;52;44;32;20;24;16;28;20;18;18;20;12;20;18;28;24;6;16;12;16;24;18;16;10;24;6;16;12;12;12;18;18;12;12;18;12;6;4;8;18;4;18;2;14;14;8;16;18;8;14;6;2;8;8;4;12;10;12;8;10;10;10;2;0;8;10;6;8;10;10;6;8;12;12;12;4;4;6;4;6;4;10
press;0;0;0;0;122;90;72;42;28;44;52;52;26;12;32;32;14;42;30;32;26;18;14;0;18;14;8;2;12;10;12;12;28;16;2;12;6;8;16;10;10;6;16;4;8;10;4;4;8;12;6;4;16;4;2;4;2;12;0;16;0;6;10;4;8;14;6;6;2;0;0;2;4;6;10;4;4;6;10;6;0;0;0;0;2;6;4;6;0;6;12;4;10;2;0;4;4;4;2;0
briefing;0;0;0;0;0;84;68;38;26;36;44;46;26;12;30;32;14;36;30;24;24;18;14;0;18;12;8;2;8;10;10;10;28;12;2;12;4;8;14;10;10;6;16;4;8;8;4;4;8;12;6;4;14;4;2;4;2;8;0;16;0;6;10;4;6;14;4;6;2;0;0;2;4;6;10;4;4;4;10;6;0;0;0;0;2;6;4;6;0;6;4;4;10;2;0;4;4;2;2;0
watch;0;0;0;0;0;0;82;42;30;36;36;56;30;16;30;32;2;42;42;34;24;16;0;0;22;16;10;0;6;0;20;18;8;6;2;12;2;8;20;18;0;2;22;0;0;10;0;0;6;8;6;0;14;0;2;0;2;12;0;12;0;8;8;2;8;14;4;14;0;0;0;0;0;8;0;0;2;4;8;12;0;0;0;8;2;4;0;12;0;0;6;6;8;0;0;0;2;4;0;6
@alaska_dhss;0;0;0;0;0;0;0;48;28;32;38;58;18;16;26;36;4;38;40;30;18;14;0;2;22;22;8;2;10;0;22;20;8;4;0;10;2;12;22;14;0;6;20;0;0;10;0;2;6;8;6;4;4;0;2;0;0;12;0;8;0;6;12;4;4;12;6;12;2;0;4;2;2;2;0;2;0;2;6;8;0;0;2;8;4;0;2;8;0;0;4;8;6;2;0;0;4;4;0;6
alaska;0;0;0;0;0;0;0;0;12;24;22;32;10;16;14;14;10;20;28;16;16;10;6;10;10;10;4;6;20;4;12;12;4;8;4;18;6;10;12;12;4;12;10;4;4;6;8;4;8;10;0;6;6;6;6;4;4;10;2;2;6;4;6;4;2;6;12;8;4;4;0;4;6;2;0;2;2;6;6;2;4;0;4;2;2;4;0;2;2;4;4;6;2;4;4;2;4;6;2;2
alaskans;0;0;0;0;0;0;0;0;0;22;12;26;24;20;22;22;4;12;16;12;20;10;8;10;12;14;10;8;8;0;4;2;4;6;8;10;2;8;8;10;0;4;8;4;2;6;4;0;4;4;8;6;8;4;8;0;6;4;8;2;2;8;6;10;8;6;2;2;6;2;6;2;4;4;2;4;10;2;6;4;0;4;6;4;4;4;0;4;2;0;2;2;8;4;0;2;8;2;0;4
#reopenalaskaresponsibly;0;0;0;0;0;0;0;0;0;0;28;10;12;4;14;8;10;14;4;22;18;10;6;4;4;10;2;12;20;2;8;6;8;6;0;10;4;2;10;2;2;6;0;2;2;12;4;0;12;2;2;8;12;2;2;2;4;6;4;6;2;4;2;6;4;4;10;0;0;2;4;2;6;2;4;4;2;6;2;0;0;2;6;4;6;6;0;0;4;0;8;2;0;2;2;2;0;2;2;2
tonight;0;0;0;0;0;0;0;0;0;0;0;24;8;10;18;20;12;28;18;38;12;2;12;0;12;22;6;4;10;10;16;16;20;16;2;8;8;12;6;0;10;10;8;0;10;18;8;8;2;8;6;8;10;6;4;2;0;10;0;10;0;4;12;2;4;10;6;8;2;2;4;4;4;2;6;2;2;4;4;2;0;0;0;4;4;4;6;2;0;8;12;0;2;2;2;2;2;2;0;2
#flattenthecurve;0;0;0;0;0;0;0;0;0;0;0;0;14;14;24;32;0;34;30;22;20;12;0;4;16;12;8;0;8;0;12;12;6;2;2;6;0;6;12;14;0;4;16;0;0;8;0;0;2;8;0;2;4;0;4;0;0;10;0;2;0;2;8;4;6;6;0;8;6;0;0;4;2;6;0;0;2;0;2;8;0;0;0;2;0;0;0;8;0;0;6;6;8;0;0;0;4;2;0;0
#alaska;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;8;6;14;4;8;16;4;8;12;2;2;2;8;2;0;2;2;4;4;8;6;6;4;6;4;4;2;0;0;4;0;4;2;0;2;4;4;4;2;2;0;2;0;4;4;4;2;0;6;2;2;0;0;2;0;2;0;2;8;0;4;2;2;0;0;4;2;2;2;2;4;4;0;0;2;0;0;4;4;0;0;4;0;2;4
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;6;12;18;8;8;8;6;6;12;8;4;6;2;2;12;12;4;4;12;4;2;0;2;4;2;6;8;2;2;4;2;2;0;6;4;4;2;2;0;0;4;4;4;0;6;0;4;4;2;2;2;6;2;0;2;4;2;4;0;8;6;2;0;2;0;0;6;2;2;2;2;2;0;0;0;4;4;6;4;2;2;2;2;2
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;18;10;10;26;16;2;2;4;6;4;10;4;0;2;2;2;4;2;6;2;12;0;10;0;0;4;2;0;8;0;2;2;2;4;0;10;0;6;0;2;4;0;4;2;2;4;4;0;4;2;0;2;2;0;2;0;10;0;2;0;0;4;4;2;0;2;0;0;6;2;4;2;0;2;0;6;0;0;0;2;0;2;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;28;14;12;2;4;8;30;10;12;4;2;2;14;14;8;2;2;6;0;2;4;8;2;2;24;0;2;4;2;2;2;8;8;0;4;2;4;0;2;8;2;8;2;6;8;4;4;10;2;12;6;4;2;10;0;0;0;0;4;0;4;10;0;2;2;0;2;0;2;10;2;0;0;8;6;4;6;0;2;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;20;0;0;2;2;2;6;16;2;2;8;16;6;2;8;2;0;0;18;10;0;2;18;2;16;14;0;2;2;10;0;18;0;6;0;2;4;2;0;0;2;4;0;0;0;0;2;2;4;2;4;0;8;4;2;2;0;0;0;0;2;0;2;0;6;0;0;8;4;2;0;0;2;10;0;0;0;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;20;14;4;6;0;14;8;4;0;4;4;16;16;10;6;0;2;4;2;10;8;6;6;14;0;6;8;4;2;2;8;0;2;2;2;0;2;0;16;0;2;0;0;10;0;8;6;0;10;2;0;2;0;2;4;4;0;0;4;4;6;0;0;0;2;0;0;2;6;0;4;6;8;6;0;0;2;0;4;2;0
outbreak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;6;6;2;0;22;10;10;0;6;0;14;14;4;0;4;4;0;2;12;14;0;6;22;0;0;4;2;0;2;8;6;2;4;2;2;0;0;8;0;4;0;2;8;6;4;8;0;14;0;0;0;4;4;2;0;0;4;0;4;8;2;0;2;2;0;0;0;8;0;0;0;8;4;0;2;0;0;4;0;2
