kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
state,35,state,21,wisconsin,47,state,42,wisconsin,33,state,33,state,195,state,97,state,98,state,195
work,23,wisconsin,15,state,41,wisconsin,31,work,25,wisconsin,20,wisconsin,159,wisconsin,75,wisconsin,84,wisconsin,159
year,17,great,13,covid19,39,safe,29,state,23,work,16,work,116,work,56,work,60,work,116
wisconsin,13,work,12,health,30,#covid19,29,communities,23,covid19,14,health,96,folks,50,health,59,health,96
people,12,schools,11,folks,30,health,28,continue,20,health,12,folks,93,communities,42,safe,54,folks,93
folks,11,students,10,communities,24,people,27,#covid19,20,racism,12,communities,82,covid19,39,#covid19,53,communities,82
communities,10,rural,10,public,23,#saferathome,27,health,19,country,10,covid19,73,health,37,help,44,covid19,73
#wisots,9,folks,9,order,22,help,27,safe,18,help,9,help,73,people,33,folks,43,help,73
forward,9,communities,8,help,22,thank,25,home,17,folks,9,people,71,thank,32,home,43,people,71
kids,9,black,7,spread,21,home,25,folks,16,people,8,thank,69,help,29,communities,40,thank,69
legislature,8,learn,7,work,21,order,23,together,16,community,8,#covid19,68,working,29,people,38,#covid19,68
families,8,support,7,working,20,wisconsinites,20,businesses,14,continue,8,safe,63,public,28,thank,37,safe,63
family,7,thank,6,thank,20,public,19,support,14,healthcare,7,home,62,kids,26,businesses,36,home,62
together,7,census,6,people,16,work,19,neighbors,13,safe,7,public,60,schools,26,wisconsinites,35,public,60
schools,7,funding,6,#saferathome,16,businesses,18,stay,13,change,7,wisconsinites,56,order,23,continue,34,wisconsinites,56
future,7,kids,6,#covid19,15,workers,18,local,13,support,6,order,53,important,22,covid19,34,order,53
important,7,working,6,ensure,15,folks,18,wisconsinites,12,youve,6,continue,51,spread,21,#saferathome,34,continue,51
great,7,public,5,workers,14,healthcare,17,good,12,apply,6,support,51,wisconsinites,21,support,33,support,51
2019,6,caucus,5,continue,14,take,17,across,11,public,6,together,51,great,21,public,32,together,51
good,6,next,5,home,14,safer,15,testing,11,together,6,#saferathome,50,together,20,together,31,#saferathome,50
thank,6,people,5,@dhswi,14,working,13,learn,11,crisis,6,working,47,home,19,order,30,working,47
wisconsinites,6,education,5,together,13,support,13,virus,11,million,6,businesses,46,year,19,workers,27,businesses,46
farmers,6,plan,5,wisconsinites,13,emergency,13,safety,11,nation,6,take,42,forward,18,take,26,take,42
issues,6,legislative,5,important,13,lives,12,plan,10,family,5,workers,42,support,18,community,26,workers,42
wisconsins,6,school,5,care,12,available,12,community,10,communities,5,great,41,ensure,18,healthcare,26,great,41
best,6,week,5,federal,12,safety,12,protect,10,moment,5,across,36,wisconsins,17,stay,24,across,36
program,6,opportunity,4,emergency,11,legislature,12,covid19,10,capitol,5,safety,36,best,17,across,23,safety,36
politics,6,legislature,4,safety,11,communities,12,thank,10,seoc,5,healthcare,36,family,17,safety,23,healthcare,36
elected,6,property,4,neighbors,11,safely,11,great,10,join,5,wisconsins,36,continue,17,plan,21,wisconsins,36
debt,6,place,4,kids,11,staying,11,announced,9,black,5,important,36,take,16,safer,21,important,36
help,6,bipartisan,4,take,11,families,11,wisconsins,9,pandemic,5,good,36,good,16,emergency,21,good,36
proud,6,forward,4,resources,10,#stayhome,10,care,8,program,5,plan,35,#saferathome,16,testing,21,plan,35
maps,5,proposal,4,needs,10,crisis,10,workers,8,force,5,care,34,@dhswi,16,lives,20,care,34
budget,5,@lgmandelabarnes,4,information,10,plan,10,find,8,healthy,5,best,34,families,16,great,20,best,34
thanks,5,family,4,testing,9,covid19,10,may,8,grant,5,community,34,students,15,good,20,community,34
officials,5,month,4,healthcare,9,election,10,best,8,contact,5,stay,34,care,15,staying,20,stay,34
lets,5,#blackhistorymonth,4,protect,9,part,9,program,8,history,5,families,34,workers,15,learn,20,families,34
address,5,lets,4,wisconsins,9,republicans,9,help,8,tested,5,learn,34,#covid19,15,neighbors,20,learn,34
ensuring,4,find,4,safe,9,together,9,staying,8,violence,5,neighbors,33,plan,14,wisconsins,19,neighbors,33
2020,4,vote,4,part,9,across,8,#saferathome,7,everyone,5,kids,33,rural,14,care,19,kids,33
peoples,4,count,4,support,9,stay,8,public,7,disparities,5,ensure,32,learn,14,protect,19,ensure,32
student,4,complete,4,#stayhome,9,economy,8,take,7,learn,5,family,32,legislature,14,announced,19,family,32
task,4,life,3,good,9,community,8,test,7,great,4,emergency,32,across,13,safely,18,emergency,32
water,4,theres,3,please,9,legislative,8,customers,7,testing,4,lives,31,ensuring,13,working,18,lives,31
home,4,committee,3,response,8,reopen,8,pandemic,6,climate,4,schools,30,neighbors,13,families,18,schools,30
plan,4,ensuring,3,business,8,services,8,lives,6,calling,4,legislature,30,safety,13,crisis,17,legislature,30
students,4,million,3,schools,8,important,8,remember,6,celebrate,4,spread,30,federal,13,contact,17,spread,30
health,4,8,3,best,8,visit,8,family,6,action,4,testing,30,week,13,best,17,testing,30
able,4,community,3,local,8,protect,8,families,6,wisconsins,4,protect,28,critical,13,virus,16,protect,28
put,4,tax,3,critical,8,contact,7,put,6,care,4,@dhswi,27,school,12,local,16,@dhswi,27
dots,4,news,3,available,8,#thread,7,safely,6,life,4,forward,27,lets,12,legislature,16,forward,27
office,4,economic,3,prevent,7,may,7,critical,6,still,4,critical,26,information,12,pandemic,15,critical,26
times,3,stopped,3,across,7,care,7,grant,6,visit,4,local,26,farmers,11,country,15,local,26
lot,3,mental,3,lab,7,critical,7,box,6,businesses,4,week,25,resources,11,may,15,week,25
dedicated,3,visit,3,businesses,7,friends,7,food,6,large,4,students,25,needs,11,family,15,students,25
businesses,3,across,3,ppe,7,business,7,safer,6,building,4,part,24,business,11,visit,15,part,24
celebrate,3,couldnt,3,#flattenthecurve,7,vote,7,emergency,6,able,4,year,24,lives,11,important,14,year,24
rural,3,farmers,3,stay,7,announced,7,social,6,across,4,staying,24,future,11,racism,14,staying,24
success,3,elected,3,capacity,7,dial,7,dial,6,good,4,still,24,emergency,11,ensure,14,still,24
governor,3,2020,3,supplies,7,calling,7,week,6,george,4,announced,24,still,11,everyone,14,announced,24
issue,3,speech,3,assistance,6,ensure,6,million,5,june,4,available,24,businesses,10,part,14,available,24
secretarydesignee,3,best,3,new,6,neighbors,6,viruses,5,@lgmandelabarnes,4,safer,23,address,10,available,14,safer,23
new,3,thanks,3,hard,6,action,6,contact,5,#covid19,4,everyone,23,find,10,healthy,13,everyone,23
clean,3,events,3,lives,6,best,6,order,5,news,4,lets,23,opportunity,10,dial,13,lets,23
force,3,future,3,issue,6,testing,6,away,5,justice,4,program,22,local,10,critical,13,program,22
americas,3,history,3,updates,6,access,6,initiative,5,month,4,find,22,available,10,still,13,find,22
stop,3,whats,3,ensuring,6,wisconsins,6,needs,5,@wedcnews,3,needs,21,part,10,program,13,needs,21
working,3,lives,3,means,6,bounce,6,turn,5,lgbtq,3,visit,21,officials,10,social,13,visit,21
addressing,3,health,3,families,6,steps,6,healthy,5,farmers,3,safely,20,isnt,10,join,13,safely,20
expanding,3,coors,3,everyone,6,inperson,6,everyone,5,masks,3,crisis,20,hard,10,action,12,crisis,20
isnt,3,molson,3,family,6,continue,6,bounce,5,thoughts,3,contact,20,stay,10,week,12,contact,20
across,3,ways,3,briefing,6,great,6,lets,5,best,3,virus,20,elected,10,million,12,virus,20
cheese,3,critical,3,educators,6,capacity,6,supporting,5,quality,3,business,20,healthcare,10,find,12,business,20
