;state;work;year;wisconsin;people;folks;communities;#wisots;forward;kids;legislature;families;family;together;schools;future;important;great;2019;good;thank;wisconsinites;farmers;issues;wisconsins;best;program;politics;elected;debt;help;proud;maps;budget;thanks;officials;lets;address;ensuring;2020;peoples;student;task;water;home;plan;students;health;able;put;dots;office;times;lot;dedicated;businesses;celebrate;rural;success;governor;issue;secretarydesignee;new;clean;force;americas;stop;working;addressing;expanding;isnt;across;cheese;bipartisan;challenges;improving;whats;bills;building;commission;fair;dairyland;connect;wrong;still;#mlkday;roads;visited;facing;farms;move;face;accomplish;take;counties;investing;talk;start;access;session
state;0;18;12;10;10;10;12;6;10;10;4;8;10;8;8;10;6;2;8;8;8;6;6;8;6;8;4;6;2;4;2;4;2;4;0;0;2;8;2;8;2;4;6;2;0;4;4;4;2;6;4;0;2;4;4;4;4;4;4;2;2;2;2;0;6;2;0;4;2;4;0;4;2;4;2;4;2;0;4;2;2;2;2;0;0;4;4;4;6;4;4;2;2;0;2;0;2;0;2;2
work;0;0;14;6;6;10;12;4;6;4;4;4;2;4;4;2;6;4;6;2;8;0;6;10;2;4;6;4;6;0;2;8;0;0;2;4;6;4;2;4;0;0;2;4;4;2;2;2;2;4;4;0;2;6;2;6;0;2;0;2;4;0;2;2;2;0;2;2;0;4;0;2;0;6;2;4;0;0;6;0;0;0;4;2;4;4;2;2;4;2;0;4;4;0;2;2;2;0;2;2
year;0;0;0;8;6;0;4;4;4;4;6;4;4;0;6;0;4;2;8;4;0;4;0;6;0;2;4;6;6;0;0;10;0;2;0;4;2;2;2;8;0;0;0;4;2;2;0;8;2;4;2;4;4;2;0;0;0;0;0;0;2;4;2;4;0;0;2;0;0;6;0;4;0;4;0;6;0;2;0;0;0;0;2;0;2;0;6;0;4;0;0;0;2;2;2;2;0;2;2;0
wisconsin;0;0;0;0;8;0;4;4;2;0;0;6;0;0;2;4;2;0;6;6;4;2;2;4;0;6;0;4;4;0;0;0;2;0;0;2;0;0;0;4;0;0;4;4;0;0;0;4;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;2;2;4;0;0;0;0;2;0;4;0;2;0;2;0;2;0;2;4;0;2;0;0;2;0;0;0;0;2;0;2;0;2;0;2;0;0
people;0;0;0;0;0;4;4;8;6;0;2;2;0;0;2;0;4;0;2;4;0;4;2;6;0;2;0;10;4;0;0;0;6;2;0;2;2;0;0;6;4;0;0;0;0;0;0;2;2;6;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;4;0;2;0;0;4;4;0;2;0;0;0;2;0;4;2;4;0;2;2;0;2;0;2;0;0;0;4;2;0;2;0;0;0;2
folks;0;0;0;0;0;0;6;8;4;2;0;2;0;4;2;2;4;4;0;0;2;2;0;0;2;2;0;0;4;2;4;0;4;0;4;4;2;0;2;0;4;2;2;0;2;0;0;0;6;0;2;0;0;2;2;4;0;0;2;2;0;2;4;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;4;4;0;0;0;4;2;2;0;2;0;2;4;2;0;0;2;0;2;0;0;0
communities;0;0;0;0;0;0;0;0;6;0;0;4;4;0;0;2;6;0;4;2;2;0;8;2;0;2;0;2;2;0;2;2;0;2;2;0;4;6;2;2;0;0;0;2;2;4;0;2;2;2;0;0;2;2;2;4;0;6;2;2;2;0;2;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;2;2;0;0;0;2;2;0;0;0
#wisots;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;4;2;2;2;6;0;0;4;0;2;0;0;4;2;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;4;2;2;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0
forward;0;0;0;0;0;0;0;0;0;2;4;2;0;4;0;2;4;4;2;2;0;0;2;4;0;2;0;2;2;4;4;0;0;2;0;0;0;2;4;4;0;4;2;0;2;0;0;0;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;4;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;6;0;2;2;0;0;0;2;0;2
kids;0;0;0;0;0;0;0;0;0;0;0;4;2;2;6;2;2;0;2;0;4;2;0;0;2;2;4;0;0;2;4;4;0;4;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;4;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;2;4;0;0;0;2;0;0;0;0;2;0;0;2;0
legislature;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;2;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;4;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;4
families;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;2;0;0;4;0;0;0;2;2;0;4;2;2;0;0;0;0;0;0;0;0;0;4;4;2;4;0;2;2;0;0;2;0;2;0;0;2;0;2;0;0;2;0;0;2;4;4;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;2;2;0;0;0;4;0;2;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;2;2;2;0;0;0;0;2;4;2;0;0;0;0;2;2;0;2;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;2;4;0;0;0;0;0;0;2;0;0
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;2;0;0;4;4;0;2;0;0;0;4;0;4;0;0;0;0;2;4;0;0;0;0;2;0;0;4;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;6;2;0;2;0;0;0;0;2;2;0;0;2;0
