;wisconsin;state;covid19;health;folks;communities;public;order;help;spread;work;working;thank;people;#saferathome;#covid19;ensure;workers;continue;home;@dhswi;together;wisconsinites;important;care;federal;emergency;safety;neighbors;kids;take;resources;needs;information;testing;healthcare;protect;wisconsins;safe;part;support;#stayhome;good;please;response;business;schools;best;local;critical;available;prevent;across;lab;businesses;ppe;#flattenthecurve;stay;capacity;supplies;assistance;new;hard;lives;issue;updates;ensuring;means;families;everyone;family;briefing;educators;frontlines;friends;week;leadership;healthy;cross;weeks;school;government;forward;mindful;leaders;face;secretarydesignee;130;able;plan;learn;requested;still;services;due;lightly;isnt;community;access;calling
wisconsin;0;22;18;16;12;14;16;6;2;12;12;2;10;8;6;4;6;6;18;6;6;6;4;6;4;6;4;2;2;4;2;6;0;4;6;2;2;4;4;4;8;4;8;2;4;6;6;4;4;6;6;6;4;6;8;4;4;2;6;0;4;10;2;0;6;2;4;0;6;2;0;2;2;4;0;6;4;4;0;6;0;2;4;0;4;0;2;2;4;0;2;4;0;2;2;4;2;0;2;2
state;0;0;18;20;14;14;16;6;6;10;12;10;10;14;8;2;10;4;2;2;6;8;6;2;8;6;8;8;4;0;4;6;6;4;4;4;2;2;2;0;2;4;4;4;6;8;0;2;10;4;4;4;12;2;4;4;2;0;0;2;4;0;6;6;4;0;0;4;0;0;4;2;0;6;4;4;4;0;0;2;0;2;0;2;6;2;4;0;0;2;2;4;2;4;0;4;2;2;4;0
covid19;0;0;0;26;8;10;24;10;10;32;12;12;4;8;4;2;12;10;8;4;12;4;10;10;8;2;14;6;4;6;4;6;4;6;6;4;6;2;10;8;4;0;4;6;8;2;8;6;4;4;4;12;0;2;2;2;2;2;4;2;6;4;4;0;2;2;4;4;4;0;2;2;4;4;4;2;0;4;0;0;2;0;2;4;2;2;4;2;2;2;2;8;2;0;4;2;0;0;4;2
health;0;0;0;0;2;6;32;10;2;12;2;8;8;8;10;2;8;6;4;2;6;2;4;8;6;0;20;10;2;2;2;4;2;2;2;2;8;2;2;2;4;4;0;4;4;6;2;0;4;2;4;4;0;2;4;2;0;2;2;2;2;2;2;4;2;2;4;2;0;0;2;2;2;4;0;0;4;0;0;2;2;0;0;2;6;0;0;2;0;2;6;4;0;2;0;4;2;2;2;0
folks;0;0;0;0;0;4;0;10;6;6;12;8;6;10;10;4;2;4;6;8;8;8;2;4;8;0;0;2;6;2;6;2;2;2;2;4;2;2;4;4;2;6;6;4;0;2;0;4;4;4;2;4;10;0;2;0;2;2;2;2;0;0;6;2;2;0;0;6;2;6;6;2;0;0;6;4;0;2;0;2;0;0;0;4;2;2;6;2;0;0;0;0;0;2;0;4;4;2;0;0
communities;0;0;0;0;0;0;6;8;10;6;10;6;10;10;8;4;4;10;8;6;2;2;0;6;6;2;2;6;6;2;2;4;2;0;0;6;4;4;12;2;2;6;0;2;6;0;2;2;4;4;2;4;4;0;4;2;6;0;0;0;2;2;4;4;4;2;2;2;6;2;4;2;2;4;4;0;2;6;0;0;0;2;2;2;2;0;0;2;0;2;2;0;2;2;0;4;4;0;0;0
public;0;0;0;0;0;0;0;8;0;14;0;4;4;6;6;2;4;6;2;0;8;0;2;4;6;0;18;2;0;0;0;4;2;2;0;4;2;0;4;2;2;2;0;2;2;8;2;0;2;2;4;4;0;2;4;0;0;2;0;2;2;0;2;0;2;2;0;0;0;0;0;2;0;4;0;0;2;2;0;4;0;0;2;2;6;0;0;2;2;0;4;0;0;0;2;2;0;2;2;0
order;0;0;0;0;0;0;0;0;8;6;0;4;2;10;20;4;2;2;0;4;6;2;2;6;0;0;2;4;6;0;6;0;0;0;2;0;2;0;4;6;0;8;0;4;0;4;4;2;0;2;2;0;2;2;4;2;4;0;2;2;0;0;4;4;2;0;0;6;2;2;2;4;0;0;2;2;0;2;0;0;0;0;0;0;2;0;2;4;0;2;0;2;2;2;2;6;8;2;0;0
help;0;0;0;0;0;0;0;0;0;8;6;2;2;4;8;6;2;6;2;8;2;4;2;8;4;0;2;2;14;2;0;0;4;0;0;6;8;2;2;8;0;8;2;2;4;0;0;4;0;0;0;6;2;0;2;0;6;2;0;0;0;0;0;6;0;0;0;4;0;2;6;0;2;4;8;0;0;4;4;0;0;0;0;2;0;2;0;0;2;4;0;0;2;0;0;0;2;0;0;4
spread;0;0;0;0;0;0;0;0;0;0;8;2;2;8;0;4;4;4;2;0;10;6;4;2;2;0;6;2;4;2;4;2;0;2;2;2;4;0;6;8;0;0;4;0;2;2;4;4;2;2;4;12;0;2;0;2;2;2;2;2;0;0;2;2;2;0;0;2;2;0;2;0;2;2;4;2;0;4;0;0;0;0;4;6;2;0;2;0;0;0;0;4;0;0;0;2;2;2;2;0
