;state;wisconsin;work;folks;communities;covid19;health;people;thank;help;working;public;kids;schools;order;important;spread;wisconsinites;great;together;home;year;forward;support;ensure;wisconsins;best;family;continue;take;good;#saferathome;@dhswi;families;students;care;workers;#covid19;plan;rural;learn;legislature;across;ensuring;neighbors;safety;federal;week;critical;school;lets;information;farmers;resources;needs;business;lives;future;emergency;still;businesses;address;find;opportunity;local;available;part;officials;isnt;hard;stay;elected;healthcare;everyone;times;#wisots;access;#stayhome;bipartisan;funding;able;testing;safe;vote;program;issue;please;new;protect;face;community;debt;response;secretarydesignee;thanks;weeks;services;proud;politics;black
state;0;40;36;34;30;18;24;28;18;8;16;18;18;16;6;10;10;14;2;16;2;14;14;10;14;8;12;18;8;8;12;8;6;12;8;12;6;2;8;8;6;10;20;6;6;8;8;6;8;4;6;4;10;8;6;10;8;16;8;2;8;12;6;10;10;6;2;10;6;8;0;8;6;2;6;6;10;4;6;8;2;4;2;0;4;6;4;2;2;4;6;6;6;6;0;2;6;4;8;4
wisconsin;0;0;26;14;20;18;20;18;18;2;6;18;4;8;6;8;12;6;4;6;8;10;8;12;6;4;12;6;20;4;14;6;10;12;4;8;6;4;0;6;6;4;4;6;2;2;6;6;6;4;6;6;10;8;0;6;2;8;4;2;8;4;4;4;4;8;4;6;4;6;4;8;2;4;6;4;2;4;0;4;4;6;4;0;2;6;2;12;2;2;0;0;4;2;2;6;2;2;4;2
work;0;0;0;26;28;12;4;12;22;8;6;0;8;6;0;12;8;4;16;14;8;16;10;10;12;4;6;8;10;0;12;4;4;6;4;6;6;2;2;4;2;8;6;10;0;6;4;6;6;4;12;0;8;2;2;6;0;4;0;4;8;4;6;6;4;2;6;6;2;12;0;8;6;6;4;4;6;0;8;2;4;4;6;4;8;4;0;2;4;4;0;0;2;0;4;0;6;8;4;2
folks;0;0;0;0;14;8;2;16;10;10;10;0;8;4;10;8;6;4;4;12;10;4;4;4;2;4;8;6;8;6;8;10;8;6;2;8;6;4;2;0;4;2;12;4;6;6;0;4;8;2;10;2;0;2;2;6;4;4;0;2;6;0;4;0;4;2;4;6;8;6;2;8;4;6;0;8;2;6;4;4;6;2;4;2;0;2;4;4;2;4;4;2;0;8;4;2;2;0;2;0
communities;0;0;0;0;0;10;8;14;12;12;10;6;2;4;8;14;6;0;6;2;8;4;8;8;6;6;4;8;8;4;2;8;2;10;2;6;10;4;6;16;6;2;8;6;6;6;2;2;8;2;8;0;10;4;4;2;4;2;2;2;8;8;0;4;6;2;2;0;8;6;0;2;6;2;2;0;2;6;2;0;2;0;12;2;2;6;2;4;4;2;0;0;6;0;2;0;2;2;2;0
covid19;0;0;0;0;0;0;26;8;4;10;12;24;6;8;10;10;32;10;0;4;4;0;2;4;12;2;6;2;8;4;4;4;12;4;2;8;10;2;2;0;2;0;0;4;4;6;2;2;4;2;0;6;0;6;4;2;0;0;14;2;2;6;4;2;4;4;8;4;0;4;2;2;4;0;6;0;4;0;2;0;2;6;10;0;0;2;6;4;6;2;0;0;8;4;0;0;0;0;0;0
health;0;0;0;0;0;0;0;12;8;2;10;32;4;6;10;10;12;6;2;2;2;8;2;6;10;4;0;2;6;2;2;10;6;2;2;10;6;2;2;0;6;0;0;4;2;10;0;0;2;2;2;2;0;4;2;6;6;0;20;0;4;6;0;0;4;4;2;4;2;2;2;2;2;0;0;0;4;4;6;2;0;2;2;0;0;4;4;4;8;0;2;0;4;0;0;2;4;4;2;0
people;0;0;0;0;0;0;0;0;4;4;6;6;2;4;10;8;8;4;2;0;4;6;12;6;4;2;4;2;6;8;4;8;4;2;0;4;4;2;0;6;2;2;10;0;6;8;0;0;4;0;4;0;2;0;0;4;4;0;0;4;2;0;2;0;0;4;2;4;6;8;0;6;4;0;0;8;0;4;4;0;2;0;2;0;0;0;2;2;0;0;4;0;0;2;2;2;4;0;14;0
thank;0;0;0;0;0;0;0;0;0;4;12;6;4;2;2;6;2;2;4;8;4;0;2;2;0;0;4;4;4;4;2;4;2;2;4;6;2;2;0;0;0;0;0;0;0;2;0;6;0;0;2;0;2;2;2;2;2;2;0;0;0;2;2;0;2;0;0;2;2;8;0;0;4;4;0;0;0;0;0;0;0;0;4;0;2;4;2;0;2;0;0;0;0;2;2;0;2;0;0;0
help;0;0;0;0;0;0;0;0;0;0;2;0;6;2;8;8;8;2;0;6;8;0;4;2;2;2;4;6;2;0;2;8;2;2;0;4;6;6;6;2;0;0;2;0;14;2;0;0;0;0;0;0;0;0;6;0;6;0;2;2;2;2;4;6;2;0;8;0;2;0;2;0;6;2;4;2;0;8;0;0;4;0;2;0;2;2;2;2;8;2;0;2;4;2;2;0;0;2;0;0
working;0;0;0;0;0;0;0;0;0;0;0;4;8;8;4;6;2;6;2;6;8;0;6;4;12;2;2;0;8;2;0;6;2;4;4;10;0;0;0;2;6;4;4;0;4;2;6;6;2;2;0;4;0;4;4;0;2;0;4;0;0;2;2;2;2;0;0;4;0;8;0;0;4;0;0;0;4;0;2;0;0;2;4;0;2;0;4;0;2;2;0;0;2;0;0;2;2;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;2;8;8;4;14;2;2;0;2;0;4;2;4;0;0;0;2;2;0;6;10;0;2;6;6;2;0;0;4;2;2;0;0;2;0;4;2;0;0;2;0;4;2;8;0;0;18;0;4;4;0;0;2;4;2;2;0;2;4;2;4;0;0;0;4;2;2;0;2;0;4;0;0;2;2;0;2;0;2;0;2;0;0;4;0;0;0;0
kids;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;4;2;2;2;2;6;4;2;4;4;2;6;2;8;4;0;0;0;10;2;6;0;0;4;0;0;2;4;2;2;2;0;0;2;8;0;0;0;2;0;0;4;4;0;4;0;2;2;0;0;0;0;2;2;0;0;2;0;2;0;2;6;0;2;4;0;0;2;0;4;2;2;0;0;2;0;2;0;0;0;0;0;4;2;0
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;2;4;0;4;6;2;6;4;4;6;0;10;4;2;0;2;6;4;6;0;2;4;6;2;2;4;4;0;2;2;4;0;6;2;0;0;2;0;0;0;4;0;2;2;2;2;0;0;0;2;0;2;0;0;0;2;0;0;0;6;0;0;6;0;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;4;4;2
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;2;2;2;4;0;0;0;2;0;2;2;0;6;0;20;6;2;0;0;2;4;2;0;0;0;2;0;6;4;0;2;2;0;0;0;0;0;0;4;4;0;2;2;4;0;2;4;0;2;6;2;8;4;0;2;0;2;0;0;0;8;0;0;0;2;4;0;0;2;4;0;2;0;2;0;0;2;0;0;2;0;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;4;4;4;2;4;2;4;0;6;2;2;8;2;0;2;4;6;4;0;0;4;2;2;4;0;2;0;0;4;2;0;4;0;0;0;0;0;2;4;0;4;4;0;2;0;2;4;0;0;2;6;2;4;0;0;0;4;2;0;0;4;2;0;0;0;2;0;2;2;2;0;0;2;0;2;2;0;0;2;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;0;4;0;4;0;4;2;2;4;4;0;10;2;0;2;4;4;0;0;0;0;0;0;4;2;0;2;2;0;0;2;0;2;0;2;2;0;6;0;0;2;0;2;2;4;8;4;2;2;2;2;2;0;0;0;2;0;0;0;0;2;6;0;0;2;0;0;4;0;2;0;2;2;0;0;0;0;0;0
wisconsinites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;2;2;2;2;2;0;2;0;4;0;0;0;0;2;0;2;4;0;0;2;2;4;0;2;0;0;2;0;4;4;0;2;2;0;0;2;2;2;0;0;0;2;0;0;0;2;6;0;0;2;0;0;4;2;4;0;0;0;0;2;4;2;0;0;0;2;0;2;0;0;2;0;0;0;2;0;2;2
