kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
hawaii,24,help,5,#covid19,37,hawaii,22,hawaii,15,health,18,hawaii,92,hawaii,43,hawaii,49,hawaii,92
#sustainablehawaii,15,#sustainablehawaii,4,#coronavirus,21,#covid19,15,state,12,travel,14,#covid19,75,#covid19,40,health,37,#covid19,75
#sots2020,12,energy,4,state,21,#hawaiicovid19,14,reopening,11,hawaii,12,state,65,state,33,#covid19,35,state,65
#higov,11,governors,4,news,18,director,14,businesses,10,#covid19,11,health,45,#coronavirus,21,state,32,health,45
state,11,via,4,hawaii,16,community,13,#covid19,9,travelers,11,2020,40,2020,20,dr,26,2020,40
working,9,families,3,march,15,state,11,2020,9,quarantine,11,news,39,#sustainablehawaii,20,director,23,news,39
2020,8,communities,3,community,13,health,11,may,9,new,10,community,37,news,19,#hawaiicovid19,22,community,37
housing,7,#covid19,3,home,13,bruce,10,watch,8,june,10,dr,32,working,16,live,21,dr,32
families,7,renewable,3,#live,11,dr,10,news,8,dr,9,director,28,#higov,16,community,21,director,28
affordable,6,goal,3,work,10,anderson,9,reopen,8,state,9,conference,27,community,16,anderson,20,conference,27
people,6,programs,3,conference,10,business,9,health,8,watch,9,live,25,march,15,news,20,live,25
mahalo,6,guidance,3,2020,10,medical,8,speakers,7,interisland,8,#coronavirus,23,#live,15,2020,20,#coronavirus,23
new,6,officials,3,stay,9,news,8,update,7,community,8,working,23,home,13,watch,19,working,23
package,6,federal,3,covid19,8,live,8,emergency,7,live,7,people,23,help,13,bruce,19,people,23
#hileg,5,hawaii,3,together,8,dept,7,dr,7,together,7,proclamation,23,work,12,reopening,17,proclamation,23
joint,5,#higov,3,spread,8,provide,6,conference,7,care,6,watch,22,#sots2020,12,businesses,17,watch,22
climate,5,dc,3,continue,7,people,6,operations,6,cases,6,department,22,conference,12,people,15,department,22
energy,5,l,2,public,7,help,6,live,6,testing,6,#hawaiicovid19,22,together,11,conference,15,#hawaiicovid19,22
part,5,airport,2,actions,7,economic,6,director,6,anderson,6,anderson,21,public,11,travelers,15,anderson,21
hawaiis,4,questions,2,essential,7,#live,5,guest,6,14day,6,public,21,families,11,travel,15,public,21
public,4,summer,2,proclamation,7,speakers,5,recovery,6,2020,6,#live,21,meet,10,emergency,15,#live,21
meet,4,local,2,department,7,guest,5,green,5,mayor,5,bruce,21,hawaiis,10,speakers,14,bruce,21
officers,4,viewers,2,everyone,7,@higov_health,5,proclamation,5,emergency,5,#higov,20,spread,10,proclamation,14,#higov,20
states,4,national,2,help,6,questions,5,hawaiis,5,safety,5,#sustainablehawaii,20,department,9,care,14,#sustainablehawaii,20
clean,4,2020,2,mayors,6,2020,5,discuss,5,people,5,emergency,20,proclamation,9,reopen,14,emergency,20
enriquez,4,decade,2,may,6,conference,5,anderson,5,proclamation,5,help,20,stay,9,department,13,help,20
flown,4,discussed,2,provide,6,tomorrow,5,states,5,#hawaiicovid19,5,together,20,needs,9,guest,13,together,20
change,4,@higov_health,2,visitors,6,unemployment,4,dept,5,reopening,5,hawaiis,20,energy,9,quarantine,13,hawaiis,20
sunset,3,please,2,form,6,support,4,department,5,businesses,5,new,19,continue,9,june,12,new,19
system,3,@youtube,2,needs,6,april,4,contact,4,conversation,5,work,18,provide,8,dept,12,work,18
project,3,spread,2,dr,6,supplementary,4,services,4,process,5,travel,18,@higov_health,8,recovery,12,travel,18
honolulu,3,edition,2,#hawaii,6,14,4,people,4,reopen,5,@higov_health,18,new,8,may,12,@higov_health,18
jan,3,discuss,2,@higov_health,6,tune,4,parks,4,bruce,5,may,18,mahalo,8,new,11,may,18
flags,3,important,2,sakahara,5,join,4,josh,4,part,4,businesses,17,people,8,interisland,11,businesses,17
increase,3,message,2,entire,5,josh,4,flags,4,department,4,covid19,17,#hawaii,8,business,11,covid19,17
community,3,incubation,2,tim,5,signed,4,bruce,4,news,4,reopening,17,actions,8,@higov_health,10,reopening,17
officer,3,build,2,working,5,proclamation,4,hawaiian,4,work,4,care,17,covid19,8,hawaiis,10,care,17
morning,3,#capitolconnection,2,meet,5,department,4,david,4,16,4,home,17,health,8,economic,10,home,17
legislative,3,hawaiis,2,residents,5,recovery,4,flown,4,islands,4,recovery,16,housing,8,safety,10,recovery,16
improve,3,control,2,release,5,ask,4,governor,4,effective,4,families,16,residents,8,update,10,families,16
month,3,homes,2,health,5,public,4,halfstaff,4,join,4,join,16,students,7,join,10,join,16
halfstaff,3,join,2,w,5,efforts,4,care,4,information,4,business,16,services,7,public,10,business,16
decade,3,#live,2,services,5,scott,4,continues,4,public,4,provide,15,everyone,7,covid19,9,provide,15
happy,3,best,2,screening,5,facebook,4,announcing,3,place,4,march,15,states,7,together,9,march,15
plan,3,intl,2,resources,5,care,4,lassner,3,visit,4,travelers,15,visitors,7,discuss,9,travelers,15
ready,3,friends,2,employees,4,covid19,4,strategy,3,safe,4,residents,15,essential,7,unemployment,9,residents,15
students,3,program,2,mitigate,4,latest,3,benefits,3,@higov_health,4,states,15,plan,7,contact,9,states,15
bills,3,projects,2,gatherings,4,sba,3,mayor,3,via,4,quarantine,15,questions,6,medical,9,quarantine,15
progress,3,protect,2,hawaiis,4,conditions,3,details,3,ensure,4,questions,15,mayors,6,questions,9,questions,15
police,3,working,2,students,4,connection,3,president,3,contact,4,part,14,dr,6,details,8,part,14
completed,3,latest,2,healthcare,4,resiliency,3,dlnr,3,approved,4,continue,14,morning,6,mayor,8,continue,14
childcare,3,private,2,place,4,murakami,3,taking,3,outofstate,4,speakers,14,entire,6,testing,8,speakers,14
future,3,period,2,issued,4,dhs,3,supplemental,3,form,4,services,14,resources,6,green,8,services,14
flag,2,updates,2,plan,4,curve,3,#ohananuistrong,3,1,4,reopen,14,may,6,supplementary,8,reopen,14
senate,2,facebook,2,director,4,difficult,3,starting,3,residents,4,safety,13,form,6,president,8,safety,13
sources,2,providing,2,updates,4,resources,3,human,3,working,4,discuss,13,safe,6,conversation,8,discuss,13
cost,2,taking,2,ordering,4,crisis,3,part,3,protect,3,guest,13,package,6,part,8,guest,13
ensure,2,pest,2,business,4,virus,3,tracing,3,key,3,dept,13,private,6,states,8,dept,13
power,2,health,2,county,4,hawaiis,3,chair,3,spread,3,support,13,support,6,information,8,support,13
living,2,proven,1,1pm,4,family,3,case,3,starting,3,spread,13,efforts,6,tomorrow,8,spread,13
together,2,county,1,1201,4,working,3,honor,3,claims,3,testing,12,affordable,6,josh,8,testing,12
along,2,office,1,testing,4,lead,3,resiliency,3,tracing,3,safe,12,#hileg,6,operations,8,safe,12
10,2,cdc,1,healthy,4,medquest,3,university,3,aug,3,#sots2020,12,statewide,6,residents,7,#sots2020,12
support,2,crash,1,full,4,order,3,counties,3,president,3,efforts,12,updates,6,governor,7,efforts,12
duty,2,safety,1,plans,4,green,3,#hawaiicovid19,3,local,3,mahalo,12,communities,6,provide,7,mahalo,12
safety,2,1992,1,statewide,4,emergency,3,activities,2,director,3,june,12,days,6,support,7,june,12
reducing,2,park,1,questions,4,assistance,3,yamada,2,covid19,3,economic,12,part,6,working,7,economic,12
friends,2,#hawaii,1,decisions,4,oshima,3,7th,2,k,3,resources,11,join,6,crisis,7,resources,11
start,2,flurry,1,safe,4,alan,3,follow,2,crisis,3,signed,11,goal,5,tune,7,signed,11
line,2,touched,1,doe,4,essential,3,country,2,screening,3,crisis,11,business,5,ensure,7,crisis,11
proclamation,2,branch,1,take,4,governor,3,land,2,details,3,details,11,30,5,signed,7,details,11
construction,2,renewables,1,days,4,healthcare,3,gov,2,claimants,3,information,11,take,5,tracing,7,information,11
