;#covid19;#coronavirus;state;news;hawaii;march;community;home;#live;work;conference;2020;stay;covid19;together;spread;continue;public;actions;essential;proclamation;department;everyone;help;mayors;may;provide;visitors;form;needs;dr;#hawaii;@higov_health;sakahara;entire;tim;working;meet;residents;release;health;w;services;screening;resources;employees;mitigate;gatherings;hawaiis;students;healthcare;place;issued;plan;director;updates;ordering;business;county;1pm;1201;testing;healthy;full;plans;statewide;questions;decisions;safe;doe;take;days;support;recovery;social;extreme;emergency;efforts;crisis;effective;live;info;difficult;quicker;best;virus;pio;edition;effect;aggressive;tsunami;following;jade;airports;action;#capitolconnection;industry;states;latest;signed
#covid19;0;32;16;14;8;14;8;6;16;6;10;12;4;2;4;6;4;6;4;2;8;4;4;0;2;6;8;4;0;0;8;8;8;8;6;8;0;2;4;4;6;0;2;4;2;0;4;2;0;0;4;0;4;0;6;8;6;0;2;4;4;8;4;2;0;0;4;2;2;0;4;2;0;2;0;2;4;0;2;2;4;4;0;2;0;2;4;4;2;4;0;2;4;0;2;4;0;0;6;4
#coronavirus;0;0;10;6;4;12;6;2;6;4;4;10;2;4;2;6;0;4;0;0;6;0;0;0;2;2;2;2;0;2;0;8;2;0;4;0;2;2;2;2;2;0;0;2;2;0;2;2;0;0;2;0;4;0;0;2;4;0;2;0;2;2;2;2;2;2;0;0;2;0;0;4;0;0;0;0;4;0;2;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2
state;0;0;0;6;12;4;4;6;6;8;0;2;8;4;4;4;0;2;2;6;10;6;0;2;4;0;4;2;0;2;2;0;2;4;8;4;2;2;2;2;6;0;0;0;2;0;4;0;0;0;2;4;4;0;4;2;8;2;0;4;6;2;0;0;0;0;0;4;0;2;0;2;2;0;4;0;6;4;2;2;4;0;0;0;4;0;4;4;4;2;2;0;4;2;4;2;0;2;2;6
news;0;0;0;0;4;4;0;4;12;2;18;4;4;6;0;2;0;0;2;2;2;4;4;2;0;0;0;0;0;0;4;2;2;6;2;6;0;0;0;8;4;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;2;2;0;4;0;0;2;0;0;0;0;2;0;2;4;2;0;2;0;2;4;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;2
hawaii;0;0;0;0;0;2;4;2;4;2;2;2;4;4;4;2;0;0;0;6;2;12;2;2;2;2;0;6;2;2;0;0;0;2;0;2;2;2;6;2;6;2;2;2;0;2;2;0;2;0;0;4;4;2;0;0;2;2;0;2;0;4;4;0;0;2;0;2;4;2;0;2;2;0;2;0;4;4;0;0;2;0;2;0;2;0;2;2;2;0;4;0;2;2;2;0;0;6;0;0
march;0;0;0;0;0;0;0;2;0;2;4;20;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;2;0;4;8;0;4;2;4;2;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2
community;0;0;0;0;0;0;0;0;0;2;0;0;0;0;10;4;2;0;0;2;0;0;4;0;2;2;0;2;0;2;0;2;0;0;2;0;4;0;2;0;0;2;4;0;2;2;4;0;2;2;2;0;0;2;0;0;0;4;2;0;0;0;6;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;2;0;4;4;0;4;4;0;0;0;0;0;0;0;0;0;0;4;0;2;0
home;0;0;0;0;0;0;0;0;0;10;2;0;14;0;0;0;2;2;0;8;6;0;4;2;0;2;0;2;0;0;0;0;0;0;8;0;0;0;2;2;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;6;0;0;0;6;0;0;2;0;2;0;0;0;0;4;2;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;0;0;6
#live;0;0;0;0;0;0;0;0;0;0;8;0;0;4;0;4;0;0;0;0;0;6;0;0;0;0;4;0;0;0;2;0;2;6;0;6;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;6;0;4;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;6;0;0;0;0;0;6;6;0;0;0;0;6;0;0;4;0;0;4;0
work;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;2;6;0;0;8;8;0;0;0;0;2;2;2;0;0;0;0;0;0;6;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;6;0;0;0;6;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;6
conference;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;2;2;4;0;4;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;4;6;0;4;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;8;6;0;4;2;0;2;0;2;0;0;0;0;0;0;6;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;6;0;0;0;6;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;4;2;2;2;0;0;2;0;0;0;0;6
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;0;2;0;2;6;0;4;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;0;4;0;0;0;0;2;0;0;0;0;2;0;6;2;0;0;0;2;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;4;2;2;0;0;2;2;2;0;0;2;0;0;0;0;0;4;0;0;2;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;4;2;0;2;0;2;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0
