;hawaii;#covid19;state;health;2020;news;community;dr;director;conference;live;#coronavirus;working;people;proclamation;watch;department;#hawaiicovid19;anderson;public;#live;bruce;#higov;#sustainablehawaii;emergency;help;together;hawaiis;new;work;travel;@higov_health;may;businesses;covid19;reopening;care;home;recovery;families;join;business;provide;march;travelers;residents;states;quarantine;questions;part;continue;speakers;services;reopen;safety;discuss;guest;dept;support;spread;testing;safe;#sots2020;efforts;mahalo;june;economic;resources;signed;crisis;details;information;ensure;interisland;essential;form;supplementary;county;flown;via;president;governor;needs;unemployment;facebook;update;operations;contact;plan;latest;meet;protect;starting;stay;taking;sakahara;tomorrow;visitors;ask;process
hawaii;0;30;46;38;14;8;14;22;22;6;2;6;10;18;6;14;26;6;20;10;6;20;10;18;8;8;6;4;4;2;2;4;2;2;4;4;2;2;8;4;4;4;2;2;8;10;14;10;2;8;4;16;2;2;12;4;16;14;6;2;8;8;12;10;8;2;4;0;6;4;0;6;6;2;6;2;2;0;4;4;8;12;2;2;4;0;4;4;6;2;6;4;2;4;2;6;2;8;0;0
#covid19;0;0;28;10;32;38;20;18;14;30;10;36;4;2;16;10;8;6;12;6;24;12;2;0;10;4;6;6;2;8;4;18;16;0;2;4;12;8;12;4;8;4;12;14;4;6;6;10;10;4;8;2;4;4;0;6;2;2;0;8;14;4;0;6;0;4;6;4;8;6;4;0;2;2;2;0;8;2;0;4;2;4;0;2;6;14;0;6;4;14;2;4;6;4;6;8;8;6;6;4
state;0;0;0;14;10;10;12;8;16;4;6;12;8;12;18;10;16;2;10;8;8;8;6;2;14;4;10;6;10;10;4;4;4;4;10;10;2;6;4;2;8;4;4;4;8;6;6;10;0;2;2;4;2;6;2;2;6;2;4;4;4;0;2;6;4;6;4;4;12;6;2;2;2;8;8;2;10;0;6;2;2;10;2;0;2;2;4;0;4;2;2;0;4;8;2;6;0;4;6;2
health;0;0;0;0;4;6;10;24;20;4;6;2;4;18;0;4;18;6;20;14;6;16;4;0;6;4;4;6;0;2;6;4;2;8;4;4;8;2;4;2;2;0;0;0;2;6;6;4;2;2;2;14;2;6;20;6;12;14;6;0;8;2;0;4;4;2;6;2;0;2;4;6;10;0;0;2;0;2;0;2;4;6;4;2;4;2;6;8;0;0;2;8;0;2;0;6;4;2;2;6
2020;0;0;0;0;0;30;0;8;0;32;4;10;2;2;14;6;2;4;4;2;4;6;4;10;12;4;0;6;4;0;2;2;18;4;4;4;2;2;2;2;2;0;0;20;2;2;2;4;0;2;2;0;0;6;4;2;0;0;0;0;2;2;4;2;0;8;0;4;6;0;6;0;2;4;0;0;6;2;2;0;0;4;4;0;0;12;4;2;0;0;4;2;4;0;0;4;2;2;0;0
news;0;0;0;0;0;0;2;8;2;50;8;8;0;2;10;12;6;4;4;0;16;6;0;0;8;2;2;2;4;2;2;4;14;2;12;8;2;6;4;2;2;2;0;4;2;2;2;6;2;0;0;0;0;2;0;2;0;0;0;2;4;0;0;2;4;4;0;4;4;0;2;0;0;2;2;0;4;0;0;2;2;6;0;0;2;14;0;2;0;0;0;2;8;4;0;6;2;0;0;0
community;0;0;0;0;0;0;0;6;0;0;10;6;10;2;0;2;2;2;0;4;4;0;0;2;2;4;16;10;0;4;2;0;2;0;4;0;0;0;4;6;6;10;4;0;2;2;0;4;4;6;4;0;6;2;4;0;0;0;4;6;4;4;2;4;4;2;6;4;0;6;2;2;4;0;2;0;0;4;2;0;2;0;2;0;10;2;2;2;4;4;0;4;0;0;4;0;6;4;2;6
dr;0;0;0;0;0;0;0;0;24;8;6;0;0;0;0;10;8;6;36;6;4;36;0;0;4;2;2;0;2;2;6;20;2;0;2;0;2;0;4;2;4;0;2;4;0;0;6;2;0;2;2;22;4;0;0;10;18;16;2;2;10;0;0;2;2;2;4;0;0;0;0;6;0;4;0;0;0;0;0;0;12;8;0;2;2;2;0;10;0;2;2;2;2;0;0;10;6;0;0;2
director;0;0;0;0;0;0;0;0;0;2;10;0;0;2;0;10;12;2;30;4;6;28;0;0;2;2;0;0;2;0;2;12;0;0;4;0;0;0;6;0;6;2;6;0;0;0;2;0;4;0;0;18;2;0;0;12;18;20;0;0;2;0;0;2;0;0;8;2;0;0;0;4;0;2;0;0;0;0;0;2;10;10;0;6;0;2;0;4;0;8;0;0;0;0;0;10;2;0;6;2
conference;0;0;0;0;0;0;0;0;0;0;6;4;0;0;8;10;4;2;4;0;12;6;0;2;8;0;0;2;2;0;2;4;14;2;10;6;2;4;2;2;2;0;0;4;2;0;2;4;2;0;0;0;0;2;0;2;0;0;0;2;4;0;0;2;2;4;0;4;2;0;2;0;0;2;0;0;2;0;0;2;2;4;0;0;0;14;0;2;0;0;0;0;6;2;0;4;2;0;0;0
