;covid19;utah;testing;data;together;state;health;public;risk;utahs;help;people;home;#utcovid19;phase;stay;symptoms;capacity;orange;may;still;app;utahns;masks;medical;continue;travel;take;work;distancing;plan;healthy;@utahdepofhealth;grateful;test;social;spread;high;exercise;order;new;red;working;close;everyone;directive;precautions;visit;moderate;tests;weeks;care;family;transition;individuals;mask;1;contact;virus;tested;use;tracing;part;outside;procedures;parks;resume;trends;hospital;#stayhome;able;efforts;20;required;thank;supplies;possible;following;call;communities;response;officials;strong;friends;county;decisions;closely;groups;good;urgent;form;economy;available;students;provide;ppe;safe;week;slow;contacts
covid19;0;16;16;12;24;20;8;10;2;16;14;10;4;10;6;4;18;6;2;8;10;10;8;2;2;8;6;6;6;2;2;8;10;6;10;2;12;6;2;8;6;2;6;2;2;2;2;12;4;8;2;4;2;0;4;0;0;6;2;12;4;4;2;0;2;2;0;4;0;4;2;2;0;10;2;0;0;2;8;4;6;4;0;2;0;4;2;0;2;6;4;0;2;0;0;2;2;2;6;2
utah;0;0;4;10;14;12;2;4;6;4;0;4;2;6;10;2;0;8;6;6;10;0;4;4;4;10;0;2;2;2;8;0;2;8;4;2;2;8;2;4;2;6;4;2;2;0;0;0;4;2;6;0;0;6;0;0;2;0;0;0;0;0;2;0;6;0;2;4;6;0;4;4;4;0;8;2;0;4;0;2;2;0;0;2;0;2;4;0;4;6;0;2;0;2;4;6;0;2;2;0
testing;0;0;0;8;10;8;4;4;4;8;12;2;2;2;2;2;16;10;2;2;2;10;4;0;0;4;0;6;2;0;0;8;2;2;8;0;2;0;0;0;6;2;2;0;2;0;0;4;2;4;2;0;0;2;0;0;0;2;4;6;2;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;4;2;0;2;0;0;0;4;0;2;2;0;2;0;0;2;0;0;0;0;0
data;0;0;0;0;8;8;14;10;2;4;4;0;0;8;8;0;2;6;4;0;8;6;2;0;4;6;0;0;2;0;4;6;4;2;4;0;0;2;2;0;4;2;0;0;0;0;0;0;0;2;4;2;0;6;0;0;4;2;4;0;2;2;2;0;0;0;0;6;2;0;0;0;0;2;0;0;0;2;2;4;4;2;2;0;0;8;6;0;2;4;0;4;2;0;0;0;0;2;0;0
together;0;0;0;0;0;12;6;4;4;0;8;6;0;0;4;0;8;4;0;2;6;10;6;0;2;4;0;4;0;0;6;18;4;2;2;0;6;2;0;0;4;2;4;2;2;0;2;2;0;0;4;0;2;0;0;0;0;6;4;2;0;6;2;0;0;0;0;2;0;0;2;0;4;0;2;2;0;4;0;4;0;2;2;2;0;0;0;0;0;4;0;2;0;0;0;2;0;0;2;0
state;0;0;0;0;0;0;4;2;2;8;6;2;2;6;4;2;6;0;2;6;4;4;6;0;4;2;6;2;4;0;4;6;4;4;2;0;0;4;0;4;2;0;2;0;4;2;0;2;2;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;4;4;2;0;2;4;2;2;0;4;4;2;2;2;0;4;2;2;0;0;2;2;0;0;2;2;4;0;0;0;0;4;0;2;0;0
health;0;0;0;0;0;0;0;22;0;4;6;4;0;6;4;0;0;4;2;0;4;6;2;2;4;0;0;0;6;2;4;6;4;0;2;2;0;0;0;6;0;0;2;4;2;0;0;0;0;0;0;4;0;2;0;0;0;8;0;0;2;6;4;0;4;0;2;2;0;0;2;2;0;2;0;2;0;0;4;2;0;10;6;0;0;0;0;0;2;0;0;4;4;0;0;0;0;2;0;4
public;0;0;0;0;0;0;0;0;2;4;8;2;0;6;2;2;0;0;4;2;4;4;4;8;2;0;0;0;2;6;0;6;4;0;2;8;6;2;0;4;0;0;2;2;4;0;0;0;0;0;0;4;0;2;0;2;0;6;0;0;2;4;2;0;2;2;2;2;0;0;0;2;0;2;0;0;0;0;2;2;0;4;4;0;0;0;0;0;4;0;0;2;2;0;0;0;2;2;2;2
risk;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;2;0;2;12;2;2;0;0;0;0;0;0;2;0;0;4;2;2;0;0;2;0;12;4;0;4;10;0;0;0;0;2;0;12;0;0;4;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0
utahs;0;0;0;0;0;0;0;0;0;0;2;2;2;8;4;2;2;2;2;0;6;0;0;0;2;4;4;0;4;0;6;0;0;4;0;0;4;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;4;0;2;2;2;2;2;2;0;0;0;2;0;0;0;0;0;2;8;0;2;0;0;2;0;0;0;4;0;2;2;0;0;2;2;0;2;0
help;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;6;0;2;6;0;6;2;6;4;0;0;0;0;4;2;8;8;0;0;4;4;0;0;0;4;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;6;4;0;0;6;2;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;2;0;0;2;4;0;2;2;2
people;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;2;2;0;4;0;2;0;6;0;2;0;2;2;2;2;2;4;2;0;2;2;0;2;2;0;0;0;6;2;0;2;0;0;2;0;2;2;0;0;0;0;2;2;2;4;0;2;2;0;0;0;0;2;0;0;0;6;2;2;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;4
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;2;0;0;0;0;0;4;2;6;2;6;2;0;0;0;4;2;2;2;0;2;0;0;2;0;0;2;4;4;4;2;0;0;2;6;0;2;2;0;0;2;0;2;0;0;6;0;0;0;0;0;4;0;6;2;0;2;4;6;2;2;0;2;0;2;2;2;0;0;6;0;0;0;0;0;6;0;0;6;2;2;0
#utcovid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;4;4;6;0;2;4;2;6;2;0;2;2;4;0;2;2;0;0;2;0;2;4;0;4;0;0;2;0;0;2;0;0;0;2;4;4;2;2;2;0;0;2;0;0;4;2;2;0;2;0;0;2;2;2;0;2;0;2;0;2;2;0;6;0;0;2;0;4;2;2;0;6;2;2;0;0;2;0;0;2;0;0
phase;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;12;2;10;0;0;2;0;6;0;2;0;2;6;0;2;4;0;2;0;2;4;0;0;8;0;0;0;0;2;0;6;0;0;0;0;8;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;6;0;2;2;0;2;2;0;2;10;0;4;0;0;0;0;0;2;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;2;0;2;2;2;0;0;2;0;4;2;2;2;2;2;0;0;4;0;0;2;4;2;4;2;0;0;2;0;0;2;2;2;0;2;0;2;0;0;2;0;0;0;0;2;4;0;6;0;0;0;0;4;6;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0
symptoms;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;2;0;0;2;2;4;0;0;0;6;2;0;4;0;2;0;0;2;2;0;0;0;0;0;0;6;2;2;0;0;2;0;2;0;0;0;0;8;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
