;utah;covid19;state;health;testing;data;public;together;utahs;risk;help;utahns;#utcovid19;grateful;home;orange;continue;people;work;stay;phase;capacity;mask;masks;navajo;still;family;social;may;working;county;distancing;spread;symptoms;take;high;nation;plan;face;friends;app;medical;use;call;virus;order;communities;yellow;travel;moderate;guidance;exercise;new;wearing;weeks;lake;efforts;individuals;salt;possible;commission;wear;care;healthy;safe;next;everyone;test;community;@utahdepofhealth;visit;tribal;follow;service;leads;hospital;red;close;part;precautions;good;days;guidelines;remain;economic;thank;could;hope;contact;following;hygiene;million;information;directive;cases;effort;green;transition;provide;meet
utah;0;28;28;22;10;18;10;22;18;16;10;12;12;20;6;10;14;8;8;4;10;12;2;8;18;12;6;2;8;10;2;2;4;0;4;12;20;12;4;10;0;6;4;4;6;6;8;6;0;8;6;6;4;2;10;4;8;4;4;0;10;4;0;0;4;6;4;4;10;2;4;8;8;12;16;10;6;2;4;0;8;6;6;4;6;8;8;6;2;6;2;4;4;0;6;2;4;8;6;0
covid19;0;0;22;12;18;16;12;24;22;4;18;10;18;8;4;2;8;10;8;4;8;8;2;8;4;10;4;2;8;12;0;2;18;18;6;8;2;2;6;6;10;2;6;8;8;10;8;4;6;6;2;2;8;6;2;0;4;6;0;0;0;4;4;8;2;2;2;10;6;10;12;2;2;0;0;2;2;2;2;2;4;0;2;0;0;2;0;4;6;2;0;2;6;2;8;2;2;2;0;0
state;0;0;0;10;8;12;14;12;10;4;10;6;8;12;4;2;4;4;10;2;4;0;2;0;0;4;2;2;6;4;2;0;0;6;2;4;0;8;2;4;4;4;2;4;0;8;8;6;6;2;4;0;4;2;2;2;2;6;2;2;6;0;0;6;2;4;4;2;2;4;4;0;0;6;0;2;0;0;2;2;2;4;2;4;4;4;0;0;0;2;0;2;4;2;4;2;0;2;2;2
health;0;0;0;0;4;18;26;6;14;10;10;6;10;2;0;6;4;4;6;0;4;6;0;4;10;4;0;2;0;4;2;2;0;0;2;2;12;4;2;0;6;4;4;6;0;8;6;10;0;4;14;0;0;2;0;2;2;2;2;0;2;2;6;6;0;2;2;2;4;4;2;8;12;0;0;0;0;4;4;2;2;4;4;0;4;0;2;0;10;0;2;0;8;0;6;4;4;4;0;0
testing;0;0;0;0;0;8;4;10;10;4;14;4;2;2;2;2;4;2;2;2;2;10;0;0;4;2;0;0;2;6;0;0;2;16;6;0;6;0;0;2;10;2;2;2;8;0;6;0;0;2;0;0;8;0;2;4;0;0;4;0;0;0;0;8;0;0;2;8;2;2;4;4;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;4;2;0;2;0;2;0;0;0;0;2;4;0
data;0;0;0;0;0;0;12;8;4;2;4;6;12;2;0;4;10;0;4;0;8;6;2;2;2;8;0;2;0;2;0;2;4;2;0;2;2;4;2;0;6;4;4;2;6;0;6;4;0;0;4;2;4;2;4;2;0;2;2;2;2;2;2;6;0;2;2;4;0;4;0;0;2;0;2;2;2;0;2;0;2;4;2;2;2;0;2;0;2;2;2;2;2;0;2;0;0;8;0;2
public;0;0;0;0;0;0;0;4;6;2;8;8;6;2;0;4;2;2;2;2;2;0;4;10;2;4;2;10;2;2;0;8;10;0;2;2;2;0;8;0;4;2;4;2;0;6;4;0;0;0;2;0;0;8;0;2;2;0;2;2;8;10;4;6;2;2;4;2;0;4;0;2;6;6;0;0;0;4;2;0;4;0;2;2;2;0;2;0;8;0;2;0;6;0;4;0;0;2;0;0
together;0;0;0;0;0;0;0;0;2;6;8;8;0;2;0;0;4;6;0;0;4;4;0;0;0;8;2;0;2;4;0;0;6;8;4;2;0;10;2;2;10;2;0;0;4;0;4;0;0;0;0;0;4;0;4;0;2;2;0;0;0;0;0;18;0;6;2;2;2;4;2;0;0;0;16;0;2;2;4;2;0;4;4;0;2;2;2;2;6;4;0;2;4;0;4;4;0;0;0;0
utahs;0;0;0;0;0;0;0;0;0;14;4;2;14;8;4;4;8;2;6;2;8;4;0;0;8;8;2;0;0;0;0;0;4;2;0;0;6;10;4;4;0;2;0;2;2;0;4;4;4;6;8;0;0;2;0;2;0;2;2;2;0;2;0;2;6;2;0;0;2;0;2;6;6;0;2;4;2;0;6;0;0;0;4;2;2;0;0;0;0;0;4;0;0;4;2;2;2;2;0;4
risk;0;0;0;0;0;0;0;0;0;0;6;2;8;0;0;18;4;0;0;2;8;4;0;0;6;4;2;2;2;0;0;0;0;0;2;14;6;6;2;2;0;0;0;2;0;2;4;12;0;20;6;4;4;2;0;0;2;4;0;2;0;0;6;4;6;2;0;0;2;2;2;2;4;0;4;4;10;0;2;4;0;0;4;0;2;0;2;0;0;0;2;0;4;0;2;0;6;4;2;2
help;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;2;2;6;0;0;4;2;0;6;2;0;0;6;6;2;0;6;4;6;0;2;4;2;2;2;6;4;2;4;6;0;4;0;0;4;0;0;6;4;0;2;0;4;2;2;0;2;2;10;2;2;0;0;2;8;2;0;0;0;0;4;0;2;2;0;4;0;0;0;0;0;2;0;6;0;4;0;10;0;4;0;0;0;2;0
utahns;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;6;0;6;0;0;2;2;6;2;4;0;4;2;6;0;4;4;2;4;2;2;0;6;0;4;0;8;0;4;0;2;0;0;0;6;0;4;0;4;0;0;0;0;2;0;4;2;2;0;0;4;2;0;2;0;2;6;0;0;2;0;0;0;0;4;0;2;2;6;2;2;6;0;4;4;2;0;0;2;0;0;0;4;0
#utcovid19;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;8;4;2;0;12;4;4;4;2;6;6;0;4;2;0;2;2;2;0;2;2;4;0;4;0;2;0;2;0;4;4;6;2;6;2;2;0;0;0;2;2;6;2;2;0;4;4;2;2;0;4;0;4;2;2;0;6;0;0;2;4;0;4;0;2;0;4;0;0;0;0;0;0;2;2;2;0;0;0;0;0;6;2;2
grateful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;4;10;4;4;2;0;2;0;4;2;2;2;2;0;0;0;0;4;0;2;4;2;4;0;0;0;2;0;0;2;0;2;0;0;0;2;0;2;0;6;0;0;0;0;0;4;0;2;0;4;0;2;0;2;0;0;6;0;2;0;0;0;0;0;2;0;4;2;0;0;6;2;4;0;0;0;2;0;2;0;0;0;4
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;6;12;0;0;2;0;0;0;6;2;0;0;2;2;2;2;2;0;2;0;2;4;0;4;2;4;2;0;0;0;6;2;0;2;0;0;0;0;6;2;0;6;0;2;2;0;6;0;2;2;2;0;4;0;0;2;0;0;2;0;0;4;0;0;0;6;0;2;4;0;0;2;0;0;0;4;0;2;0;0;0;0
orange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;12;0;2;0;4;4;0;2;2;0;8;2;0;0;4;10;4;2;0;0;0;0;0;2;0;0;0;12;0;16;2;8;2;0;0;6;0;4;6;4;4;2;4;0;0;4;0;0;2;2;0;0;2;0;0;0;16;0;0;4;2;0;2;6;2;0;2;0;0;2;0;0;2;0;0;0;4;10;2;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;6;0;2;0;6;0;4;0;0;0;4;2;2;2;2;0;0;6;0;0;0;4;0;0;0;2;4;2;2;6;2;0;2;2;0;2;4;0;0;2;0;2;0;2;4;2;2;2;0;0;0;6;0;2;2;2;0;0;2;4;4;0;4;0;0;0;0;0;0;6;0;0;0;0;2;0;2;0;2
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;6;0;0;2;2;4;0;0;2;2;2;2;0;0;2;2;0;2;0;4;2;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;4;2;0;0;2;0;2;4;2;0;0;0;0;2;0;6;2;2;4;0;0;0;0;2;0;0;2;2;2;2;0;0;0;2;0;0;0;2
