kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
state,20,#indiana,9,#covid19,54,live,91,#covid19,58,#covid19,37,#covid19,239
indiana,19,state,9,state,53,#covid19,90,live,55,indiana,33,live,224
#nextlevel,13,work,7,live,41,fight,60,may,42,live,31,state,171
#insots,13,hoosier,6,indiana,39,provide,58,provide,35,hoosiers,27,indiana,162
@fiatchrysler_na,11,indiana,6,hoosiers,38,order,50,state,34,state,23,provide,145
great,8,hoosiers,6,health,32,et,48,indiana,33,may,22,hoosiers,136
hoosiers,8,indianas,5,services,28,virtual,47,et,29,provide,21,may,127
indianas,6,states,4,order,28,livestream,46,updates,29,workforce,17,fight,115
people,6,award,4,provide,28,updates,46,fight,29,hold,17,conference,104
across,5,care,4,executive,27,watch,45,press,29,funding,17,watch,104
honored,5,new,4,may,26,ct,45,conference,28,et,16,updates,103
join,5,local,4,care,25,230,45,230,28,support,16,press,102
help,5,people,4,@statehealthin,25,tune,45,livestream,27,press,14,hold,102
proud,4,high,4,website,24,130,45,ct,27,conference,14,et,101
family,4,build,4,public,24,press,45,watch,27,watch,14,order,100
@indianadoc,4,play,3,help,22,conference,44,virtual,27,twitter,14,health,98
work,4,2020,3,work,20,hold,44,twitter,27,virtual,14,virtual,96
leader,3,governors,3,spread,20,facebook,41,hold,27,education,14,230,95
continue,3,conference,3,continue,19,may,37,tune,27,livestream,14,livestream,91
workforce,3,fellowship,3,emergency,19,website,37,130,27,recovery,14,130,90
21,3,opportunity,3,information,17,executive,37,hoosiers,21,ct,14,ct,89
#evaeducationday,3,service,3,updates,16,hoosiers,36,health,20,130,14,tune,86
22,3,take,3,found,16,health,32,resources,16,businesses,13,executive,85
incredible,3,students,3,coronavirus,15,state,32,manufacturing,15,economic,12,website,74
penske,3,#sotu,3,call,15,indiana,32,businesses,14,executive,12,@statehealthin,63
success,3,live,3,watch,15,@statehealthin,27,hour,14,resources,12,help,58
statehouse,3,helping,3,fight,15,minutes,23,business,14,program,12,work,55
important,3,achieve,3,guidance,14,information,23,available,14,updates,12,facebook,55
example,3,excited,3,center,14,15,22,naloxone,14,order,12,care,52
@wfyi,3,together,3,conference,14,hour,22,social,14,fight,11,information,52
12,3,team,3,press,14,school,21,states,13,million,11,businesses,52
future,3,honored,3,facebook,14,found,21,minutes,13,grant,11,continue,51
start,3,program,3,hold,13,@cdcgov,20,stage,13,states,11,found,50
person,3,proud,3,businesses,13,#inthistogether,19,continue,13,230,11,hour,50
another,3,@potus,3,steps,13,county,17,remain,12,tune,11,15,49
live,3,recognizing,3,critical,13,help,16,15,12,available,11,public,48
hoosier,3,action,2,food,13,business,16,capacity,11,assistance,10,minutes,48
strong,3,shoreline,2,states,12,face,15,million,11,health,10,states,48
economy,3,great,2,medical,12,testing,15,distancing,10,drivers,10,business,46
honor,3,@lgsuzannecrouch,2,local,11,public,14,across,10,help,10,services,46
partners,3,welcome,2,additional,11,additional,14,critical,10,law,10,twitter,45
thank,3,agreement,2,announced,11,work,14,plan,10,business,9,available,42
top,2,strong,2,protect,11,shields,14,hoosier,10,training,9,hoosier,41
service,2,roads,2,230,11,medical,13,order,9,driving,9,indianas,40
unit,2,birthdays,2,home,11,across,13,economy,9,new,9,resources,40
sunday,2,connect,2,click,11,people,13,website,9,15,8,people,39
opportunity,2,@indot,2,indianas,10,care,13,economic,9,free,8,support,39
crisis,2,ed,2,april,10,mental,12,indianas,8,capacity,8,critical,38
focused,2,technology,2,unemployment,10,businesses,11,#backontrack,8,50,8,across,38
trade,2,costs,2,operations,10,spread,11,3,8,critical,8,@cdcgov,36
team,2,#indianas,2,slow,10,days,11,guidelines,8,american,7,spread,36
2020,2,economy,2,safety,10,click,10,executive,8,employers,7,emergency,35
grateful,2,enter,2,testing,10,signed,10,support,8,hour,7,school,34
drug,2,working,2,facilities,10,limit,10,services,8,#backontrack,7,economic,33
retirement,2,background,2,actions,10,hoosier,10,pandemic,8,pandemic,7,announced,33
love,2,wabash,2,closed,10,reopen,10,responders,7,rental,7,medical,32
bus,2,possible,2,government,10,announced,10,information,7,announced,7,social,32
best,2,momentum,2,available,9,providers,9,2,7,next,7,new,31
ive,2,quality,2,orders,9,positive,9,move,7,cares,7,local,31
congratulate,2,forward,2,employees,9,requirements,9,@statehealthin,7,people,7,additional,30
together,2,@higheredins,2,dr,9,emergency,9,people,7,ensure,7,million,29
challenges,2,@southshoreline,2,child,9,ppe,9,50,7,access,7,click,28
theres,2,focused,2,workers,9,learning,9,initiatives,7,renters,7,great,28
health,2,grateful,2,covid19,9,support,9,counties,7,hoosier,7,testing,28
public,2,efforts,2,schools,9,stay,8,found,6,minority,7,remain,28
anyone,2,privilege,2,taking,9,continue,8,overdose,6,july,7,call,27
life,2,federal,2,stay,9,production,8,federal,6,grow,6,signed,27
especially,2,honor,2,eo,9,hours,8,care,6,social,6,federal,27
friends,2,health,2,federal,9,resources,8,place,6,providing,6,#inthistogether,27
school,2,steps,2,@cdcgov,9,tested,8,contact,6,minutes,6,days,27
address,2,@agrinovusin,2,needed,9,week,8,monday,6,programs,6,workers,27
priority,2,educators,2,healthcare,8,guidance,8,#inthistogether,6,remain,6,home,27
celebrate,2,helped,2,required,8,home,8,work,6,expand,6,guidance,27
stronger,2,focus,2,use,8,safe,8,home,6,continue,6,funding,26
rural,2,agbiosciences,2,questions,8,number,8,fund,6,found,6,capacity,26
legacy,2,shes,2,release,8,ems,8,nearly,6,learning,6,program,25
officials,2,double,2,restaurants,8,company,8,thank,6,service,6,distancing,25
opportunities,2,delivered,2,essential,8,available,8,restrictions,6,future,6,facilities,24
babies,2,person,2,days,8,close,7,learn,6,opportunities,6,county,24
providing,2,bold,2,benefits,8,sites,7,4,6,federal,6,economy,24
spent,2,talent,2,visit,8,great,7,local,5,partnership,6,plan,24
elected,2,positioned,2,meals,8,students,7,face,5,indianas,6,pandemic,24
pursue,2,leaders,2,virtual,8,communities,7,june,5,stage,6,coronavirus,24
@idhs,2,leadership,2,hospital,8,year,7,return,5,eligible,6,face,24
decades,2,signed,2,school,8,safely,7,equipment,5,hands,6,recovery,24
martin,2,full,2,professionals,8,items,7,smart,5,signed,6,assistance,23
training,2,manufacturing,2,regarding,8,call,7,funding,5,professionals,6,together,23
states,2,empowering,2,etwatch,8,distancing,7,positive,5,initiative,6,education,23
andretti,2,role,2,et,8,together,7,programs,5,following,6,safety,23
watch,2,future,2,delivery,8,gowns,7,questions,5,act,6,workforce,22
tonight,2,talk,2,inperson,7,workers,7,individuals,5,rapid,6,food,22
kor,2,vital,2,agencies,7,response,7,grants,5,students,6,students,22
ahead,2,commitment,2,@fssaindiana,7,social,7,test,5,across,6,number,22
continuing,2,12,2,working,7,leaders,7,opioid,5,public,5,ppe,21
committed,2,whats,2,centers,7,april,7,personal,5,percent,5,manufacturing,21
lives,2,continue,2,hour,7,community,7,@cdcgov,5,board,5,essential,21
enter,2,along,2,signed,7,new,7,workers,5,community,5,communities,21
moving,2,simcox,1,commissioner,7,services,7,1,5,develop,5,community,21
career,2,resources,1,safe,7,message,7,investments,5,crashes,5,questions,21
joining,2,range,1,efforts,7,safety,7,announced,5,learn,5,steps,21
