;#covid19;indiana;live;hoosiers;state;may;provide;workforce;hold;funding;et;support;press;conference;watch;twitter;virtual;education;livestream;recovery;ct;130;businesses;economic;executive;resources;program;updates;order;fight;million;grant;states;230;tune;available;assistance;health;drivers;help;law;business;training;driving;new;15;free;capacity;50;critical;american;employers;hour;#backontrack;pandemic;rental;announced;next;cares;people;ensure;access;renters;hoosier;minority;july;grow;social;providing;minutes;programs;remain;expand;continue;found;learning;service;future;opportunities;federal;partnership;indianas;stage;eligible;hands;signed;professionals;initiative;following;act;rapid;students;across;public;percent;board;community;develop;crashes;learn
#covid19;0;14;22;20;14;2;26;4;22;10;24;8;22;22;22;22;22;2;22;6;22;22;6;8;0;4;6;22;0;22;6;2;6;22;22;6;8;4;2;12;0;2;2;0;6;10;0;2;2;2;2;2;12;2;8;8;4;0;6;6;4;0;4;2;2;2;0;0;2;10;2;2;4;4;0;0;0;4;2;4;2;2;2;6;0;0;2;4;4;6;4;4;4;0;0;2;0;0;0;2
indiana;0;0;2;10;14;8;6;6;0;12;2;8;0;0;0;0;0;12;0;8;0;0;6;8;6;6;10;2;6;0;12;6;6;0;0;2;6;4;4;4;6;6;6;2;6;4;2;4;2;4;0;6;0;6;4;6;8;8;8;2;0;2;2;6;4;4;4;2;8;0;4;2;2;4;2;4;2;4;2;6;6;4;6;2;6;6;4;2;4;6;2;4;6;0;2;2;2;4;0;0
live;0;0;0;0;4;0;22;0;28;0;28;0;28;28;28;28;28;0;28;0;28;28;0;0;0;0;0;22;0;22;0;0;2;22;22;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2;0;0;14;0;0;0;0;2;0;2;0;0;0;2;0;0;4;0;2;12;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
hoosiers;0;0;0;0;8;2;8;6;2;12;2;12;0;0;0;0;0;2;0;8;0;0;8;4;0;10;6;0;0;0;6;8;4;0;0;4;8;6;4;10;0;6;6;2;8;0;2;0;2;2;2;6;0;2;4;6;4;2;6;2;4;4;2;0;6;2;4;0;2;0;2;2;6;2;0;0;0;4;4;2;4;2;4;4;0;0;2;6;4;6;8;2;4;2;0;0;2;2;0;2
state;0;0;0;0;0;6;0;4;0;4;0;4;0;0;0;0;0;4;0;4;0;0;8;6;0;6;2;0;0;0;0;0;8;0;0;6;4;6;0;2;0;4;4;0;2;0;0;2;0;4;4;2;0;8;6;2;2;8;0;6;6;4;2;4;2;2;4;0;4;0;2;4;4;2;0;0;0;4;2;2;2;2;4;0;0;0;0;0;0;0;2;4;4;0;0;2;2;0;0;2
may;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;2;0;2;0;0;2;0;2;2;6;8;0;0;0;0;4;0;2;2;0;0;2;0;0;0;2;0;4;0;4;0;0;0;2;0;0;6;0;2;0;0;0;0;0;2;2;2;0;0;0;4;0;0;0;0;0;6;2;2;0;0;0
provide;0;0;0;0;0;0;0;2;22;2;22;6;22;22;22;22;22;4;22;4;22;22;6;4;0;4;4;22;0;22;2;4;2;22;22;4;4;0;0;2;0;2;6;0;4;12;4;2;0;6;0;2;12;2;0;2;0;0;4;0;2;0;4;2;4;0;4;0;0;10;0;0;2;0;0;0;0;0;2;0;4;2;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0
workforce;0;0;0;0;0;0;0;0;0;8;0;6;0;0;0;0;0;6;0;10;0;0;6;10;2;4;2;2;2;0;2;4;6;0;0;4;2;2;0;2;0;2;6;0;2;0;0;0;2;2;10;2;0;0;6;0;0;2;4;4;2;6;0;2;2;0;4;0;2;0;8;4;2;2;0;2;0;2;4;4;2;6;0;0;0;2;2;2;2;4;2;2;2;2;0;8;2;2;0;4
hold;0;0;0;0;0;0;0;0;0;0;28;2;28;28;28;28;28;0;28;0;28;28;0;0;0;0;0;22;0;22;0;0;2;22;22;0;0;2;0;0;0;0;0;0;2;12;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0
funding;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;8;0;6;0;0;6;8;0;6;8;0;0;0;16;12;0;0;0;8;4;0;2;4;0;2;4;0;2;0;0;0;4;2;2;0;0;0;0;2;8;2;12;2;2;2;0;0;2;0;2;2;2;0;8;0;2;0;0;2;2;2;2;10;2;0;0;2;0;0;0;6;2;12;4;0;2;0;0;0;2;2;0;2
