;#covid19;live;may;provide;state;indiana;et;updates;fight;press;conference;230;livestream;ct;watch;virtual;twitter;hold;tune;130;hoosiers;health;resources;manufacturing;businesses;hour;business;available;naloxone;social;states;minutes;stage;continue;remain;15;capacity;million;distancing;across;critical;plan;hoosier;order;economy;website;economic;indianas;#backontrack;3;guidelines;executive;support;services;pandemic;responders;information;2;move;@statehealthin;people;50;initiatives;counties;found;overdose;federal;care;place;contact;monday;#inthistogether;work;home;fund;nearly;thank;restrictions;learn;4;local;face;june;return;equipment;smart;funding;positive;programs;questions;individuals;grants;test;opioid;personal;@cdcgov;workers;1;investments;announced
#covid19;0;54;6;58;20;10;54;56;58;58;56;56;54;54;54;54;54;54;54;54;20;16;12;2;4;28;0;2;2;0;4;26;4;8;4;24;4;0;0;10;6;0;4;0;0;0;0;0;2;2;0;0;2;2;10;4;0;2;4;4;6;2;0;2;0;2;2;10;4;4;2;6;10;4;0;4;10;4;4;0;4;6;0;4;0;0;2;4;0;0;4;0;6;0;0;0;6;0;0;0
live;0;0;0;54;0;2;54;54;54;54;54;54;54;54;54;54;54;54;54;54;0;0;0;0;0;28;2;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
may;0;0;0;0;8;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;0;4;0;0;2;4;18;2;0;6;6;6;0;8;0;18;2;0;2;0;4;0;10;0;0;4;4;14;0;0;8;2;0;10;6;2;12;2;8;2;6;10;0;0;0;4;4;4;0;2;4;0;2;0;4;0;2;6;0;4;4;2;0;2;2;4;0;0;0;0;0;4;10;0;2;0;2
provide;0;0;0;0;2;6;54;56;54;56;54;56;54;54;54;54;54;54;54;54;0;2;6;6;6;28;2;2;0;0;2;26;0;2;0;24;2;2;0;0;2;0;4;2;2;0;2;2;4;2;0;0;6;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;2;0;0;2;6;2;0;2;2;0;4;0;0;0;0;0;2;4;0
state;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;18;10;0;8;0;4;6;4;2;8;0;8;10;10;0;4;4;2;16;6;8;8;4;6;0;4;2;2;6;0;0;4;4;4;4;0;0;8;0;2;2;6;2;0;2;4;10;4;4;0;2;2;2;2;4;2;4;10;2;2;2;2;8;2;0;2;10;2;0;4;2;6;4;2;0;4;4;2;4
indiana;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;10;10;12;2;10;0;8;6;4;0;4;0;8;4;8;0;0;8;0;14;0;10;6;2;4;0;0;2;14;6;2;2;6;6;6;0;2;4;6;0;0;2;2;4;2;2;2;2;4;0;4;0;2;2;2;6;2;0;6;2;4;2;2;0;2;2;4;2;6;2;2;0;0;0;2;0;0;8;2;4
et;0;0;0;0;0;0;0;54;54;54;54;54;54;54;54;54;54;54;54;54;0;0;0;0;0;28;4;4;0;0;0;26;0;0;0;24;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
updates;0;0;0;0;0;0;0;0;54;56;54;56;54;54;54;54;54;54;54;54;0;0;2;0;0;28;0;2;0;0;0;26;0;2;0;24;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
fight;0;0;0;0;0;0;0;0;0;54;54;54;54;54;54;54;54;54;54;54;4;0;2;0;0;28;0;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
press;0;0;0;0;0;0;0;0;0;0;56;56;54;54;54;54;54;54;54;54;0;0;0;0;0;28;0;0;0;0;0;26;0;2;0;24;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
conference;0;0;0;0;0;0;0;0;0;0;0;54;54;54;54;54;54;54;54;54;0;0;0;0;0;28;0;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
230;0;0;0;0;0;0;0;0;0;0;0;0;54;54;54;54;54;54;54;54;0;0;0;0;0;28;0;0;0;0;0;26;0;2;0;24;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
livestream;0;0;0;0;0;0;0;0;0;0;0;0;0;54;54;54;54;54;54;54;0;0;0;0;0;28;0;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ct;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;54;54;54;54;54;0;0;0;0;0;28;0;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;54;54;54;54;0;0;0;0;0;28;0;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
virtual;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;54;54;54;0;0;0;0;0;28;0;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
twitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;54;54;0;0;0;0;0;28;0;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hold;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;54;0;0;0;0;0;28;0;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;28;0;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;26;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hoosiers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;0;2;0;0;0;2;0;4;0;6;6;10;0;0;6;0;10;0;4;0;0;6;0;0;2;6;4;0;0;2;0;6;4;0;2;4;0;2;2;0;2;0;2;0;4;4;4;0;6;4;8;2;4;4;0;2;0;0;4;0;0;0;0;0;4;0;0;4;0;6;2;0;0;6;2;0;4
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;4;0;4;0;12;4;16;0;0;2;0;4;2;10;2;0;6;0;0;2;6;8;0;0;0;2;2;4;0;2;6;2;0;2;0;0;0;2;2;8;4;4;0;2;2;4;0;0;0;0;4;2;4;2;0;0;0;0;0;10;4;2;4;0;6;2;0;0;4;2;0;4
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;6;6;0;6;0;0;2;2;0;0;4;0;4;2;0;6;0;4;2;2;0;0;0;0;0;10;0;2;0;2;0;0;4;2;0;8;0;2;4;0;0;0;0;0;0;0;0;2;4;0;0;2;0;6;4;0;0;0;2;4;0;2;0;2;2;0;0;0;0;0;2;4;0
manufacturing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;6;0;0;0;0;0;2;2;0;0;4;2;2;2;4;0;4;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;8;0;0;2;0;0;2;0;0;0;0;0;2;4;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;0;0;0;0;0;0;4;8;2;2;2;0;8;0;2;0;2;2;2;2;0;0;6;2;2;0;2;0;0;0;2;6;2;0;0;0;2;0;0;0;0;0;0;2;2;6;0;0;0;0;0;0;0;0;4;2;4;0;0;0;0;4;0;0;2;0;0;0;2;0
hour;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;0;0;0;0;4;0;2;6;0;2;2;2;0;4;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;2;2;0;0;2;0;0;0;0;0;4;2;2;0;0;4;0;2;0;0;2;0;0;0;0;0
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;4;0;4;4;0;0;0;0;0;2;0;0;0;0;0;4;4;0;2;6;0;0;0;2;0;2;0;0;0;6;0;0;0;4;0;0;0;8;0;0;0;0;0;2;2;0;0;0;0;6;0;4;8;0;2;0;2;0;0;0;0;0;0
naloxone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;2;2;0;0;2;0;2;0;0;0;0;2;0;2;8;0;0;0;4;0;0;0;0;2;8;2;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;6;0;0;6;0;0;0;4;0;4
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;4;0;20;0;0;0;0;0;0;0;0;0;0;0;12;0;0;6;0;0;0;0;0;0;4;4;0;2;0;0;0;0;4;4;0;0;0;2;0;0;0;6;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;0;0;0;2;2;4;0;2;0;8;0;4;4;0;2;2;0;2;4;0;2;2;0;2;0;0;0;4;2;0;2;0;0;0;0;0;2;0;2;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;4;2
minutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;14;0;0;0;0;2;0;6;0;2;2;0;0;0;6;14;2;2;0;0;0;0;0;6;6;0;0;0;0;4;2;0;0;0;0;0;2;0;2;4;0;2;0;0;4;6;2;2;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;2
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;4;2;0;4;0;4;0;2;0;2;4;2;0;0;4;2;2;0;0;2;0;0;2;2;0;0;0;2;0;0;0;2;0;6;4;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
remain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;0;8;0;0;6;0;0;2;6;10;2;0;2;4;0;0;0;2;6;0;0;4;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;4;4;2;2;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;4
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;2;2;0;2;8;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;4;2;4;0;0;0;6;0;2;0;2;0;4;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;2;0;0;0;2;2;2
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;6;0;0;0;0;0;0;4;4;0;2;0;0;0;0;4;4;0;0;0;2;0;0;0;6;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;2;6;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;4;0;6;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
