;state;indiana;#covid19;hoosiers;live;health;work;provide;care;order;help;services;executive;public;@statehealthin;may;website;continue;indianas;spread;emergency;conference;watch;information;states;found;updates;local;call;critical;coronavirus;fight;great;steps;businesses;hoosier;hold;center;press;facebook;guidance;medical;food;#insots;#nextlevel;safety;together;click;government;people;additional;protect;new;operations;@fiatchrysler_na;schools;announced;federal;home;school;230;unemployment;workers;testing;actions;working;closed;dr;efforts;child;full;april;#indiana;slow;partners;days;facilities;use;stay;eo;high;@indianadoc;economic;signed;taking;orders;employees;available;covid19;needed;healthcare;@cdcgov;across;take;virtual;proud;hospital;students;address;economy
state;0;38;22;14;10;18;24;4;4;10;12;10;2;14;2;6;0;12;10;10;14;6;10;0;4;0;2;14;8;8;18;0;10;6;6;6;2;10;0;6;4;6;2;6;6;2;8;2;8;8;6;2;4;14;2;4;4;10;4;2;0;4;2;0;6;8;6;2;6;2;4;10;2;4;6;8;4;2;2;6;4;2;2;0;6;0;6;6;2;6;2;0;14;8;0;2;4;0;6;4
indiana;0;0;14;10;2;20;12;2;6;6;12;6;2;12;6;4;2;14;6;4;12;4;2;2;8;0;0;8;6;8;12;0;8;10;4;6;2;6;0;0;4;2;0;8;8;4;4;2;6;4;2;0;6;8;8;4;8;8;0;2;0;0;2;6;4;8;2;0;2;2;4;4;2;0;6;4;6;4;2;2;0;2;8;0;2;0;0;6;6;2;2;0;6;4;0;4;4;4;6;2
#covid19;0;0;0;26;28;12;12;28;10;12;6;4;12;4;14;4;0;4;6;16;8;22;28;2;2;0;22;0;8;6;2;28;0;4;8;4;20;4;22;26;4;6;4;0;0;2;4;6;0;0;0;12;4;0;0;4;4;4;4;2;20;8;8;6;6;4;0;8;4;4;0;2;0;8;2;2;2;2;2;0;2;6;6;8;6;6;2;4;0;2;4;0;2;2;6;0;2;0;6;2
hoosiers;0;0;0;0;6;14;10;12;6;12;10;8;6;8;12;2;4;6;12;12;10;0;4;6;6;0;0;4;10;6;6;2;0;4;10;8;0;4;0;0;2;4;12;4;4;14;4;2;2;0;4;12;4;0;4;2;4;4;4;0;0;4;6;4;4;2;2;4;8;2;2;2;6;4;2;0;0;6;4;0;8;4;2;4;12;2;2;4;6;4;2;0;6;4;0;2;0;0;6;2
live;0;0;0;0;0;0;8;20;0;2;2;0;2;0;0;0;0;2;4;0;0;24;28;0;2;0;22;4;0;0;0;22;2;2;0;0;20;0;22;28;0;0;0;2;2;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;22;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;10;0;0;0;2;0
health;0;0;0;0;0;0;6;4;14;6;4;10;0;20;4;6;0;10;8;8;16;0;0;0;2;0;0;8;2;0;8;0;0;8;0;0;0;2;0;0;0;4;0;0;0;10;0;0;0;0;2;4;0;4;0;0;2;6;4;2;0;0;4;4;6;6;0;2;2;2;0;2;4;2;4;0;6;4;0;2;2;2;0;0;8;0;4;8;4;0;2;0;0;4;0;0;2;2;6;0
work;0;0;0;0;0;0;0;6;4;4;10;6;2;2;4;2;0;10;10;2;2;6;2;0;4;0;2;4;2;0;0;2;2;4;0;0;0;2;4;0;0;0;2;0;0;4;8;0;2;6;0;4;4;4;0;0;0;8;2;0;0;6;0;2;0;0;0;2;2;2;6;4;2;2;2;2;0;2;2;0;0;0;0;2;2;0;6;0;0;2;0;0;4;2;0;0;0;2;4;0
provide;0;0;0;0;0;0;0;0;8;4;2;18;6;8;4;6;0;10;4;0;4;20;20;0;0;0;20;2;6;2;4;20;0;0;6;2;20;4;20;20;2;2;0;2;2;6;2;0;0;0;2;2;0;2;2;4;0;2;0;2;20;4;4;0;2;2;4;0;2;6;0;2;0;0;0;0;0;0;4;0;0;0;2;0;0;2;4;0;0;2;4;0;2;2;6;0;0;0;0;2
care;0;0;0;0;0;0;0;0;0;2;2;6;0;2;4;2;0;2;4;0;4;0;0;0;6;0;2;2;2;8;2;0;0;6;0;2;0;0;0;0;6;4;2;0;0;2;2;0;0;0;2;2;2;0;0;4;0;0;2;6;0;0;8;2;0;6;0;4;2;16;0;2;2;0;0;0;10;0;0;0;2;2;0;0;6;0;0;2;0;4;0;0;0;2;0;0;4;2;2;0
order;0;0;0;0;0;0;0;0;0;0;6;10;36;2;0;4;0;8;4;8;4;0;0;0;4;2;0;2;2;6;2;0;0;2;4;0;2;4;0;0;0;2;4;0;0;4;2;6;4;0;4;2;4;8;0;0;2;0;0;0;0;0;2;0;2;0;2;0;2;0;2;4;0;4;0;0;0;4;2;0;0;0;0;12;2;8;2;4;0;4;0;0;2;2;0;0;0;0;4;0
