;#covid19;live;provide;may;fight;indiana;et;state;virtual;press;hold;updates;livestream;130;watch;conference;ct;230;hoosiers;tune;order;health;executive;website;twitter;hour;minutes;15;facebook;business;businesses;resources;@statehealthin;information;available;found;support;states;help;across;hoosier;social;@cdcgov;continue;people;#inthistogether;million;work;economic;capacity;funding;critical;school;care;announced;remain;distancing;face;public;education;recovery;new;county;stage;medical;indianas;pandemic;services;plan;additional;testing;signed;manufacturing;positive;program;workforce;50;workers;days;ppe;monday;assistance;reopen;community;emergency;communities;contact;economy;federal;click;home;spread;shields;number;next;grant;local;#backontrack;providers;counties
#covid19;0;166;176;20;198;44;168;50;166;170;164;170;166;166;166;166;166;168;62;164;16;24;10;8;84;82;82;74;82;6;16;16;20;8;14;8;18;12;26;24;12;4;8;16;16;28;6;18;10;8;12;10;8;14;10;6;4;6;8;6;6;10;4;6;4;6;20;2;2;2;10;10;2;12;6;4;4;10;4;2;4;10;10;6;6;10;10;2;10;4;16;22;2;10;2;2;8;4;4;4
live;0;0;166;0;166;4;172;4;172;172;170;166;172;172;172;170;172;166;0;164;0;0;0;0;90;84;84;76;82;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
provide;0;0;0;4;168;18;166;8;166;168;164;168;166;166;166;164;166;168;12;164;8;8;6;2;84;82;82;76;82;4;14;12;0;2;6;0;14;4;4;0;6;2;0;8;4;2;4;2;6;4;4;8;6;4;2;2;2;6;2;8;4;8;6;0;4;4;0;4;0;0;0;2;8;0;4;2;0;2;2;0;2;4;0;0;4;2;0;2;0;0;0;0;4;4;0;4;2;6;4;2
may;0;0;0;0;4;22;2;18;0;0;0;2;0;0;0;0;0;0;12;0;12;8;2;50;0;0;0;2;0;4;8;6;56;50;2;56;0;2;0;2;2;24;50;6;4;2;2;2;0;14;2;0;2;2;4;12;24;0;4;6;0;2;2;8;0;0;2;12;4;2;0;2;0;4;2;0;16;0;2;0;8;2;4;8;2;4;8;0;0;2;8;0;0;6;0;0;8;8;0;8
fight;0;0;0;0;0;8;166;4;166;166;164;168;166;166;166;164;166;166;8;164;8;0;8;2;84;82;82;74;82;2;2;2;6;2;0;2;2;0;8;2;4;0;2;2;0;12;0;2;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;2;8;0;2;0;0;0;2;0;0;0;0;0;4;2;0;2;0;0;2;2;8;0;0;0;0;0;0;0;0
indiana;0;0;0;0;0;0;2;44;0;2;0;6;0;0;0;0;0;2;34;0;16;26;14;0;0;0;0;6;0;18;26;18;2;4;10;4;20;10;14;34;14;2;0;12;4;8;22;8;8;4;16;6;6;8;24;10;0;2;2;18;10;12;2;14;4;6;12;14;14;4;4;10;2;6;12;6;4;4;2;10;12;10;8;2;6;12;0;4;12;6;2;4;2;2;14;6;12;20;10;12
et;0;0;0;0;0;0;0;0;172;172;170;166;172;172;172;170;172;166;2;164;2;0;2;0;90;84;84;76;82;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;30;0;10;28;6;0;0;2;0;0;0;12;24;16;2;0;14;0;14;18;12;34;14;4;0;14;10;6;8;10;10;8;6;12;8;14;14;16;4;12;8;6;6;2;18;12;8;8;10;8;12;0;8;0;2;18;2;4;2;10;4;14;0;6;14;6;2;4;8;8;10;8;2;6;12;12;8;2;8;10;6;6
virtual;0;0;0;0;0;0;0;0;0;172;170;166;174;172;172;170;172;166;0;164;2;0;0;0;90;84;84;76;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
press;0;0;0;0;0;0;0;0;0;0;170;168;172;172;172;172;172;168;0;164;0;0;0;0;90;84;84;76;82;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
