;covid19;stay;home;state;washingtonians;health;response;washington;#wegotthiswa;healthy;update;watch;wa;work;people;continue;protect;recovery;virus;public;help;giving;working;staying;across;states;plan;workers;safety;reopen;new;lives;distancing;crisis;families;businesses;together;risk;may;proud;science;food;best;2;spread;put;live;tune;safe;q;grateful;protecting;care;restrictions;schools;thanks;soon;fight;testing;service;#askgovinslee;thank;order;hope;support;economy;take;physical;progress;easter;court;begin;still;guide;ppe;available;presidents;important;step;27;million;effort;morning;judge;lost;year;talk;67;rent;slow;measures;17;needs;family;weeks;47;normal;good;times;cant
covid19;0;14;16;34;14;8;48;14;16;12;50;44;8;4;6;6;8;6;10;4;8;26;2;2;0;6;6;4;6;6;2;4;2;2;2;6;8;12;2;2;6;2;4;6;6;4;10;12;4;0;4;2;4;0;2;2;0;8;2;4;2;0;0;2;2;4;2;0;4;0;0;2;4;2;4;4;2;6;0;0;2;6;8;0;4;0;8;0;0;0;2;4;4;0;4;2;2;0;0;4
stay;0;0;54;4;16;8;6;12;24;44;0;0;4;2;6;14;4;4;8;0;4;0;2;6;0;0;0;8;2;2;0;6;8;2;0;4;2;6;6;2;4;0;8;0;4;6;0;0;2;0;2;2;6;2;0;0;4;2;0;0;0;2;6;0;2;4;0;8;6;0;0;0;4;0;4;2;0;2;0;0;0;4;0;0;2;2;2;2;0;2;0;2;2;0;2;0;2;2;2;2
home;0;0;0;6;18;6;8;18;30;46;0;0;4;4;8;14;10;6;8;2;6;0;2;18;0;2;0;4;4;2;2;4;10;4;0;6;2;6;6;8;4;0;8;0;6;6;0;0;0;0;2;4;2;2;0;4;4;4;0;2;0;6;6;0;2;4;0;10;8;0;0;2;4;2;2;2;0;2;2;0;0;4;0;0;2;2;2;2;2;2;0;4;6;2;2;0;2;2;2;4
state;0;0;0;0;16;6;26;10;12;4;22;20;18;4;8;4;6;2;8;2;6;4;2;2;16;4;0;4;4;6;6;6;4;4;10;0;2;0;2;6;4;6;0;4;0;4;2;0;4;0;2;0;0;0;2;0;4;4;2;2;0;4;4;2;2;2;0;2;2;0;8;2;2;2;2;0;0;4;2;2;4;0;2;6;6;2;2;0;0;0;2;2;4;0;4;2;0;2;4;0
washingtonians;0;0;0;0;0;14;2;4;8;20;0;0;10;8;4;8;8;12;8;2;10;0;4;6;4;2;2;6;2;6;0;6;2;6;2;4;0;4;4;6;4;2;4;0;8;2;0;0;6;0;4;4;4;2;0;4;6;0;0;4;0;2;2;2;8;4;2;2;0;2;0;4;2;2;4;4;0;4;0;4;4;4;2;0;6;2;2;0;0;4;2;4;0;2;0;0;0;2;0;0
health;0;0;0;0;0;0;2;0;4;8;0;0;10;2;10;2;6;6;4;10;2;0;4;0;0;6;2;6;14;10;6;2;0;4;4;2;4;2;6;2;6;0;2;2;4;4;2;0;4;2;2;4;12;2;0;0;4;0;0;0;2;0;0;0;4;4;4;0;0;2;0;2;2;4;4;0;0;2;2;0;0;4;0;0;2;0;0;0;0;4;2;2;0;0;2;0;2;4;0;0
response;0;0;0;0;0;0;0;2;8;6;40;34;2;2;4;6;2;2;0;2;2;22;2;0;0;4;0;0;2;0;0;2;0;0;0;0;2;0;0;2;2;0;2;4;0;4;6;8;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0
washington;0;0;0;0;0;0;0;0;10;12;6;2;4;2;4;2;0;2;4;0;2;2;6;6;4;6;2;0;0;2;6;4;2;0;4;8;0;8;2;2;0;4;2;0;0;4;4;0;2;0;2;2;0;0;0;0;0;4;0;2;0;8;0;0;2;0;0;2;4;2;4;0;2;0;2;2;0;2;2;4;0;2;2;2;0;2;2;4;2;2;2;2;6;2;0;2;4;2;2;2
#wegotthiswa;0;0;0;0;0;0;0;0;0;24;2;0;8;2;2;6;6;6;4;0;6;0;0;6;4;0;2;4;0;4;2;2;2;4;2;2;4;4;6;6;4;6;4;0;4;6;0;0;0;0;4;0;2;0;0;2;2;2;0;2;0;0;0;0;2;0;0;2;6;0;0;0;2;0;0;2;0;4;2;0;0;2;2;0;0;0;2;0;0;2;0;2;4;0;2;0;2;2;4;0
healthy;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;14;4;10;8;0;4;0;4;8;0;2;0;6;2;4;0;4;8;2;0;2;2;6;6;4;8;0;6;0;6;4;0;0;2;0;0;2;4;2;0;2;2;2;0;0;0;4;2;0;2;6;0;8;6;0;0;2;4;2;2;2;0;2;2;0;0;2;0;0;2;0;2;0;0;4;0;2;2;0;2;0;2;2;2;0
update;0;0;0;0;0;0;0;0;0;0;0;40;2;0;0;0;0;0;2;2;0;24;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;8;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2
watch;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;20;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;12;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
wa;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;2;4;2;6;2;2;0;0;4;4;2;2;0;4;2;2;2;8;2;0;2;0;2;0;2;6;0;0;2;2;0;2;2;2;2;0;2;0;4;2;4;2;0;2;2;6;0;0;0;4;4;2;0;0;4;2;2;2;2;0;0;0;2;0;2;0;4;4;0;0;4;0;0;2;0;0;2;0;0;0;0;0;2;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;6;2;2;2;0;4;2;0;4;0;4;0;0;0;0;0;0;0;4;6;0;0;0;0;0;4;2;2;2;0;0;4;2;0;0;2;0;2;0;2;0;2;2;0;2;0;0;4;2;0;0;0;0;0;0;0;0;2;2;4;2;0;0;4;0;0;0;0;0;0;0;2;2;0;2;0;2;2;2;2;2;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;4;0;0;2;2;0;6;0;0;6;0;2;2;2;0;2;2;0;0;0;0;2;0;4;2;2;2;0;0;0;2;2;4;0;2;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;2;2;2;0;0;0;0;2;0;2;2;4;2;0;0;0;0;2
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;0;0;2;2;0;0;2;2;6;0;2;6;2;0;4;2;0;2;0;2;0;4;4;0;4;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;2;0;0;2;6;2;4;0;0;2;4;0;0;0;4;0;0;2;0;0;0;0;2;2;0;2;2;0;0;2;2;0;0;2;2;0;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;2;2;4;6;2;4;0;2;0;4;0;2;0;2;0;0;4;4;0;4;0;0;0;0;6;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;2;2;0;0;2;0;4;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;4;0;0;0;0;2;0;0
