;maine;people;health;2;state;1;learn;care;work;maines;provide;help;safe;virus;continue;33;stay;face;economy;meet;protect;love;home;hope;new;workers;44;may;order;president;cloth;difficult;normal;public;protecting;3;compassion;hopeful;assistance;ensure;critical;coronavirus;relief;pandemic;responders;plan;support;wear;allow;part;family;children;spread;proud;request;healthy;watch;welcome;covid19;grateful;full;easter;another;disaster;additional;8;frontline;gradual;thank;gradually;responsibility;medical;business;child;kindness;systems;declaration;anyone;weeks;actions;hard;earth;cdc;times;coverings;services;crisis;states;courage;major;light;sites;keeps;mitigate;truth;essential;step;taking;faith;address
maine;0;36;14;10;10;10;8;10;10;6;10;8;4;10;10;6;4;2;6;8;6;2;6;6;0;4;2;6;2;4;2;8;0;4;0;6;6;2;2;4;4;2;4;2;4;2;4;2;4;6;2;2;6;6;6;4;2;6;6;0;4;2;2;4;2;0;2;2;0;2;0;2;0;0;4;4;4;2;4;4;0;0;2;4;2;4;2;2;4;4;0;4;2;4;0;2;0;0;2;2
people;0;0;12;12;10;4;10;4;12;2;10;6;4;10;8;8;2;2;4;8;10;2;4;4;0;2;2;4;2;2;2;6;0;6;0;4;6;2;0;4;2;0;4;2;2;2;4;2;4;6;2;0;4;6;4;2;2;6;4;2;4;0;2;2;2;0;0;2;0;2;0;2;0;0;4;2;2;0;2;4;0;0;2;4;2;2;2;2;4;2;0;2;2;4;0;0;0;0;2;2
health;0;0;0;2;2;8;4;10;6;4;0;2;0;6;2;2;2;0;2;2;8;0;2;2;2;6;2;2;0;0;0;2;0;6;0;2;2;0;0;2;0;0;0;2;4;0;0;0;0;0;0;2;2;2;0;2;0;0;2;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;2;0;0;0;0
2;0;0;0;0;2;0;0;4;4;2;4;4;4;2;0;0;0;4;2;0;0;0;0;2;2;2;0;0;0;4;4;0;2;2;2;0;0;4;2;4;2;0;0;2;0;2;2;2;4;2;0;2;2;2;4;0;0;2;0;2;2;0;0;2;2;0;0;0;0;2;0;4;2;2;0;0;2;2;0;0;0;0;0;0;2;2;0;4;0;2;0;2;2;2;0;0;2;2;0;0
state;0;0;0;0;0;4;2;0;4;0;4;6;0;4;2;2;2;0;0;2;4;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;4;0;4;0;2;0;0;0;2;0;0;2;2;0;0;2;2;2;0;2;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2
1;0;0;0;0;0;0;0;4;2;4;2;2;2;2;2;0;0;4;2;2;0;0;0;0;0;2;0;2;4;2;2;2;2;4;0;0;2;0;4;2;2;2;2;2;2;2;0;2;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;0;2;2;0;0;0;2;0;2;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0
learn;0;0;0;0;0;0;0;0;4;0;2;2;2;2;0;6;0;2;2;4;4;0;2;2;2;0;4;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
care;0;0;0;0;0;0;0;0;2;4;0;2;0;2;0;0;2;2;0;0;2;0;2;2;2;6;0;0;0;0;2;0;0;2;0;2;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;4;2;2;2;4;2;2;2;0;2;4;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;0;2;4;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0
maines;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;4;0;4;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
