;maine;1;testing;2;people;maines;health;economy;state;safety;work;states;may;learn;33;capacity;announced;precautions;covid19;support;partnership;memorial;3;administration;protect;plan;full;behalf;funding;believe;new;44;counties;economic;rural;public;businesses;federal;virus;restart;transmission;allowing;reopening;limits;providers;gratitude;private;precautionsview;grateful;pandemic;service;ratings;system;congressional;expand;efforts;added;matter;stay;campgrounds;forward;frontline;services;halfstaff;challenge;workers;idexx;stand;lincoln;tracing;weeks;congress;access;delegation;students;help;expanded;community;following;gyms;contact;restaurants;different;still;prioritization;nail;express;expansion;@repgolden;credit;18th;appropriate;without;unprecedented;serving;welcome;@senangusking;certain;difficult;restarting
maine;0;12;10;12;18;8;12;12;6;2;8;4;4;4;8;8;4;2;8;6;8;6;4;10;4;4;4;4;6;4;4;4;0;4;4;4;4;4;2;4;0;4;2;0;2;2;6;0;0;4;2;2;6;0;6;2;0;2;2;4;4;2;0;2;2;2;2;2;0;2;4;0;4;0;2;2;2;0;2;2;2;0;0;2;4;2;2;2;0;0;0;0;2;2;2;2;0;2;4;2
1;0;0;6;4;6;10;6;6;10;2;2;4;4;0;0;4;10;4;10;2;0;4;0;4;2;4;2;2;2;2;2;0;4;0;2;4;4;2;0;4;2;4;2;0;4;0;2;0;4;4;4;2;2;4;0;2;0;0;0;2;0;2;4;2;0;2;0;0;0;2;0;2;0;2;0;2;2;2;2;2;2;2;0;0;2;2;0;2;4;2;0;2;0;0;0;0;4;4;0;0
testing;0;0;0;4;2;4;8;2;2;2;4;4;0;0;0;12;4;2;4;0;6;0;2;4;2;2;0;0;2;2;2;0;2;2;4;2;2;0;2;2;2;2;0;2;4;0;0;0;0;0;0;0;4;0;4;0;0;2;0;0;2;0;0;0;2;0;2;4;0;0;2;0;2;0;0;0;4;2;0;0;0;0;0;2;4;0;0;4;0;0;0;2;2;0;0;2;0;2;0;2
2;0;0;0;0;6;12;10;6;6;2;6;2;4;0;2;4;2;4;0;4;4;6;0;0;4;2;4;0;0;4;4;0;4;4;0;2;4;0;4;4;2;4;2;0;2;2;4;0;2;0;0;0;4;2;0;4;0;0;2;4;2;2;2;0;0;2;2;0;4;2;0;2;0;2;2;0;2;2;4;2;2;2;2;0;2;2;0;0;0;0;0;0;2;2;2;4;0;0;2;2
people;0;0;0;0;0;6;4;8;4;0;6;2;0;2;6;2;4;0;2;4;2;0;0;4;2;0;0;6;2;2;2;2;0;2;0;0;4;2;2;0;0;0;0;0;0;2;0;0;2;2;2;0;2;2;2;2;0;0;0;0;2;2;2;0;2;2;2;0;0;4;4;0;2;2;0;2;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;2;2
maines;0;0;0;0;0;0;8;10;6;0;4;2;2;0;0;2;4;0;0;4;4;2;2;4;4;6;2;4;2;0;6;0;0;2;0;4;0;2;2;8;0;0;2;0;4;0;2;0;6;2;2;2;2;4;0;4;0;0;2;2;0;0;0;0;0;0;4;0;0;2;0;2;0;4;2;0;0;0;2;2;2;0;0;0;0;2;0;2;2;2;0;0;0;2;0;0;2;2;0;4
health;0;0;0;0;0;0;0;6;0;4;2;6;0;0;2;4;2;4;2;4;4;2;2;2;8;2;0;0;2;6;4;0;2;8;2;8;4;2;4;4;2;4;0;2;4;0;2;0;0;0;0;0;4;0;0;2;0;2;0;2;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2
economy;0;0;0;0;0;0;0;0;2;0;6;2;2;2;2;0;0;0;0;4;0;2;2;2;4;6;2;0;0;0;2;2;0;2;0;4;2;0;2;8;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;4
state;0;0;0;0;0;0;0;0;0;0;6;0;2;2;2;2;6;0;4;2;0;4;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;4;0;2;2;0;4;0;2;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;2;0;2;2;0;0;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;10;0;0;0;2;2;0;2;0;0;0;0;4;0;0;2;0;2;2;2;0;0;0;2;2;0;0;0;0;2;6;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0
