;maine;people;state;covid19;health;new;support;care;maines;businesses;coronavirus;million;thank;1;spread;service;learn;respond;families;work;22;help;economy;ask;fund;legislature;states;forward;year;hope;provide;take;taking;proud;2;emergency;protect;ensure;15;legislation;federal;program;workforce;meet;working;steps;tax;tonight;children;act;mitigate;times;12;response;prepare;honor;announced;fellow;full;@mepublichealth;relief;funds;watch;important;system;safety;needs;possible;announce;great;impact;address;boost;jobs;fishing;novel;measures;mainers;making;joined;responders;proposal;law;congressional;without;students;welcome;house;33;skills;call;another;join;roux;economic;signed;progress;life;across;2020
maine;0;64;32;34;30;22;22;18;10;22;12;10;12;14;14;8;8;14;8;10;14;12;12;2;4;6;6;10;4;10;10;12;8;10;14;8;12;10;6;8;8;10;4;12;10;8;8;6;2;8;10;2;6;6;6;4;4;8;4;6;6;8;6;2;6;6;8;6;6;6;6;4;8;4;4;4;6;4;4;6;2;8;0;6;4;2;4;6;2;2;0;2;8;0;8;4;6;2;8;4
people;0;0;16;16;22;12;8;10;2;20;0;4;10;6;6;4;4;6;0;6;10;6;8;4;2;6;2;4;2;6;6;10;4;2;12;6;6;8;4;6;0;2;6;10;10;4;0;2;2;6;2;2;2;2;4;6;2;4;0;0;4;2;2;2;4;4;6;4;2;6;4;0;0;2;2;0;2;2;0;2;2;0;0;4;4;0;2;2;0;2;0;0;4;2;0;2;4;2;6;0
state;0;0;0;12;4;18;4;6;4;2;6;2;8;8;4;2;0;10;4;8;4;6;0;0;0;6;4;4;2;6;0;0;2;6;2;6;0;0;2;2;6;2;4;0;0;2;2;6;2;0;4;0;0;4;4;2;2;2;4;0;0;6;4;2;0;0;0;2;4;2;2;6;0;2;0;2;2;2;2;4;2;2;2;0;2;0;4;4;0;6;0;0;2;2;0;0;0;4;2;4
covid19;0;0;0;0;10;8;8;6;8;8;12;2;0;14;14;4;0;14;2;6;2;2;4;0;2;4;8;2;2;2;6;2;6;0;4;12;8;2;2;4;4;0;2;6;4;2;0;6;0;2;12;2;0;6;6;0;4;2;0;6;8;2;2;4;4;2;2;2;2;0;4;4;0;0;0;8;4;4;0;2;0;2;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;0
health;0;0;0;0;0;6;8;20;2;12;0;6;0;4;8;0;0;6;2;0;4;2;0;4;2;4;0;2;0;0;2;0;8;0;4;2;8;6;2;4;2;0;8;6;4;4;0;4;4;6;4;0;2;0;2;0;2;2;0;0;0;2;0;0;10;10;8;4;0;0;0;0;2;2;0;0;2;0;2;0;0;6;2;0;2;0;0;0;0;0;0;0;0;0;4;4;2;0;2;0
new;0;0;0;0;0;0;6;6;2;4;6;2;4;0;4;4;2;6;2;4;2;6;2;0;0;0;2;0;4;0;2;2;6;4;2;4;0;4;0;2;4;4;2;0;0;2;2;0;0;0;4;0;0;4;4;0;4;0;0;2;0;6;0;0;0;4;0;4;4;0;0;0;0;4;0;4;0;4;0;4;0;2;0;0;4;4;2;4;0;2;2;4;2;2;0;0;2;2;0;0
support;0;0;0;0;0;0;0;6;6;6;2;2;4;0;0;2;0;4;0;4;4;2;6;0;2;4;4;6;0;0;2;2;2;6;6;6;0;4;2;2;4;2;0;2;4;2;2;2;2;0;2;2;0;6;4;0;0;0;0;0;2;4;0;0;2;2;2;0;2;0;2;2;4;2;2;0;4;0;2;0;0;2;2;4;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0
care;0;0;0;0;0;0;0;0;2;4;2;4;0;2;6;0;0;2;0;2;4;2;0;4;0;0;0;0;0;0;2;0;4;0;4;0;2;6;2;2;2;0;6;4;0;4;0;0;2;2;2;0;0;0;2;0;2;2;0;0;0;2;0;0;10;2;6;6;0;0;2;0;2;2;0;0;2;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0
maines;0;0;0;0;0;0;0;0;0;6;8;4;2;4;0;0;0;0;0;4;0;4;8;0;4;0;0;0;4;0;0;4;2;0;4;2;0;0;2;0;2;0;2;0;0;6;0;0;0;2;0;0;2;0;4;2;2;0;2;2;2;2;0;4;2;0;0;0;0;0;4;0;2;0;2;2;0;0;4;0;0;2;2;4;2;2;0;2;0;2;0;4;2;0;4;0;2;2;0;0
businesses;0;0;0;0;0;0;0;0;0;0;4;2;2;4;4;0;0;2;0;0;6;4;8;2;0;4;2;2;0;2;4;4;2;0;6;2;2;2;2;4;0;0;4;8;4;4;2;0;0;6;2;0;2;2;2;0;2;0;0;0;4;2;0;4;2;0;6;0;0;0;4;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;2;2;0;2;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;2;0;6;0;2;0;4;2;0;0;0;2;0;2;0;0;2;4;0;0;2;0;0;0;2;0;0;0;0;0;4;0;4;0;0;6;0;0;2;0;0;6;0;2;8;0;2;2;0;0;0;0;2;2;0;2;0;0;0;0;8;2;2;4;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;4;0;6;2;0;0;2;2;2;0;0;2;0;0;2;0;6;0;2;0;2;0;0;0;0;0;2;0;0;0;4;0;2;0;2;0;0;0;0;2;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;2;2;0;4;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;2;2;0;2;0;0;0;0;4;0;0;2;2;0;0;0;2;0;0;2;0;0;2;2;0;0;2;0;0;0;4;0;2;2;0;0;2;2;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;4;2;0;0;2;2;0;0;2;2;2;2;0;0;2;0;2;0;2;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;2;4;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;2;2;2;0;2;0;2;0;0;2;2;2;0;4;2;0;0;0;0;0;0;2;0;0;4;0;0;4;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;2
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;0;0;0;0;0;2;0;0;0;0;0;6;0;2;4;4;2;0;4;0;0;0;2;4;4;0;6;2;0;10;0;0;0;2;0;2;2;0;2;0;0;0;0;4;2;2;4;2;0;2;0;0;0;0;4;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;2;0;4;0;0;0;0;2;0;2;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;4;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;4;0;2;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;2;0;2;0;0;0;0;0;2;0
respond;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;4;2;0;0;0;0;0;4;0;0;8;2;0;0;4;4;0;0;0;2;2;0;4;2;0;6;0;0;4;4;0;0;0;0;0;2;4;0;2;0;2;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;4;2;6;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;4;2;0;0;2;2;0;2;2;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;4;0;0;0;2;0;2;2;2;0;2;0;0;0;2;2;0;2;2;2;0;0;2;0;2;0;2;0;0;2;0;0;0;4;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;4;0;4;6;0;0;2;0;0;0;2;2;0;0;0;4;4;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;4;2;2;2;0;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;6;0;2;0;2;0;0;0;0;0;0;4;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;2;2;2;0;2;0;2;2;0;0;0;0;2;4;0;0;0;4;2;2;0;0;0;2;0;2;0;0;2;2;0;2;0;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;2;4;2;0;6;2;2;0;2;0;0;2;0;2;2;4;4;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0
ask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;4;2;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;4;0;0;0;2;4;2;0;0;0;0;0;0;0;0
fund;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;2;0;0;2;0;0;2;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;2;0;4;0;0;2;0;2;0;0;0
legislature;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;2;0;0;2;0;2;0;0;2;0;0;0;0;2;2;0;0;4;2;2;0;2;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;2;2;0;2;6;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;4;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0
forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;4;2;0;0
hope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;2
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;2;2;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;4;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;2;0;2;0;0;0;2;2;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
taking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;2;0;0;0;0;0;6;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;2;6;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;0;4;2;2;0;0;0;2;0;0;0;0;2;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;2;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;4;0;2;0;0;2;2;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;2;0;0;2;0;2;4;0;0;4;4;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
legislation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0
workforce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;2;4;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0
meet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;4;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0
steps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;2;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
tax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
tonight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
children;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
mitigate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
prepare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
honor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
fellow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
full;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
