;maine;people;health;1;2;state;maines;economy;virus;work;learn;testing;33;covid19;protect;care;continue;states;may;businesses;public;safety;safe;support;help;plan;pandemic;3;new;provide;stay;capacity;44;spread;announced;administration;federal;face;full;difficult;precautions;partnership;workers;grateful;love;president;safely;home;reopening;reopen;hope;counties;economic;memorial;allow;believe;children;restart;meet;efforts;proud;welcome;gratitude;restarting;gradually;normal;order;rural;protecting;different;another;congressional;taking;remain;funding;matter;todays;step;times;ensure;wear;anyone;weeks;frontline;allowing;life;transmission;behalf;visitors;part;compassion;expand;cloth;mitigate;services;system;hard;healthy;resilience;number
maine;0;62;32;30;28;16;14;20;18;18;12;10;16;24;14;12;16;12;10;12;12;2;6;14;12;10;12;10;4;10;6;10;6;12;4;14;10;4;8;12;2;8;6;0;4;6;6;8;4;2;8;2;6;6;8;4;4;4;8;6;10;8;2;6;2;0;2;4;0;0;2;0;0;4;6;4;2;4;6;4;2;4;8;4;6;4;2;4;6;6;8;8;2;8;4;8;4;6;6;4
people;0;0;22;16;22;14;8;16;16;18;12;2;16;10;14;6;12;6;4;14;6;2;4;8;10;4;8;4;2;10;4;6;4;10;6;6;4;6;4;8;0;4;4;4;2;2;6;4;0;4;4;2;2;0;4;2;0;0;8;2;6;6;2;6;2;0;2;0;0;0;2;2;2;4;2;2;2;2;6;4;4;0;6;2;2;2;0;6;6;6;8;4;2;8;4;2;4;4;6;4
health;0;0;0;16;16;2;12;10;14;8;4;8;8;6;20;16;6;6;2;10;18;8;2;8;4;6;2;4;6;0;4;6;2;4;4;2;4;2;0;2;4;6;6;2;0;0;6;2;0;4;4;2;8;2;2;6;2;4;2;4;4;0;2;4;2;0;0;2;0;0;0;0;2;2;2;2;0;0;0;2;2;6;0;2;6;0;4;0;2;0;2;0;0;2;2;6;0;4;2;2
1;0;0;0;0;4;14;14;10;4;4;0;6;0;18;2;6;2;6;6;10;10;4;2;4;6;6;10;0;2;4;0;4;0;4;10;4;6;4;2;2;4;0;4;4;0;4;0;0;2;0;0;6;0;4;2;2;2;6;2;4;4;0;0;0;2;2;4;2;0;0;0;4;0;2;2;0;0;2;0;2;2;2;0;4;4;2;2;2;2;2;2;0;2;2;4;2;4;0;2;2
2;0;0;0;0;0;8;14;8;8;10;0;4;2;4;6;6;2;10;4;8;4;2;4;6;4;6;4;0;6;4;4;4;0;4;4;0;2;8;6;2;4;4;4;4;0;6;6;0;4;2;2;4;6;6;4;4;2;4;0;6;2;6;2;4;2;2;0;0;2;4;0;4;2;4;0;0;0;4;4;6;4;4;0;2;6;0;2;0;2;2;2;0;4;4;4;4;0;2;2;4
state;0;0;0;0;0;0;6;2;4;10;4;2;4;4;4;0;2;0;2;0;0;2;0;4;6;0;0;0;0;4;2;2;0;0;6;2;4;0;2;2;0;2;2;6;2;6;0;2;0;0;0;0;0;4;0;0;0;0;2;2;2;4;2;0;0;0;2;0;0;2;2;4;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;2;0;4;2;0;0;0;0;0;2;2;2;0
maines;0;0;0;0;0;0;0;14;4;8;0;4;0;2;4;6;2;4;2;0;4;0;4;4;0;8;2;4;6;2;6;4;0;4;4;6;2;0;2;0;0;4;0;8;0;2;4;2;4;0;0;0;2;2;2;0;2;10;2;4;0;0;0;4;4;0;2;0;0;0;0;6;0;0;2;0;0;0;2;2;0;4;0;0;0;0;0;4;0;2;0;2;0;2;0;4;0;2;0;2
economy;0;0;0;0;0;0;0;0;10;8;6;2;6;0;10;2;8;2;2;4;4;0;6;4;0;10;4;4;2;0;0;2;4;8;0;4;0;0;2;0;0;0;0;0;0;0;12;0;4;8;0;0;2;2;2;2;0;10;0;2;2;0;0;8;6;0;2;0;0;0;4;0;4;2;0;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;2;2
virus;0;0;0;0;0;0;0;0;0;4;4;2;10;4;12;4;12;8;2;6;4;2;4;6;2;4;4;2;2;4;2;2;0;14;2;0;0;0;0;0;0;2;0;2;0;0;8;4;4;6;4;2;4;0;2;4;0;0;4;2;4;0;0;4;2;0;0;0;0;0;4;0;4;0;0;2;4;0;0;0;0;2;0;0;0;0;6;0;2;2;2;0;0;6;0;4;0;4;2;4
work;0;0;0;0;0;0;0;0;0;0;6;4;4;4;6;2;4;4;0;0;2;2;2;6;2;2;2;2;0;2;2;6;2;2;0;4;0;0;0;2;0;4;0;4;0;0;4;0;0;0;0;0;2;0;2;0;0;2;4;4;4;2;0;2;2;0;0;2;0;0;2;4;0;0;2;0;0;0;2;2;0;0;4;0;0;0;0;0;0;2;0;6;0;2;0;0;2;0;2;0
