kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
kansas,40,kansas,29,kansas,43,kansas,36,covid19,33,kansas,28,kansas,205
state,20,black,12,covid19,36,covid19,32,kansas,29,covid19,17,covid19,119
#ksleg,10,#blackhistorymonth,10,kansans,22,kansans,22,may,16,kansans,16,kansans,90
kansans,9,women,7,state,15,stay,19,2,15,work,15,state,74
#stateofthestate,8,kansans,7,information,13,safe,16,kansans,14,recovery,11,help,47
work,8,health,6,help,13,state,14,briefing,13,state,10,work,45
help,8,help,6,executive,11,live,14,phase,13,help,8,please,40
rural,7,ks,6,website,11,home,13,press,12,challenges,7,ks,38
important,6,kansan,6,@kdhe,11,briefing,12,live,11,please,7,stay,35
thank,6,response,6,order,11,order,12,plan,11,economic,7,pandemic,34
morning,6,state,6,kansan,10,press,12,please,11,health,6,live,34
honor,6,critical,6,please,10,facebook,12,22,10,4,6,safe,34
communities,6,schools,5,stay,10,pandemic,11,pandemic,10,administration,6,kansan,32
dr,5,#ksleg,5,signed,9,cst,11,facebook,10,visit,5,health,32
annual,5,national,5,health,9,public,10,watch,9,spark,5,communities,31
states,5,statehouse,5,visit,9,#saferathome,10,ks,9,place,5,visit,31
birthday,4,students,5,pandemic,9,daily,10,cst,9,masks,5,facebook,29
serve,4,end,5,work,8,tune,10,safe,9,icymi,5,press,29
businesses,4,recent,5,spread,8,2,9,state,9,communities,5,public,28
prosperity,4,role,5,response,8,hear,9,12,8,take,5,briefing,28
share,4,thank,5,ks,8,kansan,8,updates,8,continue,5,thank,28
proud,4,secretary,5,communities,7,yesterday,8,mask,7,school,5,order,28
members,4,honor,4,safe,7,watch,8,public,7,ks,5,2,27
local,4,history,4,home,7,spread,8,dennis,7,discuss,5,plan,27
dedication,4,states,4,coronavirus,7,forget,8,new,7,economy,5,important,26
across,4,work,4,schools,7,thank,8,lives,7,services,4,may,26
budget,4,morning,4,regarding,7,updates,8,visit,7,taskforce,4,home,25
leaders,4,access,4,announced,6,help,8,reopening,6,community,4,spread,25
vision,4,transportation,4,guidance,6,difficult,8,@kdhe,6,live,4,school,25
new,4,services,4,encourage,6,visit,7,2020,6,important,4,updates,25
encourage,4,forward,4,school,6,new,7,move,6,thanks,4,new,24
families,4,across,4,updates,6,ks,7,latest,6,jobs,4,executive,23
opportunities,4,heart,4,healthcare,6,april,7,page,6,forward,4,response,22
please,4,civil,4,important,6,together,7,forward,5,kansan,4,lives,20
king,4,afternoon,4,social,6,lives,6,important,5,pandemic,4,workers,20
decade,4,workers,4,essential,6,communities,6,secretary,5,people,4,information,20
630,3,advocate,4,plan,6,school,6,honor,5,year,4,@kdhe,20
wichita,3,layoffs,4,discuss,6,thanks,6,workers,5,spread,4,discuss,20
expand,3,part,3,may,6,executive,6,hold,5,regarding,4,signed,20
report,3,bus,3,children,6,1,6,reopen,5,june,4,social,20
best,3,communities,3,virus,6,please,6,recognize,5,across,4,cst,20
ag,3,statewide,3,15,5,save,6,memorial,5,latest,3,watch,20
medicaid,3,people,3,difficult,5,staying,6,great,5,investment,3,regarding,19
support,3,congratulations,3,protect,5,signed,5,health,5,response,3,continue,19
join,3,plan,3,businesses,5,program,5,community,5,testing,3,states,19
line,3,businesses,3,distancing,5,faith,5,tune,5,risk,3,phase,19
celebrate,3,oscar,3,working,5,plan,5,throughout,5,states,3,across,18
economy,3,best,3,times,5,distancing,5,work,5,efforts,3,people,18
strong,3,weeks,3,learning,5,phase,5,thanks,4,program,3,#ksleg,18
lt,3,social,3,march,5,times,5,duty,4,distance,3,tune,18
access,3,school,3,efforts,5,importance,5,school,4,census,3,schools,18
hard,3,efforts,3,novel,5,federal,5,family,4,page,3,businesses,18
address,3,projects,3,benefits,5,ad,5,ad,4,officials,3,encourage,18
take,3,educators,3,people,5,healthy,5,officers,4,#2020census,3,efforts,18
tax,3,city,3,women,5,work,5,continue,4,updates,3,take,18
growth,3,proud,3,families,5,support,5,transportation,4,support,3,thanks,17
national,3,aviation,3,morning,4,proud,5,help,4,office,3,support,17
amelia,3,throughout,3,orders,4,health,5,economic,4,use,3,healthy,17
ks,3,racial,3,receive,4,social,5,regarding,4,distancing,3,women,17
visit,3,home,3,#2020census,4,virus,5,astra,4,counties,3,morning,17
martin,3,segregation,3,contact,4,workers,5,communities,4,meeting,3,families,16
@ltgovrogers,3,learn,3,across,4,mitigate,5,degree,4,businesses,3,forward,16
development,3,lives,3,joined,4,22,5,nation,4,protect,3,great,16
job,3,success,3,emergency,4,crisis,5,spread,4,anniversary,3,students,16
council,3,making,3,issued,4,12,5,deserve,4,briefing,3,together,16
safety,3,awareness,3,provides,4,happy,4,safely,4,teachers,3,family,16
congratulations,3,expansion,3,federal,4,page,4,thank,4,hold,3,difficult,16
office,3,service,3,support,4,provide,4,congratulations,4,deserves,3,page,16
government,3,rights,3,together,4,governor,4,appreciation,4,future,3,local,16
service,3,discuss,3,access,4,regularly,4,special,4,social,3,honor,15
center,3,good,3,continuous,4,remember,4,economy,4,broadcast,3,economic,15
event,3,new,3,care,4,people,4,stay,4,energy,3,22,15
luther,3,public,3,commitment,4,continue,4,efforts,4,safety,3,distancing,15
business,3,#publicschoolsweek,3,team,4,appreciate,4,healthy,4,press,3,announced,15
public,2,medicaid,3,force,4,education,4,passed,3,call,3,secretary,15
happy,2,instrumental,3,continue,4,helping,4,mother,3,schools,3,year,15
positions,2,take,3,leadership,4,families,4,tell,3,executive,3,federal,15
#chiefskingdom,2,born,3,monday,4,gatherings,4,safety,3,caused,3,economy,15
native,2,sector,3,call,4,announced,4,lee,3,facebook,3,education,15
step,2,mental,3,public,4,great,4,week,3,move,3,national,15
judge,2,todays,2,ways,4,broadcast,4,necessary,3,federal,3,address,15
impacted,2,alongside,2,urge,4,astra,4,away,3,strengthening,3,community,15
kings,2,february,2,unemployment,4,friends,4,offer,3,put,3,proud,15
wilson,2,#chiefskingdom,2,ensure,4,easter,4,gratitude,3,partner,2,safety,14
enhanced,2,year,2,general,4,court,4,still,3,high,2,working,14
bipartisan,2,possible,2,take,4,resources,4,though,3,news,2,celebrate,14
agreement,2,quality,2,local,4,regarding,4,hear,3,message,2,access,14
compromise,2,rapid,2,hispanic,4,working,4,another,3,funding,2,daily,14
welcome,2,voice,2,next,4,framework,4,program,3,track,2,jobs,14
another,2,celebrate,2,education,4,religious,4,lost,3,approve,2,yesterday,14
tour,2,life,2,court,3,statewide,4,men,3,top,2,recovery,14
finish,2,case,2,gatherings,3,address,4,discuss,3,following,2,protect,14
fight,2,economic,2,part,3,moved,3,brave,3,full,2,services,14
2020,2,children,2,states,3,claims,3,changed,3,havent,2,2020,14
history,2,courage,2,current,3,todiscussthe,3,address,3,spoke,2,best,13
committed,2,amazing,2,uptodate,3,efforts,3,forget,3,president,2,congratulations,13
economic,2,swearing,2,25,3,restrictive,3,upon,3,workers,2,program,13
lasting,2,assist,2,released,3,hard,3,note,3,neighbors,2,hear,13
winter,2,wichitas,2,file,3,teachers,3,broadcast,3,public,2,12,13
export,2,marked,2,address,3,reopen,3,local,3,priority,2,hard,13
