;kansas;black;#blackhistorymonth;women;kansans;health;help;ks;kansan;response;state;critical;schools;#ksleg;national;statehouse;students;end;recent;role;thank;secretary;honor;history;states;work;morning;access;transportation;services;forward;across;heart;civil;afternoon;workers;advocate;layoffs;part;bus;communities;statewide;people;congratulations;plan;businesses;oscar;best;weeks;social;school;efforts;projects;educators;city;proud;aviation;throughout;racial;home;segregation;learn;lives;success;making;awareness;expansion;service;rights;discuss;good;new;public;#publicschoolsweek;medicaid;instrumental;take;born;sector;mental;todays;alongside;february;#chiefskingdom;year;possible;quality;rapid;voice;celebrate;life;case;economic;children;courage;amazing;swearing;assist;wichitas;marked
kansas;0;8;4;0;6;6;6;4;4;6;4;10;6;4;6;4;4;2;6;4;6;6;4;2;8;6;4;8;4;8;2;6;2;6;6;4;6;6;4;0;4;4;2;6;4;2;0;4;4;4;2;2;2;6;6;6;6;2;2;2;0;0;4;2;4;2;2;6;2;6;6;6;4;6;4;0;2;0;6;4;4;2;2;4;4;0;4;4;2;2;4;0;0;2;0;2;4;2;2;4
black;0;0;16;0;4;0;2;2;2;0;4;0;0;0;0;0;2;0;0;4;0;0;2;4;4;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;2;0;2;0;0;0;4;0;2;2;0;0;0;0;2;0;0;4;2;2;2;2;0;0;0;0;0;4;2;0;0;2;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;0;2;2;4;2;0;0;0;0;0;0;2;0
#blackhistorymonth;0;0;0;2;4;0;2;2;2;0;4;0;2;0;0;0;2;0;0;4;0;0;2;4;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;4;0;2;2;0;0;0;0;2;0;0;4;2;2;4;2;0;2;0;0;0;0;2;0;0;2;0;0;0;4;0;4;0;0;0;0;2;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;0
women;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
kansans;0;0;0;0;0;4;6;0;2;0;2;4;0;0;0;4;0;0;2;0;2;0;0;2;2;0;0;6;0;2;0;0;0;0;2;0;2;0;4;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;2;0;4;0;0;0;0;4;0;0;0;0;0;0;0;4;0;2;0;0;2;2;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0
health;0;0;0;0;0;0;4;0;0;0;2;2;2;2;0;4;0;2;2;2;4;0;0;0;0;0;0;4;0;2;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;2;2;4;2;0;0;0;4;0;2;2;0;2;2;0;2;0;0;0;2;0;2;0;0;2;0;4;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0
ks;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0
kansan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
response;0;0;0;0;0;0;0;0;0;0;4;2;0;4;0;0;0;2;8;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;2;4;0;8;2;0;0;2;0;0;2;4;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;6;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;4;0;0
