;kansas;covid19;kansans;state;live;briefing;press;safe;pandemic;2;facebook;work;please;stay;ks;help;cst;phase;may;visit;updates;public;watch;plan;health;new;tune;spread;order;communities;home;school;22;lives;kansan;thank;thanks;continue;12;recovery;page;yesterday;regarding;workers;hear;important;daily;latest;healthy;move;forget;difficult;economic;program;executive;broadcast;#saferathome;social;people;ad;great;together;efforts;federal;community;icymi;distancing;jobs;2020;1;family;support;@kdhe;astra;discuss;economy;forward;year;mask;secretary;take;signed;officials;education;friends;hold;reopen;safety;census;place;recognize;teachers;challenges;hard;masks;deserve;proud;testing;times;mitigate
kansas;0;68;14;30;32;26;26;18;24;34;28;24;14;12;10;14;24;12;6;6;26;8;32;18;14;14;22;10;14;16;6;10;12;6;6;10;8;10;12;14;6;10;0;10;22;12;16;8;12;14;22;4;12;8;10;2;8;10;10;8;2;6;2;10;2;4;10;10;2;6;6;10;6;8;0;8;14;10;4;8;8;4;8;8;6;4;12;8;8;6;4;6;6;8;6;10;10;6;6;4
covid19;0;0;34;30;52;48;48;20;40;38;44;16;24;16;12;24;32;10;10;30;38;6;30;12;6;16;26;22;4;4;10;12;6;8;8;16;10;2;2;10;22;6;22;8;24;6;18;18;8;8;22;4;6;0;6;18;8;8;8;4;10;2;10;2;6;4;8;8;12;4;6;2;10;4;14;10;10;2;8;4;4;4;2;4;4;14;6;2;0;2;2;2;6;6;4;6;4;6;0;10
kansans;0;0;0;18;2;2;2;14;8;4;0;14;2;8;8;16;4;10;2;6;0;12;0;8;12;8;4;10;4;10;8;4;2;8;0;6;8;12;6;10;0;6;2;2;0;8;2;0;10;8;0;12;6;6;4;0;6;8;2;0;10;8;8;2;6;8;8;6;0;2;2;4;4;0;2;4;4;2;2;2;2;0;8;0;4;0;2;4;0;4;4;0;2;0;2;0;2;6;6;6
state;0;0;0;0;4;0;0;0;16;0;0;12;2;0;8;12;2;2;2;2;0;4;0;6;4;12;4;4;2;2;2;10;0;2;4;6;6;2;4;4;0;4;2;2;2;6;0;4;0;2;0;2;6;0;0;0;0;2;6;2;6;0;8;6;2;2;2;6;2;0;2;6;2;2;4;4;2;8;0;2;2;2;4;4;2;0;6;0;2;2;4;2;2;0;0;2;4;8;0;2
live;0;0;0;0;0;48;50;0;2;32;50;0;20;0;0;0;32;0;8;20;38;0;30;0;0;4;26;0;0;0;0;0;4;0;0;0;0;0;0;2;26;0;22;0;22;0;18;18;0;0;22;0;0;0;2;20;0;0;2;0;0;0;0;0;0;0;0;0;10;6;0;0;8;0;12;0;2;0;0;6;0;0;0;0;0;14;0;0;0;2;0;0;0;0;0;0;0;0;0;0
briefing;0;0;0;0;0;0;50;2;0;30;46;0;18;0;0;0;32;0;8;18;38;0;30;0;0;0;24;0;0;0;0;0;2;0;0;2;0;0;0;0;22;0;20;0;22;0;18;16;0;0;22;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;0;6;0;12;0;0;0;0;6;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
press;0;0;0;0;0;0;0;2;0;32;48;0;20;0;0;0;34;0;8;18;38;0;30;0;0;0;26;0;0;0;0;0;2;0;0;2;0;0;0;0;24;0;20;0;22;0;20;16;0;0;22;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;0;8;0;12;0;0;0;0;6;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
safe;0;0;0;0;0;0;0;0;10;6;0;6;8;22;0;4;2;4;2;0;0;6;0;6;2;2;0;8;2;6;16;0;2;12;4;10;12;4;4;2;0;2;0;6;0;6;2;0;14;4;0;6;0;0;0;0;14;6;0;2;4;4;2;0;0;0;6;0;0;0;2;4;2;2;0;2;2;0;6;0;2;0;4;0;4;0;2;2;0;0;0;2;0;0;2;4;2;0;10;4
pandemic;0;0;0;0;0;0;0;0;0;2;0;8;0;6;8;10;2;2;2;2;0;4;2;6;4;6;2;2;4;0;4;6;0;4;2;6;6;4;4;0;0;8;2;12;2;2;0;0;6;2;0;2;0;2;4;0;2;2;4;0;8;0;2;2;0;0;2;8;0;0;0;0;2;0;2;4;2;2;0;0;2;4;2;2;0;0;2;2;0;2;2;0;0;4;0;8;4;2;0;0
2;0;0;0;0;0;0;0;0;0;0;30;0;4;2;2;0;30;14;4;2;26;0;28;8;0;0;24;4;0;2;0;0;4;0;0;2;2;0;4;2;6;0;0;0;22;0;20;4;2;8;22;2;0;0;2;0;0;2;2;4;0;0;2;0;2;0;2;0;0;2;0;0;8;4;0;4;8;0;2;6;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;2
facebook;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;32;0;6;18;38;0;28;0;0;0;24;0;0;0;0;0;2;0;0;0;0;0;0;0;26;0;18;0;22;0;18;16;0;0;22;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;0;8;0;12;0;0;0;0;6;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;0;2;0;0;0;0;0;4;8;2;0;0;2;8;0;14;0;4;0;6;10;6;0;12;0;0;0;4;0;2;0;2;4;4;0;2;8;2;0;0;2;4;4;2;2;6;4;2;6;4;4;6;0;0;0;10;2;2;0;2;4;2;2;2;0;0;0;6;0;0;0;6;0;4;0;6;4;8;4;8;4;2;2;0
