;new;covid19;statewide;deaths;cases;mexico;#covid19;additional;currently;todays;individuals;update;info;hospitalized;totaling;bringing;statewidemore;public;state;mexicans;community;mexicos;mask;face;health;wear;spread;work;continue;positive;safety;black;safe;pandemic;businesses;four;local;tests;legislature;still;racism;#protectnm;essential;moment;students;protect;live;reform;ensure;justice;incredible;practices;help;session;leaders;five;council;vote;tax;ensuring;part;wonderful;relief;together;neighbors;injustice;#alltogethernm;thank;critical;school;virus;gender;states;country;take;election;across;business;coverings;important;address;peaceful;join;history;mexican;working;safely;absolutely;consideration;tested;find;support;required;freedom;proud;special;full;rights;distancing;means
new;0;72;60;56;58;70;62;58;60;58;56;58;56;56;56;54;52;16;20;36;14;24;14;14;12;8;16;16;10;16;12;12;10;10;6;16;8;16;4;10;6;6;6;2;6;12;12;6;8;4;12;4;8;2;6;12;4;6;2;8;4;8;6;2;8;4;4;8;6;6;6;4;6;4;6;6;8;4;8;4;0;0;4;4;8;2;4;4;2;4;2;6;6;2;6;2;6;0;4;4
covid19;0;0;58;56;58;6;54;56;56;56;58;54;58;56;56;54;52;10;2;6;4;8;6;10;6;6;10;0;6;16;8;0;2;10;6;16;2;16;4;10;0;2;2;0;2;4;0;2;2;0;4;4;0;6;2;12;0;0;6;0;4;0;4;0;0;0;0;0;4;2;0;0;6;0;4;2;0;4;4;0;2;0;0;0;0;0;0;0;0;2;2;2;4;0;0;4;2;2;2;0
statewide;0;0;0;56;58;6;56;56;56;56;56;54;56;56;56;54;52;2;0;2;0;4;0;4;0;4;4;0;4;16;0;4;0;0;0;16;0;16;0;2;0;2;0;0;0;0;4;0;0;0;0;2;0;0;0;12;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;2;0
deaths;0;0;0;0;56;2;54;56;56;56;56;54;56;56;56;54;52;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cases;0;0;0;0;0;2;56;56;56;56;56;54;56;56;56;54;52;2;0;0;0;0;0;2;0;2;2;0;2;16;0;0;0;2;0;16;0;16;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mexico;0;0;0;0;0;0;4;2;4;2;2;2;2;2;2;0;0;8;10;10;10;8;12;10;4;6;10;8;4;0;8;10;6;4;4;0;8;0;4;6;4;4;4;4;4;8;8;2;6;0;6;2;6;2;6;0;2;4;2;4;4;10;6;2;4;6;0;6;2;4;4;4;2;0;4;4;6;4;6;4;0;2;4;2;4;0;0;4;0;2;0;6;6;0;6;2;4;2;4;0
#covid19;0;0;0;0;0;0;0;54;54;54;54;56;54;54;54;52;50;6;6;4;0;6;0;2;4;2;2;0;4;16;0;0;0;2;0;16;0;16;0;0;0;6;0;0;0;0;0;0;0;0;0;2;2;0;0;10;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0
additional;0;0;0;0;0;0;0;0;58;56;56;54;56;56;56;54;52;0;2;2;0;0;0;0;0;0;2;0;2;16;0;0;2;0;0;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
currently;0;0;0;0;0;0;0;0;0;56;56;54;56;56;56;54;52;0;0;2;0;0;0;0;0;0;2;0;2;16;0;0;2;0;0;16;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
todays;0;0;0;0;0;0;0;0;0;0;56;54;56;56;56;54;52;0;0;2;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
