;#vtcapitol4aday;vermont;american;vt;african;great;essex;state;#blackhistorymonth;workforce;new;county;workers;team;work;serve;vermonters;house;critical;learn;support;economy;pond;beecher;aprils;employers;covid19;provide;year;island;mary;morning;thanks;largest;falls;celebrate;maple;hear;born;jobs;community;man;increase;engineers;opportunities;scout;important;area;rural;hosting;lucy;12;issues;convent;tax;college;town;center;americans;meeting;@massgovernor;recreation;challenges;world;help;kids;needs;healthcare;carter;yesterday;weekend;helping;face;honor;proclamation;reps;good;rare;senior;without;infrastructure;sold;commissioner;loki;thank;recognition;shared;visit;stop;senate;communities;benefits;areas;working;became;career;week;next;program;services
#vtcapitol4aday;0;2;0;0;0;6;10;0;0;10;2;8;0;4;2;2;0;2;4;2;4;4;4;4;2;2;0;2;0;4;0;2;2;0;4;0;2;2;0;2;2;0;2;0;4;0;2;2;2;4;0;0;0;0;0;2;0;2;0;2;0;2;4;2;0;2;2;2;0;0;0;4;2;0;0;0;0;0;0;0;0;4;4;0;2;0;2;2;2;0;0;2;2;2;0;2;0;2;0;2
vermont;0;0;6;4;6;2;0;2;6;2;4;0;2;2;4;2;2;2;2;2;0;2;0;0;0;0;2;4;4;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;4;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;2;2;2;2;0;0;0;0;2;2;0;2;0;2;0;2;0;0;0;2;0;0;0;0
american;0;0;0;6;12;2;0;4;12;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;4;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;4;0;0;0;0;0
vt;0;0;0;0;6;0;0;8;6;0;2;0;2;0;2;0;2;4;2;2;2;2;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;4;2;0;2;2;2;0;2;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;2;0
african;0;0;0;0;0;2;0;4;12;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;4;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;4;0;0;0;0;0
great;0;0;0;0;0;0;6;2;2;2;0;6;0;2;0;4;0;4;0;2;2;2;2;2;2;2;0;0;0;2;0;2;2;0;2;0;2;0;0;0;2;0;0;0;2;0;0;2;0;4;0;0;2;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0
essex;0;0;0;0;0;0;0;0;0;4;0;10;0;2;2;2;0;2;2;4;4;4;4;2;2;2;0;0;0;4;0;2;2;0;2;0;2;0;0;0;4;0;0;0;2;0;0;2;4;4;0;0;0;0;0;0;0;2;0;2;0;2;4;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;0;0;0;0;4;0;0;0;0;0;0;2
state;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;2;6;2;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;2;2;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0
#blackhistorymonth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;4;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;4;0;0;0;0;0
workforce;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;2;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;4;0;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;2;2;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;2;0;2;2;2;2;0;0;0;2;2;0;0;0;2;0;2;0;2;0;2;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0
county;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;4;4;4;4;2;2;2;0;0;0;4;0;2;2;0;2;0;2;0;0;0;4;0;0;0;2;0;0;2;2;4;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
team;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0
