;vermonters;vermont;state;work;help;covid19;health;#vtbudget;continue;#vtsots;support;economic;thank;people;together;response;new;businesses;public;#vtpoli;million;12;safe;22;working;critical;vermonts;provide;vt;@healthvermont;team;live;budget;economy;care;important;year;pandemic;nation;program;take;relief;recovery;spread;services;act;includes;stay;efforts;crisis;good;great;lives;emergency;states;across;part;kids;tax;visit;package;hard;service;community;workers;additional;guidance;families;virus;still;assistance;future;news;local;announced;home;find;american;week;data;business;order;family;communities;may;increase;social;outdoor;watch;schools;funding;forward;honor;testing;without;safety;learn;another;federal;13
vermonters;0;30;30;34;44;38;28;8;20;10;20;16;30;6;16;12;10;8;16;26;8;2;20;12;18;18;8;4;8;6;6;6;4;16;16;20;2;14;2;6;8;12;10;10;4;10;4;20;20;18;10;6;12;10;6;4;6;4;2;14;12;6;16;2;6;0;10;4;12;12;6;6;6;6;10;10;6;8;2;6;2;4;12;2;6;4;4;6;6;6;2;8;10;8;2;8;8;2;4;2
vermont;0;0;44;20;18;38;12;16;14;8;20;18;12;16;0;6;14;12;4;6;8;10;6;2;6;6;12;10;6;12;4;2;2;14;0;8;8;2;6;14;8;4;2;6;6;4;2;6;8;0;10;6;4;2;4;10;0;2;4;8;0;4;6;2;6;2;2;6;4;4;8;8;8;4;12;2;6;8;10;8;14;6;8;6;4;0;4;0;6;0;6;4;16;6;8;0;2;4;2;4
state;0;0;0;18;14;22;16;24;4;28;6;12;10;22;4;4;8;4;6;6;6;10;4;12;6;4;10;4;10;8;2;8;10;8;2;4;6;2;12;2;4;4;4;8;10;4;6;2;2;12;12;4;10;8;0;14;6;0;2;6;4;6;8;2;6;6;4;8;4;0;0;10;8;2;4;6;4;4;4;4;6;8;6;8;8;8;2;8;2;4;0;4;12;2;6;2;2;4;6;6
work;0;0;0;0;24;20;18;22;20;14;14;4;18;12;16;10;8;8;12;12;2;12;8;12;10;22;8;8;10;14;10;10;4;10;8;6;6;4;10;6;10;4;2;2;0;4;4;8;10;10;0;12;4;4;2;4;6;10;2;8;6;26;2;0;8;4;4;0;6;4;6;0;4;4;0;8;4;6;14;8;8;0;2;4;2;0;4;2;2;4;6;8;0;12;6;4;6;2;2;2
help;0;0;0;0;0;20;8;16;6;8;22;22;14;14;12;10;8;14;6;16;14;8;2;12;12;12;4;10;8;8;4;4;10;8;10;4;0;16;2;0;8;10;14;10;6;10;4;2;10;6;4;4;2;6;8;2;6;2;4;4;10;14;8;4;6;0;6;10;14;4;8;12;0;6;0;2;4;2;4;0;6;0;8;4;4;6;0;0;2;4;12;2;2;4;0;4;4;8;6;2
covid19;0;0;0;0;0;0;26;0;14;0;12;14;12;8;8;38;4;8;6;20;2;10;10;2;6;6;24;16;6;18;18;10;0;4;4;4;2;10;8;0;6;4;4;16;2;6;0;4;8;6;4;2;8;4;6;8;10;2;0;10;2;10;6;4;8;4;6;2;2;4;6;0;12;8;14;2;8;2;6;4;4;8;0;0;6;0;6;4;14;6;0;2;8;6;0;6;4;10;2;6
health;0;0;0;0;0;0;0;8;12;2;12;8;4;4;4;14;4;2;30;8;6;2;8;4;10;4;10;4;8;12;2;4;2;4;20;6;2;8;6;4;2;6;6;8;14;8;4;4;2;14;0;0;4;8;6;2;4;10;0;10;6;0;0;4;4;8;12;4;8;0;2;0;0;2;10;4;4;0;0;12;4;2;6;0;8;0;4;8;4;4;0;2;0;6;0;20;4;0;2;2
#vtbudget;0;0;0;0;0;0;0;0;14;0;16;14;0;8;4;2;10;6;4;0;20;18;0;18;6;0;2;6;6;0;2;8;30;6;0;6;20;0;6;16;0;0;2;0;12;2;22;0;4;4;4;4;2;4;4;4;4;8;8;2;4;2;2;4;2;6;0;4;0;4;6;4;0;2;0;2;4;0;0;0;8;2;4;4;0;18;2;2;0;4;8;4;0;0;4;0;2;6;10;4
continue;0;0;0;0;0;0;0;0;0;4;10;10;4;8;4;8;4;6;12;6;8;6;16;6;6;4;2;0;4;8;4;4;4;14;8;6;4;14;4;6;4;4;4;8;2;6;4;6;6;8;6;0;2;0;2;2;2;6;4;2;6;0;2;0;2;0;6;2;0;14;2;4;4;0;0;2;2;0;2;18;0;0;0;2;2;4;6;2;8;4;2;2;0;0;2;4;4;4;0;0
#vtsots;0;0;0;0;0;0;0;0;0;0;2;8;2;26;4;0;0;2;0;0;2;10;0;8;2;6;0;0;0;0;2;6;8;2;4;0;4;0;4;2;0;2;2;0;2;2;2;2;0;4;4;2;2;0;0;6;6;6;4;0;4;2;4;2;2;4;0;8;0;4;0;8;0;0;0;4;4;2;2;0;2;2;0;10;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;8
support;0;0;0;0;0;0;0;0;0;0;0;16;2;4;0;10;4;6;4;8;14;6;2;6;2;8;4;2;6;0;0;4;6;10;4;2;2;4;0;14;2;8;12;0;2;8;0;0;8;6;0;4;2;2;8;6;2;2;4;4;8;4;4;6;0;2;2;4;0;2;8;4;0;10;0;2;4;0;0;0;6;0;4;6;0;4;0;2;4;2;8;0;0;2;4;0;4;4;4;2
economic;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;12;6;6;16;4;2;4;2;8;0;4;2;2;6;4;6;8;0;0;0;10;0;6;0;16;22;0;6;10;8;0;0;12;2;2;2;8;2;2;4;2;2;4;16;6;0;2;0;2;0;8;0;2;8;10;0;0;2;2;0;0;0;2;12;0;2;2;0;2;4;4;4;0;0;0;0;0;0;2;4;0;2;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;8;4;2;6;10;0;2;10;4;8;4;4;4;6;4;8;0;0;4;4;0;4;2;2;0;2;4;2;2;0;4;0;2;6;4;4;2;0;2;2;4;4;0;0;0;4;14;14;2;6;0;0;0;6;0;0;0;0;0;0;2;0;4;4;0;0;0;0;0;0;4;0;0;0;0;4;0;4;0;2;0;2;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;6;4;8;8;8;2;2;0;2;2;2;4;10;2;4;2;0;2;0;10;2;0;2;0;0;2;2;4;0;2;0;2;4;2;0;2;6;6;0;0;4;2;4;8;2;0;0;0;2;2;2;4;8;0;0;0;0;6;2;0;0;2;0;2;6;4;0;2;2;4;0;2;2;2;2;0;2;0;2;0;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;6;8;0;2;2;2;8;2;4;4;0;8;2;0;0;2;0;2;2;4;0;0;2;2;0;4;0;2;2;2;0;4;0;0;4;0;0;2;0;8;0;2;2;2;4;2;0;2;8;2;4;4;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;2;2;2;0;2;2;4;2;0;0;2;0;4;0;4
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;10;14;0;4;2;2;2;6;14;14;10;2;10;12;0;2;4;2;0;8;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;6;12;4;2;2;0;6;0;4;4;0;4;2;2;2;2;2;2;0;8;8;0;0;6;0;0;2;0;0;0;0;2;2;0;0;14;4;2;2;0;0;0;4;6;10;4;0
