;illinois;state;year;budget;million;new;students;health;families;work;care;education;college;access;communities;nation;proud;general;people;states;government;fiscal;public;illinoisans;past;investment;investments;across;community;future;children;funds;administration;history;opportunity;believe;training;working;forward;pension;take;lgbtq;jobs;economic;dollars;dedicated;resources;ensure;rockford;funding;higher;next;celebrate;broadband;rebuild;revenue;improve;universities;ability;black;continue;hundreds;making;pay;program;schools;safety;invest;residents;announce;together;clear;fund;street;help;project;ive;bridge;rural;took;live;president;hard;remains;promises;staff;connectivity;tax;months;plan;behind;agency;matching;osf;top;100;lincoln;priority;great;services
illinois;0;40;8;6;8;16;6;8;10;8;4;6;8;10;4;10;10;2;8;6;6;2;4;0;4;8;6;6;4;2;4;8;2;6;0;4;4;2;2;2;2;4;4;2;6;2;4;6;2;2;2;2;4;6;8;2;6;4;2;2;2;8;2;0;4;0;2;4;4;6;2;2;0;2;2;2;2;4;4;2;6;0;6;6;2;0;0;0;0;6;0;0;4;2;0;2;2;2;2;2
state;0;0;6;10;2;6;4;8;10;8;2;2;6;4;6;10;6;4;6;2;10;8;8;4;4;0;2;10;2;4;6;2;4;8;4;4;2;0;4;0;2;0;6;6;6;0;6;8;4;4;0;6;6;2;2;2;6;6;2;4;4;6;4;2;0;2;4;6;2;4;2;4;0;4;4;2;4;0;4;4;4;4;4;6;2;0;2;0;0;0;4;2;0;2;2;0;4;2;0;4
year;0;0;0;12;4;10;0;2;6;0;0;6;0;0;0;2;2;8;2;4;0;6;0;2;6;0;2;0;2;4;0;4;0;0;0;4;2;6;2;0;0;2;2;0;2;0;0;0;0;2;4;0;0;0;2;6;2;0;0;0;0;0;2;4;0;4;2;0;2;0;4;2;2;0;0;2;2;2;0;2;2;0;2;0;0;4;0;2;2;4;0;0;0;0;4;0;0;0;2;0
budget;0;0;0;0;8;2;0;0;6;0;0;2;2;0;0;0;2;2;0;4;0;6;0;0;2;2;0;0;0;6;2;0;0;2;2;2;0;4;0;2;2;0;0;0;4;2;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;2;2;0;2;0;0;2;0;4;2;0;0;0;0;0;2;6;0;0;2;0
million;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;2;2;0;2;0;2;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;4;0;0;2;2;0;4;0;2;4;2;2;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;4;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;6;0;0;0;0
new;0;0;0;0;0;0;0;4;2;0;2;4;0;0;0;0;4;2;2;0;0;0;0;0;2;0;4;0;0;0;2;6;0;0;2;0;4;4;0;0;2;0;4;4;0;2;0;2;0;2;0;2;0;0;4;4;0;2;4;0;0;0;2;0;0;0;2;0;4;2;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;4;0;0;0;0;0
students;0;0;0;0;0;0;0;0;0;2;0;6;10;2;0;2;2;0;0;0;0;0;2;0;0;2;6;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;4;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
health;0;0;0;0;0;0;0;0;0;0;10;6;0;8;4;0;0;2;4;0;0;2;4;0;4;2;2;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;2;4;0;0;0;4;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;0;0;0;4;2;4;0;2;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0
families;0;0;0;0;0;0;0;0;0;2;2;2;4;2;0;2;2;4;2;4;0;2;0;0;0;0;0;0;2;6;4;0;0;2;2;4;2;6;2;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;4;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;2;0;4;0;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;2;2;0;0;2;2;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0
