;state;illinois;work;people;new;families;year;@realdonaldtrump;students;working;across;together;nation;opportunity;proud;education;legislation;care;thank;million;administration;illinoisans;justice;forward;schools;health;take;continue;states;high;serve;government;millions;young;future;law;put;bipartisan;past;children;important;system;equity;financial;home;rights;funding;expanded;capital;best;federal;great;become;progress;tickets;investment;jobs;change;hard;senate;end;investments;public;scholarships;united;pay;move;life;signed;members;creating;service;side;thousands;school;welcoming;action;residents;licenses;honor;minimum;giving;path;raised;historic;pension;problems;property;fight;commitment;human;build;costs;act;insulin;communities;big;increasing;address;equal
state;0;36;16;8;10;22;16;8;4;14;14;8;12;10;2;2;0;6;6;8;2;10;2;6;2;2;2;6;0;6;4;4;6;4;4;4;4;6;2;8;2;2;0;4;4;0;2;6;2;6;4;8;4;2;0;2;6;4;2;6;2;8;2;2;0;2;4;4;0;4;2;2;6;2;2;2;4;0;0;4;4;2;2;2;2;2;4;0;2;2;2;4;2;2;0;2;4;2;6;2
illinois;0;0;10;14;16;12;10;16;4;6;6;8;6;8;10;4;2;0;2;8;10;6;6;8;4;4;4;6;2;4;8;2;2;4;0;0;6;6;2;8;2;2;2;6;4;2;2;0;6;8;6;6;6;8;2;6;4;2;2;2;4;4;6;2;2;2;2;2;0;4;0;2;2;0;0;6;4;2;2;4;2;0;4;0;0;0;0;2;6;4;6;2;0;0;0;2;0;4;6;0
work;0;0;0;8;2;4;2;8;0;4;6;4;0;4;4;2;0;2;2;2;2;4;2;4;6;2;2;0;0;6;0;8;4;0;0;4;4;2;0;0;4;4;6;0;2;0;0;4;0;4;2;2;0;0;4;0;0;0;4;0;4;0;0;0;0;2;0;4;4;2;0;2;2;2;2;2;0;2;2;4;4;0;0;4;2;2;2;2;0;2;2;0;0;4;0;0;4;0;2;2
people;0;0;0;0;2;0;2;4;0;2;4;0;0;2;2;2;4;2;4;2;0;2;2;2;0;4;2;4;2;2;2;0;6;6;0;2;0;4;4;0;2;2;0;0;0;0;0;2;0;0;2;4;0;2;4;0;0;0;2;2;2;0;2;0;2;4;2;4;2;0;0;2;0;2;2;0;0;0;4;2;2;0;0;2;0;0;0;0;4;2;2;0;0;4;2;2;2;0;0;2
new;0;0;0;0;0;2;6;6;2;2;2;6;2;8;6;2;4;0;0;6;2;0;2;2;2;0;0;0;2;4;0;2;2;4;4;4;4;2;2;0;0;2;2;0;0;2;2;0;4;0;0;0;4;2;0;2;6;2;0;0;0;4;2;2;2;0;2;0;0;0;6;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2
families;0;0;0;0;0;0;4;2;0;16;10;4;8;0;4;0;0;2;2;0;2;4;0;2;0;0;2;4;0;4;4;2;4;4;0;4;4;2;2;6;0;0;0;0;6;0;0;0;0;4;0;2;2;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;6;2;0;2;4;0;0;2;2;0;4;0;2;0;0;0;0;0;0;4;2;2;0;0;2;0;2;0
year;0;0;0;0;0;0;0;6;4;6;2;10;2;2;4;4;2;2;0;2;2;0;0;2;2;2;0;2;0;0;2;2;0;0;0;0;0;0;6;0;0;0;0;4;2;0;4;0;2;0;0;2;2;4;0;2;2;2;2;4;2;0;0;2;0;0;2;0;0;2;0;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;4;0;4;2;0;0;2;0;4;4;0
@realdonaldtrump;0;0;0;0;0;0;0;0;0;6;0;4;2;0;0;2;2;0;0;2;0;0;4;0;0;2;2;0;0;2;0;4;0;0;0;0;6;0;4;0;0;6;0;2;0;2;0;0;0;2;0;0;2;2;0;0;2;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;4;2;0;0;0;0;2;0;0;2;0;4;0;2;2;0;0;0;0;2;0;0;4;0
students;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;6;2;2;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;2;0;0;2;0;0;4;4;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;8;0;0;0;0;2;2;0;2;0;4;2;2;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0
working;0;0;0;0;0;0;0;0;0;0;4;8;4;0;2;0;0;0;0;0;2;2;2;6;0;0;2;6;0;2;2;2;2;0;0;2;4;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;4;0;0;0;0;0;0;4;0;0;2;0;0;6;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;0;4;0;0;0;2;2;0;2;0
across;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;4;8;0;0;0;0;2;0;2;0;2;2;6;2;2;6;0;2;4;2;0;0;4;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;2;0;0;4;2;2;0;2;0;0;0;0;0;0;2;4;2;2;0;2;2;0;2;2
