;illinois;state;de;en;que;federal;care;health;home;working;para;people;work;across;la;help;covid19;los;virus;take;stay;public;workers;new;community;el;las;businesses;testing;government;#covid19;medical;statewide;order;everyone;una;capacity;additional;crisis;administration;cases;spread;support;states;response;continue;residents;possible;able;food;clear;es;por;please;program;hospital;business;best;lo;local;still;emergency;children;homes;social;lives;communities;access;call;casa;hospitals;safe;del;protect;case;un;nation;ppe;vulnerable;thank;days;families;officials;estamos;school;taking;week;place;national;con;healthcare;test;todos;patients;nuestros;unprecedented;services;means;team;family
illinois;0;54;16;16;10;8;12;14;14;14;14;16;18;24;10;12;26;6;10;4;8;12;8;10;14;8;8;12;14;4;22;4;10;4;4;2;8;10;6;12;6;6;14;10;6;8;10;12;2;8;6;0;2;8;12;8;4;6;4;8;0;8;6;0;4;4;10;4;2;2;4;4;2;4;10;2;14;10;0;4;2;6;4;4;12;8;2;6;8;2;6;4;4;2;4;6;2;2;6;6
state;0;0;0;0;0;20;10;24;12;30;0;18;22;46;0;8;18;0;4;8;10;16;6;12;12;0;0;8;8;16;12;6;2;4;0;0;6;4;6;20;4;12;6;12;8;8;4;8;4;4;4;0;0;2;8;6;2;8;0;6;2;14;6;8;4;2;8;6;4;0;0;4;0;2;6;0;12;4;8;10;6;4;10;0;10;10;4;2;4;0;0;8;0;0;0;8;8;2;12;2
de;0;0;0;56;56;8;0;0;0;0;46;0;0;0;40;0;2;34;8;0;0;0;0;0;0;28;28;0;0;0;4;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;22;0;0;2;0;0;22;0;0;0;0;0;2;0;0;0;0;22;0;0;18;0;0;16;0;0;0;0;0;0;0;16;0;0;0;2;0;14;0;0;16;0;18;0;0;0;0;0
en;0;0;0;0;48;4;0;0;0;0;42;0;0;0;30;0;2;30;8;0;0;0;0;0;0;22;26;0;0;0;6;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;22;0;0;0;0;0;20;2;0;0;0;0;2;0;0;0;0;22;0;0;16;0;0;14;0;0;0;0;0;0;0;16;0;0;0;2;0;14;0;0;14;0;16;0;0;0;0;0
que;0;0;0;0;0;6;0;0;0;0;44;0;0;0;34;0;0;32;12;0;0;0;0;0;0;20;28;0;0;0;2;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;16;0;0;0;0;0;20;0;0;0;0;0;2;0;0;0;0;20;0;0;16;0;0;12;0;0;0;0;0;0;0;16;0;0;0;2;0;14;0;0;14;0;18;0;0;0;0;0
federal;0;0;0;0;0;0;2;6;2;8;6;2;6;4;4;4;2;2;0;4;0;6;0;2;0;4;4;0;10;30;0;4;0;2;0;2;8;2;2;2;2;4;4;12;8;8;2;10;4;4;2;4;4;0;6;2;0;2;2;6;2;4;2;2;0;2;2;4;0;0;0;0;6;0;4;2;2;4;4;2;2;0;10;6;0;2;0;0;6;0;2;2;0;2;2;0;4;0;2;0
care;0;0;0;0;0;0;0;42;6;4;0;2;8;4;0;12;10;0;6;4;4;4;24;6;2;0;0;2;6;2;2;12;6;4;4;0;8;2;4;2;8;6;4;2;0;0;8;0;4;2;4;0;0;2;0;6;2;8;0;0;0;4;6;6;4;0;0;8;8;0;6;4;0;4;0;0;0;2;6;0;0;2;2;0;0;4;6;6;4;0;2;4;0;6;0;0;4;0;2;0
health;0;0;0;0;0;0;0;0;2;6;0;2;6;6;0;10;8;0;6;8;2;18;22;4;6;0;0;4;4;0;0;4;6;0;2;0;10;2;10;2;4;4;2;2;4;0;6;4;4;0;4;0;0;4;0;8;2;2;0;2;0;6;0;4;2;2;0;4;8;0;4;2;0;4;6;0;6;2;2;0;0;0;12;0;2;0;2;6;2;0;4;4;0;0;0;2;0;0;2;0
home;0;0;0;0;0;0;0;0;0;2;0;12;12;4;0;6;2;0;4;14;42;4;6;2;0;0;0;4;0;2;2;0;2;18;8;0;0;4;0;0;6;2;0;0;0;6;6;6;6;2;2;0;0;10;0;2;0;4;0;0;0;0;4;0;2;10;2;0;6;0;0;8;0;6;4;0;0;0;2;0;0;2;0;0;4;4;2;2;0;0;0;4;0;4;0;2;2;6;2;4
working;0;0;0;0;0;0;0;0;0;0;0;10;6;12;0;8;0;0;6;0;4;4;2;8;2;0;0;10;4;6;2;0;10;0;4;0;10;0;4;12;0;4;6;2;4;2;8;8;0;8;0;0;0;0;2;0;2;4;0;4;2;2;4;6;0;2;4;2;0;0;0;2;0;2;2;0;4;6;2;2;0;10;4;0;2;4;2;2;4;0;2;0;0;0;0;10;4;2;8;2
