;illinois;state;de;work;care;people;health;en;working;federal;new;que;across;home;year;take;help;families;public;para;government;la;community;virus;students;administration;covid19;million;nation;workers;los;states;stay;businesses;continue;together;proud;children;communities;el;residents;testing;opportunity;las;illinoisans;best;access;thank;medical;clear;able;education;budget;crisis;#covid19;capacity;schools;program;statewide;possible;order;cases;lives;response;local;support;college;una;school;additional;spread;everyone;justice;forward;system;business;social;fight;put;next;place;officials;general;food;future;dedicated;please;@realdonaldtrump;past;es;family;still;ensure;taking;por;serve;millions;chicago;office;services
illinois;0;130;16;36;16;38;26;16;22;20;42;10;36;20;26;10;16;28;22;14;12;10;20;12;10;24;26;24;30;12;6;18;10;14;16;14;32;18;16;8;16;16;10;8;6;16;14;6;4;8;4;16;8;6;22;8;10;18;12;14;4;8;8;8;14;16;10;2;16;10;8;4;12;14;8;6;6;16;8;12;10;10;6;8;4;12;8;16;8;0;8;2;12;10;2;14;10;8;6;6
state;0;0;0;46;18;32;34;0;44;24;28;0;70;18;28;12;16;36;26;0;30;0;16;6;12;26;18;14;34;10;0;14;14;14;18;14;14;20;16;2;6;10;14;0;16;18;10;18;6;8;10;8;12;6;12;8;10;10;2;8;4;8;8;12;12;10;8;0;12;6;14;0;10;14;4;4;4;10;12;22;4;16;8;4;8;6;2;8;6;0;6;4;12;14;0;12;12;10;16;12
de;0;0;0;0;0;0;0;56;0;8;0;56;0;0;0;0;0;0;0;46;0;40;0;8;0;0;2;0;0;0;34;0;0;0;0;0;0;0;0;28;0;0;0;28;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;26;0;0;0;0;22;0;0;4;0;0
work;0;0;0;0;10;20;8;0;12;8;8;0;14;14;2;6;14;6;2;0;20;0;6;4;6;8;2;2;2;8;0;2;4;10;6;10;6;4;0;0;2;0;8;0;4;8;2;6;4;2;8;4;0;2;4;2;8;2;0;2;2;0;4;2;2;6;4;0;6;2;2;0;4;6;4;2;8;0;6;0;6;0;4;0;2;6;2;8;2;0;0;6;6;6;0;2;4;4;0;0
care;0;0;0;0;0;4;60;0;6;4;8;0;8;8;2;8;14;6;4;0;2;0;2;8;2;4;10;0;4;24;0;2;8;2;0;0;2;8;4;0;10;6;4;0;2;10;18;2;12;4;6;8;0;4;2;8;0;2;6;0;4;8;0;0;0;4;2;0;0;2;6;4;0;0;6;4;4;2;4;2;8;2;2;2;2;4;4;0;0;0;0;0;10;6;0;2;4;2;4;4
people;0;0;0;0;0;0;10;0;14;4;8;0;14;12;4;6;6;4;6;0;6;0;2;6;2;2;4;2;2;4;0;4;6;4;4;2;6;0;2;0;0;0;6;0;2;6;2;6;4;0;6;2;0;2;2;0;0;0;0;10;2;2;12;0;0;2;4;0;2;0;0;2;2;4;2;4;2;6;2;8;0;2;2;4;2;4;4;4;6;0;2;6;2;2;0;4;6;2;4;2
health;0;0;0;0;0;0;0;0;10;10;8;0;8;2;4;10;12;0;24;0;0;0;6;8;0;4;8;0;6;22;0;2;2;4;2;6;0;0;4;0;12;4;6;0;2;2;14;0;4;4;4;8;0;10;0;10;0;0;6;4;0;4;2;4;6;2;0;0;2;2;4;2;0;0;10;2;2;0;6;0;6;18;2;0;2;0;4;2;6;0;0;0;6;0;0;2;2;6;8;0
en;0;0;0;0;0;0;0;0;0;4;0;48;0;0;0;0;0;0;0;42;0;30;0;8;0;0;2;0;0;0;30;0;0;0;0;0;0;0;0;22;0;0;0;26;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;28;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;18;0;0;0;0;22;0;0;4;0;0
working;0;0;0;0;0;0;0;0;0;8;14;0;16;2;12;2;8;32;4;0;8;0;2;6;0;16;0;0;8;4;0;4;4;10;8;16;2;4;6;0;12;4;2;0;4;4;2;2;0;0;0;2;4;4;2;10;2;2;10;8;0;0;4;4;4;6;0;0;2;0;4;4;2;8;2;2;0;0;6;0;4;4;6;8;6;6;0;6;6;0;4;2;6;4;0;4;2;0;4;4
federal;0;0;0;0;0;0;0;0;0;0;2;6;4;2;0;8;4;0;8;6;34;4;2;2;2;2;2;2;2;0;2;12;0;0;10;2;0;2;4;4;4;10;0;4;4;2;8;2;4;2;6;0;0;2;0;8;2;8;2;10;2;2;2;10;10;4;0;2;2;2;4;0;0;0;0;0;0;2;2;0;0;14;0;4;0;0;0;0;0;4;0;2;0;4;4;2;0;2;2;4
new;0;0;0;0;0;0;0;0;0;0;0;0;4;4;16;4;4;6;4;0;2;0;0;4;2;6;4;14;2;8;0;4;2;10;0;10;10;2;6;0;6;4;12;0;0;4;2;0;2;6;2;6;2;2;4;6;2;4;2;4;2;12;2;4;2;8;2;0;4;4;6;0;2;2;2;6;2;4;4;2;0;0;2;0;4;6;0;6;6;0;0;2;6;4;0;2;2;2;4;2
