;rhode;thank;islanders;coronavirus;crisis;help;please;everyone;#askgovraimondo;hard;businesses;working;health;riers;together;face;families;available;new;safe;home;support;people;care;site;work;virus;lost;ri;order;questions;share;call;family;still;public;proud;special;school;important;state;announce;ways;loved;april;means;looking;program;find;students;grateful;@rihealth;members;testing;workers;visit;ones;may;rules;community;stay;difficult;friends;coverings;take;youve;hope;week;sad;continue;quarantine;wear;business;cant;communities;anyone;physically;staff;prayers;social;taking;loan;remind;sign;island;jobs;soon;incredibly;violence;contact;thoughts;across;announced;employees;kids;provide;faith;asked;federal;enough
rhode;0;12;58;30;12;10;12;4;2;4;0;2;2;2;10;0;12;6;12;4;0;6;0;2;4;2;6;26;2;0;2;16;0;2;2;0;4;4;2;2;4;0;6;14;0;0;2;2;2;0;2;2;2;6;4;2;14;2;0;4;0;6;8;0;2;0;8;0;14;0;0;0;0;0;6;2;0;0;14;0;0;0;0;4;14;2;0;4;0;0;14;2;0;2;0;0;2;0;0;0
thank;0;0;8;2;6;0;0;6;2;10;2;8;2;2;14;2;4;6;0;4;0;8;0;2;0;6;0;0;8;0;4;0;2;2;0;4;0;8;2;2;10;0;4;0;0;0;0;2;0;4;4;2;0;0;4;0;0;2;0;2;0;0;2;2;2;0;4;2;0;4;0;0;0;4;2;0;4;6;0;2;2;0;0;0;2;0;0;6;0;0;0;8;0;2;0;4;4;0;0;2
islanders;0;0;0;28;10;6;12;2;2;2;0;0;2;0;10;0;12;4;8;2;0;4;0;0;2;2;4;26;0;0;2;14;0;2;2;0;4;2;0;0;4;0;6;14;0;0;0;0;2;0;0;2;0;2;2;0;14;2;0;2;0;6;8;0;0;0;8;0;14;0;0;0;0;0;6;0;0;0;14;0;0;0;0;2;0;2;0;2;0;0;14;2;0;0;0;0;2;0;0;0
coronavirus;0;0;0;0;4;0;8;2;2;0;0;0;0;0;0;2;12;0;2;0;0;0;0;0;4;0;10;26;2;2;2;14;4;2;2;2;0;4;0;2;0;0;0;14;0;0;2;0;0;0;2;0;2;0;0;0;14;0;2;2;0;6;8;0;0;2;2;2;14;0;2;0;0;2;8;2;2;0;14;0;4;0;0;2;0;0;0;2;0;2;14;0;0;0;0;0;0;0;0;0
crisis;0;0;0;0;0;8;2;4;2;6;4;6;8;4;6;0;2;6;0;0;4;10;0;6;0;0;0;4;0;4;0;4;2;2;0;2;0;2;0;0;4;2;8;6;4;0;2;2;4;0;0;2;2;0;2;0;6;0;0;2;0;0;0;0;0;0;2;2;4;2;0;0;0;0;4;2;0;2;0;0;2;0;4;0;0;0;0;2;4;0;0;2;0;2;2;0;2;0;2;0
help;0;0;0;0;0;0;8;2;4;2;0;4;6;2;2;2;0;8;4;2;2;2;4;4;2;0;2;0;2;0;2;2;4;0;4;2;0;0;0;0;2;0;2;2;2;0;6;2;4;0;0;0;0;4;0;2;2;4;2;0;2;0;0;0;0;0;0;2;2;2;2;2;2;2;0;2;2;0;0;2;0;0;2;2;4;4;0;0;4;0;0;0;0;0;2;2;0;2;0;0
please;0;0;0;0;0;0;0;6;10;2;0;8;6;0;2;0;4;4;2;2;4;2;2;0;0;2;2;8;0;0;0;4;2;6;4;0;2;2;0;0;0;0;0;4;0;2;2;2;4;0;0;0;0;0;0;2;4;4;2;0;6;4;4;0;2;2;0;0;6;4;2;0;2;2;2;2;2;0;8;2;0;4;2;2;0;0;2;2;2;0;8;0;4;0;0;0;0;2;2;4
everyone;0;0;0;0;0;0;0;0;4;2;2;4;2;2;4;0;0;2;2;2;4;2;2;2;2;4;2;2;0;4;2;0;2;4;4;2;2;2;0;4;0;2;2;2;0;4;0;0;0;2;4;0;4;2;0;2;2;4;8;0;4;0;4;0;0;2;0;2;0;2;4;0;2;6;0;2;4;0;2;2;2;0;10;2;2;0;0;2;2;2;2;0;0;0;0;0;0;4;0;4
#askgovraimondo;0;0;0;0;0;0;0;0;0;4;0;8;2;2;0;0;0;0;0;6;4;0;6;0;2;4;0;0;0;4;6;0;0;4;4;0;0;4;0;2;0;0;0;0;2;4;4;0;4;2;2;0;0;2;0;0;0;0;0;0;6;0;2;0;2;0;2;2;0;0;2;0;0;0;0;6;0;0;0;2;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;4;2;2
hard;0;0;0;0;0;0;0;0;0;0;2;6;2;4;2;0;2;0;4;4;0;2;4;2;2;6;0;0;0;0;0;0;0;6;0;4;4;4;4;2;0;4;2;2;2;0;0;4;2;0;2;2;2;2;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;2;0;2;0;2;4;0;2;2;0;0;2;0;2;0;0;0;0;6;0;0;0;0;0;2;2;0;4;0;2;0
