;work;school;riers;ri;proud;year;program;housing;high;prek;ris;honor;public;businesses;jobs;expand;@realjobsri;continue;skilled;students;workforce;training;providence;home;boat;grant;supports;business;lets;fully;internship;transform;community;affordable;schools;gun;pass;readiness;thank;real;build;thousands;support;workers;electric;improve;@prepare_ri;possible;proposed;funding;good;westerly;@asa_org;deserve;job;help;fund;@gdelectricboat;ive;corner;early;memory;past;hard;preserve;measures;announce;pawtucket;reforms;health;visiting;permitting;nightclub;seventeen;great;spring;lost;provide;state;hear;solutions;participate;creatively;@rightstartri;assembly;nationally;making;partners;needs;struggle;opportunities;vision;stream;voucher;advocates;served;top;cut;another;fire
work;0;6;4;0;6;2;6;0;6;2;6;2;2;2;4;4;4;6;4;4;4;4;6;2;2;2;0;0;2;4;2;4;4;0;4;0;0;2;4;4;2;2;2;4;2;4;2;4;0;2;4;2;2;2;2;0;4;2;0;2;2;0;0;2;2;0;0;0;0;2;2;0;0;0;2;0;0;2;2;2;0;2;2;2;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0
school;0;0;0;4;0;4;4;0;8;2;0;0;2;0;0;2;0;4;0;4;2;2;4;0;0;4;0;0;0;0;4;4;4;0;4;0;0;2;4;0;0;0;0;0;0;0;4;2;2;2;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
riers;0;0;0;2;0;2;0;2;0;0;2;2;0;2;4;0;4;2;4;0;4;0;0;2;2;0;2;0;4;4;0;0;0;2;0;2;4;0;0;4;2;0;0;2;2;0;0;0;0;0;4;2;0;0;0;0;4;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
ri;0;0;0;0;2;6;2;4;2;2;0;2;2;4;0;2;0;0;0;0;2;0;0;0;0;2;2;2;2;0;2;0;0;4;0;0;2;0;0;0;2;2;0;0;0;0;2;0;4;2;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;2;0;2;2;0;0;0;2;2;0;0
proud;0;0;0;0;0;0;2;0;0;2;2;2;2;2;0;4;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;4;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;0;0;2;2;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;2;0;2;0;0
year;0;0;0;0;0;0;2;4;2;2;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;2;0;2;0;0;4;0;0;2;2;0;0;2;0;0;0;0;0;2;2;4;4;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;2;0;0;2;0;0;0;2;0;0;0
program;0;0;0;0;0;0;0;0;4;2;4;0;2;0;0;4;0;0;0;2;2;2;2;2;0;4;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;4;4;0;2;0;0;4;2;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;0;0;2;0;0;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
housing;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0
high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;4;2;2;4;0;0;4;0;0;0;0;4;4;4;0;4;0;0;2;4;0;0;0;0;0;0;0;4;2;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
prek;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
