kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
florida,26,florida,15,#covid19,10,#covid19,20,florida,70,florida,29,florida,165,florida,48,florida,117,florida,165
state,16,state,7,covid19,10,florida,18,#covid19,35,#covid19,22,#covid19,87,state,29,#covid19,77,#covid19,87
floridas,14,program,4,florida,7,great,13,new,27,budget,20,state,74,floridas,18,state,45,state,74
year,11,lives,3,state,6,watch,10,care,25,state,17,floridas,62,great,11,floridas,44,floridas,62
great,10,gulf,3,la,5,testing,9,state,21,floridas,16,great,44,year,11,watch,35,great,44
hurricane,9,approved,2,thank,4,safe,9,floridas,21,conference,15,new,41,floridians,11,great,33,new,41
new,9,bullock,2,de,4,thank,8,facilities,20,press,15,watch,37,new,10,press,33,watch,37
strong,8,fintech,2,visite,3,briefing,8,tune,18,million,13,thank,37,hurricane,10,conference,33,thank,37
recovery,7,details,2,spread,3,curve,8,phase,18,@floridachannel,12,conference,34,#covid19,10,@floridachannel,32,conference,34
communities,7,grant,2,para,3,todays,8,rate,17,live,12,care,33,covid19,10,new,31,care,33
info,7,justice,2,residents,3,news,8,thank,17,regarding,12,press,33,million,9,care,30,press,33
million,7,info,2,última,3,@floridachannel,8,test,17,watch,12,@floridachannel,33,info,9,tune,30,@floridachannel,33
fl,6,help,2,floridians,3,floridas,7,press,17,tune,12,tune,31,communities,9,testing,28,tune,31
billion,6,veterans,2,healthcare,3,state,7,great,17,major,12,floridians,29,thank,9,thank,28,floridians,29
family,6,duty,2,actualización,3,job,6,conference,17,announcement,11,testing,29,help,9,phase,27,testing,29
floridians,6,local,2,obtener,3,together,6,longterm,16,year,10,live,28,strong,9,live,26,live,28
opportunities,6,l,2,prevent,3,health,6,positivity,16,funding,9,phase,27,program,9,facilities,23,phase,27
economic,6,college,2,dr,2,sites,6,testing,15,announce,9,million,26,infrastructure,8,sites,21,million,26
announce,6,violence,2,1866,2,stepbystep,5,may,15,billion,8,year,26,pleased,8,safe,21,year,26
