;florida;#covid19;budget;state;floridas;conference;press;million;@floridachannel;live;regarding;watch;tune;major;announcement;year;funding;announce;billion;includes;202021;making;holding;phase;proud;plan;pleased;nation;1;families;work;fiscal;students;system;fl;governor;local;testing;counties;provides;2;orlando;recovery;beach;teacher;support;may;#safesmartstepbystep;enter;learn;communities;election;12pm;ron;desantis;help;sign;2020;floridians;fls;federal;hb;continues;education;season;makes;initiative;water;athletes;@fema;tallahassee;innovation;joined;public;program;health;force;full;schools;increase;committed;july;working;partnership;information;continue;increases;pandemic;historic;excited;miamidade;thank;great;thanks;seniors;requirements;melbourne;per;gables;used
florida;0;10;6;8;6;0;0;10;0;0;0;0;0;0;2;2;6;16;4;4;4;2;0;10;2;6;12;8;8;4;0;0;4;2;4;0;6;4;6;0;6;0;2;4;2;4;4;4;6;6;4;0;0;0;0;4;0;2;0;0;2;2;2;4;2;0;4;2;2;2;0;4;0;0;4;0;2;6;2;0;2;2;2;6;4;6;2;4;6;4;4;2;2;2;0;0;0;0;0;2
#covid19;0;0;4;10;4;18;18;8;10;6;18;6;10;0;0;2;2;4;2;4;4;0;10;0;0;2;4;0;4;2;4;2;2;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;2;0;2;0;0;4;4;0;2;0;0;0;0;0;0;0;2;2;2;0;0;2;0;4;0;0;0;0;2;0;4;2;0;0;0;2
budget;0;0;0;14;20;4;4;12;2;2;4;2;2;4;0;12;12;0;10;14;14;0;2;0;4;2;0;0;4;2;0;8;0;6;0;2;0;0;0;8;0;0;2;0;2;2;0;2;0;0;2;2;0;0;0;0;0;4;2;4;2;0;4;4;0;0;0;4;0;0;2;0;0;4;0;2;0;0;0;6;2;0;0;0;2;2;4;2;2;0;0;0;0;0;0;0;0;2;0;0
state;0;0;0;0;6;4;4;6;2;2;4;2;2;4;0;2;6;6;6;4;4;0;2;0;4;0;4;2;2;2;2;2;0;4;4;2;0;0;2;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;4;4;0;0;2;6;0;0;0;2;4;2;0;2;0;2;2;4;0;0;0;0;0;4;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2
floridas;0;0;0;0;0;0;0;8;0;0;0;0;0;2;0;10;8;0;6;10;10;0;0;4;2;10;0;0;2;0;0;8;0;4;0;2;2;0;4;4;2;0;6;2;0;2;2;8;4;0;4;2;0;0;0;2;0;2;2;0;2;0;2;4;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;4;4;2;2;0;2;4;2;0;2;0;2;0;0;0;0;0;0;2;0;0
conference;0;0;0;0;0;0;30;0;14;14;22;14;14;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
press;0;0;0;0;0;0;0;0;14;14;22;14;14;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;6;6;2;6;0;0;0;2;2;4;2;6;2;0;2;2;2;2;0;2;2;0;4;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;2;2;0;2;0;2;2;0;2;0;0;2;2;0;0;0;0;2;2;4;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0
@floridachannel;0;0;0;0;0;0;0;0;0;0;12;0;24;10;10;0;0;0;0;0;0;10;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
live;0;0;0;0;0;0;0;0;0;0;8;24;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0
regarding;0;0;0;0;0;0;0;0;0;0;0;8;12;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;10;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
major;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;4;0;2;2;2;10;0;0;0;0;0;0;0;2;0;0;0;2;0;6;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;4;6;6;0;0;0;2;2;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0
announcement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;4;6;6;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;4;0;0;0;2;2;2;0;0;0;0;8;0;2;0;2;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
funding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;8;4;0;0;0;0;2;4;0;0;4;0;2;2;4;2;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;0;0;2;4;4;0;0;4;0;0;0;0;0;0;0;2;2;2;0;2;0;0;2;2;2;0;0;2;0;2;4;2;4;0;0;0;0;0;0;0;0;2;0;0
announce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;12;4;2;2;0;0;2;0;4;0;2;0;2;0;2;0;0;2;0;2;2;0;2;0;2;0;0;0;0;2;0;2;0;0;4;0;0;0;2;0;2;0;2;2;0;2;2;0;2;0;2;0;4;0;0;2;0;4;0;0;0;2;2;4;2;0;0;0;0;0;0;0;0;0
