;florida;state;floridas;great;year;floridians;new;hurricane;#covid19;covid19;million;info;communities;thank;help;strong;program;infrastructure;pleased;family;@flsert;recovery;work;continue;opportunities;announce;fl;administration;proud;initiative;president;forward;economic;executive;details;best;major;2020;season;billion;nation;provide;states;lives;@flcaseydesantis;opportunity;business;remains;families;resources;2019;michael;health;la;awarded;efforts;office;parents;federal;grant;future;natural;chance;order;residents;taxes;enjoyed;county;military;stand;critical;job;legislature;bold;area;prevent;committee;protecting;happy;statewide;count;fund;support;throughout;visit;industry;public;duty;low;everglades;fight;de;session;school;positive;capitol;success;impact;commitment;safe
florida;0;28;10;8;2;10;6;4;4;0;10;8;4;8;2;8;10;6;6;0;6;2;6;6;8;6;2;2;4;6;2;2;8;0;2;8;4;6;4;2;10;6;4;4;4;6;8;8;4;2;4;2;4;0;2;6;0;4;6;4;4;2;0;0;4;6;6;4;4;6;4;6;4;0;0;0;2;2;2;4;2;4;6;4;2;4;4;0;6;0;0;0;2;6;0;6;4;4;2;2
state;0;0;6;2;2;6;4;2;4;0;2;2;0;2;2;4;6;0;2;4;6;2;6;4;0;2;4;0;4;6;0;4;2;6;6;6;2;0;4;0;10;0;2;2;0;2;8;8;0;2;2;2;0;0;2;2;4;0;2;2;4;0;2;4;2;4;2;4;4;2;2;4;2;0;0;0;0;4;0;2;0;0;0;2;0;2;0;2;4;0;0;0;2;4;2;4;4;2;0;0
floridas;0;0;0;2;2;2;4;0;2;0;0;4;2;6;6;4;0;0;0;0;0;0;4;2;0;2;0;2;6;2;4;2;6;2;4;2;2;4;4;4;2;4;4;0;2;4;4;4;0;2;2;0;0;0;0;2;0;2;4;0;4;4;4;0;0;2;4;0;2;0;0;2;2;2;2;0;2;2;0;2;2;0;2;0;2;6;0;0;2;0;4;0;2;0;6;0;4;4;0;0
great;0;0;0;0;6;4;0;2;0;0;2;0;0;4;0;0;2;0;0;0;0;2;6;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;2;4;0;0;2;0;0;2;0;0;0;6;2;4;0;2;4;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;2;0;0;0;2;2
year;0;0;0;0;0;2;6;4;0;0;2;2;0;0;0;0;2;0;0;4;2;4;4;0;0;0;0;0;2;0;0;4;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;2;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2
floridians;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;6;2;2;0;0;2;0;2;0;6;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;2;0;2;0;0;2;2;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;2;0;0;2;4;2;0;6;0;2;2;4;4;2;2;0;2;2;4;4;0;4;2;0;2;0;0;0;2;2;4;2;0;4;2;2;0;0;0;2;2;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
hurricane;0;0;0;0;0;0;0;0;0;0;10;2;8;0;4;0;6;4;0;0;8;12;0;2;0;0;2;4;2;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;4;8;0;0;6;0;2;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
#covid19;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
