;health;nevada;nevadans;state;thank;#covid19;covid19;nv;care;public;help;emergency;medical;#stayhomefornevada;working;businesses;continue;great;provide;schools;work;information;local;nevadas;spread;together;please;protect;ty;response;take;office;measures;community;part;federal;live;tune;workers;vegas;social;services;good;people;important;situation;looking;thanks;safe;press;stay;close;families;school;students;employees;hard;proud;watch;conference;essential;facebook;food;available;may;everyone;healthy;safety;states;distancing;mitigate;nonessential;team;home;put;governors;risk;positive;support;virus;ensure;partners;fight;las;drugs;remain;directive;taking;family;find;unemployment;next;masks;able;new;updates;related;critical;world;give
health;0;20;30;24;8;18;14;8;28;8;10;10;6;8;8;2;12;2;16;4;8;18;12;6;12;4;6;14;4;16;8;0;10;0;10;4;0;0;18;0;8;6;4;6;4;2;6;4;14;4;6;0;0;2;0;10;4;8;0;4;8;0;4;8;4;2;10;12;6;4;6;0;6;4;8;2;6;2;6;8;4;10;6;0;0;4;2;4;2;4;2;4;4;4;2;6;4;0;4;2
nevada;0;0;14;22;20;16;10;0;8;8;6;4;2;12;2;2;8;4;4;6;4;4;4;4;0;4;8;6;4;12;4;8;4;2;8;8;4;4;2;4;4;0;8;2;2;8;4;10;0;8;4;4;2;2;4;2;8;4;4;6;0;0;4;0;2;4;2;2;2;4;4;0;4;4;0;8;0;4;2;0;8;0;2;2;0;4;0;4;2;0;0;6;2;2;2;4;2;0;4;4
nevadans;0;0;0;10;12;8;12;4;10;8;12;8;12;8;8;4;10;4;12;4;6;12;8;6;10;10;8;16;2;4;8;2;10;2;4;4;0;0;8;6;8;2;6;4;6;4;0;10;12;4;4;4;2;4;4;4;2;8;4;2;2;0;0;6;0;2;6;8;0;8;4;2;0;4;6;2;0;2;4;6;6;8;2;4;4;2;4;4;2;4;6;2;4;4;0;2;6;4;2;4
state;0;0;0;0;8;10;10;10;4;12;8;10;2;4;8;2;6;2;8;8;6;8;8;6;4;6;0;6;2;10;4;2;8;6;4;4;8;6;4;0;0;2;4;2;8;6;4;2;6;0;2;0;2;8;4;8;10;8;4;0;6;8;0;4;2;2;4;4;0;0;4;0;2;0;2;0;2;0;2;0;2;4;2;0;2;0;0;10;4;0;4;0;0;0;2;4;4;0;0;4
thank;0;0;0;0;0;8;0;6;4;0;2;0;0;8;6;2;0;8;6;4;0;2;2;4;0;2;12;2;0;0;2;2;2;6;6;2;4;4;6;10;2;0;6;0;2;2;8;2;4;4;0;0;2;8;6;0;6;4;2;4;2;4;2;0;2;4;2;0;2;2;0;0;2;2;0;2;0;0;4;0;0;0;4;6;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2
#covid19;0;0;0;0;0;0;0;16;6;2;6;6;4;6;4;2;4;2;2;0;2;8;4;4;8;4;4;4;2;10;4;12;6;6;4;2;6;8;2;2;0;0;2;0;8;6;8;0;2;0;2;0;0;0;2;0;0;4;10;0;2;4;0;2;0;0;0;4;4;0;4;0;2;2;4;6;0;2;0;0;4;2;6;2;2;0;0;6;2;6;0;0;0;0;4;6;8;0;2;4
covid19;0;0;0;0;0;0;0;0;4;4;2;14;6;0;2;0;4;2;6;0;0;6;2;6;8;4;0;2;0;6;2;0;4;0;2;2;2;2;0;0;0;4;0;2;2;4;0;0;0;4;0;0;4;2;0;0;0;0;0;4;2;2;0;6;0;0;2;0;0;0;8;0;4;0;2;2;2;2;0;6;4;2;4;0;4;2;2;0;4;0;0;2;0;4;0;4;6;2;0;2
nv;0;0;0;0;0;0;0;0;2;2;6;6;4;2;2;6;8;2;2;10;2;2;0;0;2;2;0;2;8;8;2;4;4;2;4;2;0;0;0;0;2;0;2;2;2;4;4;0;2;0;0;2;0;4;0;0;0;2;0;0;0;2;2;2;2;0;0;0;4;0;0;2;2;0;0;2;2;0;2;0;0;2;2;2;2;2;0;4;0;2;0;0;0;0;8;2;0;0;0;0
care;0;0;0;0;0;0;0;0;0;2;6;0;2;8;4;2;0;0;4;2;0;0;0;4;4;4;4;4;0;2;6;0;4;0;4;2;0;0;16;0;4;2;0;2;0;0;0;4;6;0;4;0;2;0;0;4;2;2;0;0;8;0;4;4;0;0;10;4;0;2;0;0;0;2;4;0;0;0;2;2;2;0;4;0;0;4;0;2;0;2;2;2;4;2;0;0;0;2;2;2
public;0;0;0;0;0;0;0;0;0;0;0;6;8;0;2;2;2;0;6;2;2;4;4;0;4;0;0;6;2;0;0;4;4;2;0;0;2;0;2;2;2;4;0;2;0;2;0;2;6;2;2;4;0;0;0;4;0;0;0;2;6;2;2;4;2;0;2;6;2;2;4;2;2;2;0;0;6;0;2;0;2;0;0;0;0;0;4;0;0;0;2;2;0;0;2;0;2;0;0;2
help;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;0;4;2;0;2;2;2;6;6;4;2;4;4;8;2;2;4;4;0;2;0;0;6;0;0;0;0;0;2;0;0;2;2;2;0;0;2;0;2;2;4;2;2;0;0;0;0;2;2;0;2;0;4;0;2;0;0;0;0;2;2;2;0;0;0;2;0;0;2;0;0;2;0;0;8;0;4;0;0;0;0;2;4;0
emergency;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;6;2;2;2;0;0;4;2;0;4;2;2;4;4;6;0;2;6;0;8;0;0;0;0;2;0;4;0;0;0;2;2;0;0;0;0;4;0;0;0;2;0;0;0;0;8;0;0;0;0;2;0;2;2;0;6;6;8;0;0;0;2;0;2;2;2;2;2;2;4;0;10;0;0;2;0;0;0;2;4;0;4;6;0;2
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;2;0;2;2;0;2;2;4;4;2;0;0;0;2;2;2;0;2;0;0;2;2;2;0;2;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;2;2;2;8;2;0;0;2;0;2;2;2;0;0;0;6;0;0;0;0;2;0;0;2;2;0;0;2;6;0;0
#stayhomefornevada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;2;0;2;0;2;2;4;6;0;0;2;6;0;0;0;4;0;2;0;2;4;4;0;2;0;2;2;2;4;2;2;4;2;0;0;0;0;4;2;2;2;2;0;0;2;0;4;4;2;0;4;0;0;0;4;2;0;0;2;2;0;0;0;0;2;0;0;2;0;2;4;0;0;0;2;2;2;0;2;4;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;6;4;0;4;4;6;4;6;0;2;4;6;2;0;4;2;0;0;0;0;2;4;2;2;0;2;4;0;0;0;2;0;0;2;2;6;4;4;10;4;0;0;0;2;2;2;0;0;2;0;4;2;2;2;4;0;0;0;0;0;2;2;2;6;0;2;0;2;2;0;0;2;4;0;0;2;0;4;2;0;2;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;2;4;0;0;4;4;0;6;2;0;0;2;2;2;4;2;0;0;6;4;6;2;2;0;4;2;0;2;0;2;10;2;0;0;0;0;2;0;0;8;0;2;0;0;2;0;0;4;2;2;14;0;4;2;0;2;0;0;0;0;4;0;4;0;6;6;0;0;2;0;2;0;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;8;6;8;6;4;4;2;6;4;2;0;4;2;2;2;6;0;0;0;2;2;2;6;2;0;6;0;0;4;2;2;4;0;8;2;2;2;6;0;2;0;0;2;6;2;2;2;0;0;0;2;2;0;0;0;4;2;0;2;2;6;12;4;2;0;4;2;0;2;0;0;2;0;0;0;2;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;4;0;0;4;0;0;0;0;2;2;2;2;0;4;0;4;0;2;0;2;0;2;2;2;2;0;0;2;4;4;0;4;0;0;0;0;0;0;0;0;6;0;0;2;4;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;2
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;14;4;2;6;2;2;2;0;4;4;2;4;2;0;0;0;0;0;0;8;4;0;4;4;2;0;2;6;4;2;0;2;4;4;0;4;6;0;0;2;0;2;6;2;2;2;0;2;6;2;0;2;2;0;0;4;0;0;2;0;4;2;0;0;2;2;0;2;0;0;2;0;2;2;2;2;0;2;2
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;4;2;2;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;4;0;6;10;0;4;2;0;0;0;2;2;2;2;0;0;2;2;0;0;2;0;0;0;0;2;0;2;0;0;2;0;2;0;2;0;2;2;0;0;2;2;0;2;2;0;2;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;4;4;0;2;2;2;2;0;2;2;2;0;2;2;2;2;4;0;2;4;2;2;0;8;0;0;4;0;8;2;4;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;4;0;2;2;0;0;0;2;4;0;0;0;2;0;0;0;0;2;4;0;0;0;2;0;0;0;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;2;2;0;6;2;2;2;0;2;2;2;0;0;2;2;0;2;0;2;4;4;2;6;4;2;0;2;4;2;0;2;6;0;0;2;2;0;4;0;2;4;2;0;2;2;2;0;0;2;0;0;0;0;0;0;8;0;0;0;0;2;0;0;2;0;2;0;2;4;4;2;0;0;2
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;4;2;2;0;0;2;2;4;0;0;0;6;0;0;2;4;0;2;2;0;2;2;2;2;0;0;2;2;2;6;0;2;0;0;0;6;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;2;10;2;6;0;2;4;4;2;0;0;0;4;0;2;2;2;0;0;0
nevadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;2;2;2;2;0;0;2;6;0;0;2;0;0;0;2;0;2;2;2;0;0;2;0;2;0;0;0;4;2;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;4;2;2;4;2;4;0;0;2;0;0;6;0;2;2;0;2;0;0;2;0;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;2;2;2;0;4;0;4;0;0;0;0;0;2;4;4;2;6;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0;2;0;0;6;2;0;4;0;2;2;6;0;2;0;2;0;2;0;2;4;6;4;0;0;0;4;2;0;2;2;0;0;0;4;2;0;4;2;2;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;2;0;0;4;0;0;2;0;0;2;2;0;0;2;0;2;0;4;0;0;0;2;4;2;0;0;2;2;0;0;0;0;0;2;0;0;2;2;0;2;2;4;0;0;6;0;0;0;0;0;2;4;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;2;0;0;2;0;4;4;0;2;4;0;2;2;2;0;4;0;0;8;2;0;0;0;0;0;0;2;0;8;2;4;0;0;2;2;0;2;0;4;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;2;0;0;0;0;0;2;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;6;0;0;0;0;0;2;0;6;0;0;2;0;2;0;4;0;2;2;2;0;2;2;6;0;0;0;2;0;0;0;2;0;0;0;6;2;6;0;0;2;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
ty;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;0;2;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;2;0;2;4;2;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;4;2;0;0;2;0;4;2;0;0;4;0;4;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;6;2;0;0;0;0;2;0;0;2;2;0;4;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;4;0;4;0;0;0;0;0;0;2;0;2;2;0;0;0;0;4;0;0;0;0;0;0;4;2;0;0;2;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;2;0;2;4;0;0;2;2;0;2;0;0;2;2;2;0;2;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;4;2;0;0;2;0;0
office;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;4;0;0;0;0;0;0;2;2;2;0;2;0;2;2;0;0;0;0;0;2;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;6;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;4
measures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;8;0;0;0;0;0;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;4;2;6;2;4;0;0;0;2;0;4;4;2;0;0;0;0;0;0;4;0;2;2;0;0;2;0;0;0;0;2;4
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;2;0;0;4;0;0;2;2;0;2;2;2;2;4;0;4;2;6;0;0;4;2;0;4;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;2;2;0;0;0;4;0;0;0;0;2;0;0;0;4;0;2;0
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;4;0;0;2;2;0;4;4;0;0;0;0;2;0;2;2;2;2;0;2;0;0;2;2;0;2;0;2;4;0;0;4;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;4;0;0;0;0;10;0;2;0;0;6;0;0;0;0;0;0;2;0;6;6;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;6;0;0;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;6;2;0;0;2;0;0;0;0;10;6;0;16;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;6;0;0;2
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;8;0;0;0;0;0;0;4;2;2;0;0;6;0;2;0;0;0;6;4;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;2
vegas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;4;0;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;14;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;0;0;2;4;2;4;2;0;0;0;2;2;0;0;0;2;0;2;0;0;2;0;2;2;18;2;0;2;6;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0;8;0;4;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;2;2;2;0;0;0;6;2;0;0;0;2;2;0;2;0;0;4;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;4;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;2;0;0;2;2;0;2;2;2;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;4;0;2;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;2;0;0;0;2;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;2;0;0;0;0;4;0;0;10;0;0;2;2;0;0;2;4;2;0;2;0;2;4;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;4;6;0;2;2
situation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;4;0;0;0;0;2;0;2;2;2;0;0;0;2;2;2;0;0;0;4
