;nevada;thank;phase;nevadans;state;continue;reopening;covid19;may;social;public;businesses;distancing;health;2;work;1;help;week;testing;face;stay;local;safe;nevadas;reopen;together;pandemic;new;people;working;plan;response;data;take;states;please;remain;home;gaming;efforts;able;still;services;guidance;system;community;capacity;staff;claims;communities;virus;protect;closed;care;coverings;pleased;leap;wear;test;@detrnevada;employees;office;strict;positive;press;county;covering;industry;morning;board;helping;restrictions;honor;good;directive;#covid19;safety;provide;leaders;director;emergency;call;requirements;recovery;families;50;unemployment;ability;department;service;united;great;live;facilities;counties;events;difficult;online;gatherings
nevada;0;44;8;26;36;14;18;22;12;10;16;16;10;16;4;24;6;16;16;16;10;4;10;14;2;8;12;10;6;4;16;12;12;4;4;8;4;0;4;10;14;6;8;4;6;2;4;2;4;6;8;2;2;2;4;2;10;4;2;6;4;6;8;2;0;2;6;4;12;10;8;8;0;10;10;0;12;2;4;6;10;4;4;4;8;6;0;6;4;14;8;16;14;0;0;4;4;4;8;0
thank;0;0;6;34;10;6;8;12;4;10;2;4;10;4;0;30;6;22;8;14;12;4;8;4;4;0;6;20;2;0;10;2;2;2;0;2;6;0;6;0;2;2;4;0;4;2;10;0;2;2;8;4;8;2;6;4;6;6;4;0;6;6;6;0;2;0;6;6;0;6;2;20;0;4;0;0;12;0;2;4;2;4;6;0;0;4;0;2;0;4;14;0;8;2;0;0;0;2;2;0
phase;0;0;0;18;12;24;38;4;22;14;16;20;14;6;54;4;54;2;2;2;8;14;12;6;14;18;4;0;10;6;2;8;0;12;10;0;8;18;6;2;4;6;10;2;12;2;2;8;2;0;2;8;2;10;2;6;2;10;4;0;0;2;4;6;4;12;6;2;2;0;0;2;10;0;2;10;0;0;4;6;0;0;8;4;4;0;8;0;4;0;0;0;0;4;6;2;4;0;4;4
nevadans;0;0;0;0;22;18;20;16;8;8;8;2;8;18;6;16;10;10;10;6;8;16;6;16;8;2;6;6;12;4;4;12;8;4;8;8;8;4;14;2;6;2;10;2;2;4;2;4;4;10;2;12;14;6;10;4;10;2;2;6;8;6;0;2;0;10;0;4;0;2;2;2;0;2;6;6;6;12;8;0;2;6;6;0;6;0;0;10;4;2;2;6;4;0;2;2;0;6;2;4
state;0;0;0;0;0;10;16;22;10;6;20;6;4;22;8;12;10;4;8;8;2;2;10;12;8;2;10;10;12;2;14;6;12;2;4;8;2;4;2;4;6;4;2;4;6;2;2;4;2;0;6;4;4;8;2;0;4;8;2;4;0;4;4;2;0;0;2;2;4;4;4;0;2;6;2;4;0;10;4;4;6;10;2;2;6;4;0;0;8;2;6;4;10;0;4;2;0;4;2;0
continue;0;0;0;0;0;0;6;4;6;14;14;10;12;12;8;10;12;4;6;10;4;10;4;6;4;4;8;6;10;6;8;2;4;4;2;0;2;6;10;2;6;8;2;2;0;6;2;8;6;4;0;6;2;0;2;2;2;4;2;6;4;2;2;4;4;0;0;2;2;0;0;0;4;0;0;0;2;0;6;6;2;0;2;2;0;0;2;4;6;2;0;0;2;0;2;0;0;0;4;4
reopening;0;0;0;0;0;0;0;2;12;4;6;6;4;8;16;4;20;2;6;6;0;6;8;12;16;4;4;0;8;0;4;12;0;14;8;4;8;8;2;8;2;2;2;2;6;0;2;0;2;0;0;2;4;4;2;0;8;8;0;0;0;0;0;4;2;12;4;0;10;2;6;6;0;0;8;4;0;6;4;4;2;0;2;2;10;0;0;0;2;2;0;2;0;0;0;0;0;0;4;0
covid19;0;0;0;0;0;0;0;0;4;4;16;2;4;12;2;12;2;10;10;16;4;2;4;2;8;0;6;12;8;2;4;4;12;4;8;8;4;2;2;2;8;4;2;4;0;8;2;6;0;0;0;0;0;4;6;0;2;0;4;6;0;2;4;2;10;2;2;4;2;4;4;2;0;0;4;2;2;2;2;2;6;10;2;0;2;2;0;0;2;0;0;4;4;0;2;0;0;4;0;4
may;0;0;0;0;0;0;0;0;0;20;10;8;14;4;16;4;8;0;2;2;6;2;0;2;2;26;2;2;2;8;2;6;2;6;4;4;0;6;4;0;0;2;4;8;4;0;0;8;0;2;2;2;0;4;0;6;2;6;0;4;2;2;2;12;0;2;2;0;0;2;2;2;6;0;0;2;0;0;2;2;4;0;2;6;0;0;8;0;0;0;2;2;0;0;6;0;4;2;4;4
social;0;0;0;0;0;0;0;0;0;0;16;10;60;0;10;2;4;2;2;0;18;4;0;8;4;16;2;0;2;20;2;0;2;0;4;0;4;8;8;0;2;4;6;0;2;0;2;8;2;0;2;6;4;4;2;10;0;0;10;0;0;0;2;16;0;0;2;8;0;4;0;0;8;4;2;0;0;0;0;0;0;0;0;14;2;2;14;0;0;0;4;0;0;0;2;0;2;0;2;10
