kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
state,29,#oklasots20,59,#covid19,45,#covid19,67,#covid19,39,oklahoma,32,state,197,state,107,oklahoma,123,state,197
oklahoma,21,state,39,state,39,oklahoma,52,oklahoma,39,oklahomans,24,oklahoma,184,oklahoma,61,#covid19,121,oklahoma,184
year,13,agencies,13,oklahomans,32,oklahomans,40,oklahomans,38,state,18,#covid19,166,#oklasots20,59,oklahomans,102,#covid19,166
top,10,states,11,oklahoma,30,state,38,state,34,#covid19,15,oklahomans,149,oklahomans,47,state,90,oklahomans,149
#oklaproud,7,#oklaproud,11,health,28,update,23,thank,24,join,13,continue,82,#covid19,45,continue,56,continue,82
10,6,oklahomans,10,continue,13,continue,23,continue,23,help,11,help,61,health,33,help,41,help,61
vision,6,oklahoma,10,people,13,help,22,safely,18,businesses,10,states,61,continue,26,states,39,states,61
new,6,year,9,working,13,live,19,data,16,continue,10,#oklasots20,59,#oklaproud,23,update,38,#oklasots20,59
administration,5,@okladoc,9,businesses,12,together,18,states,14,work,9,health,59,top,23,join,37,health,59
following,5,ok,9,protect,12,testing,17,phase,14,live,9,together,51,states,22,thank,37,together,51
oklahomans,5,job,9,help,12,response,17,sen,12,states,9,thank,50,year,22,live,36,thank,50
great,5,continue,9,take,11,states,16,oklahomas,12,food,8,work,50,work,21,together,35,work,50
work,5,top,8,care,11,ppe,15,work,12,@realdonaldtrump,7,join,50,new,21,oklahomas,34,join,50
shared,4,ten,8,please,10,workers,15,response,12,cities,7,oklahomas,48,help,20,response,33,oklahomas,48
boy,4,future,8,workers,10,join,15,plan,11,oklahomas,7,live,47,great,18,testing,29,live,47
public,4,new,8,critical,10,oklahomas,15,rep,11,update,7,#oklaproud,46,working,18,work,29,#oklaproud,46
continue,4,economy,7,respond,10,plan,14,reopen,11,leaders,7,update,44,agencies,18,safely,28,update,44
together,4,great,7,join,10,across,14,provide,11,together,7,across,44,business,17,across,27,across,44
governor,4,work,7,across,10,available,13,working,11,new,7,response,43,across,17,health,26,response,43
court,4,help,7,response,9,stay,13,2,10,business,6,working,42,together,16,plan,26,working,42
2020,3,business,6,resources,9,people,13,proud,10,health,6,great,40,care,15,data,25,great,40
place,3,agency,6,community,9,hospital,13,hb,10,forward,6,new,38,people,15,proud,24,new,38
honored,3,#okleg,6,order,9,#oklaproud,12,health,10,care,6,businesses,38,community,15,businesses,24,businesses,38
tax,3,quality,6,proactive,9,working,11,together,10,helping,6,testing,37,public,14,working,24,testing,37
justice,3,okla,6,business,9,please,11,across,9,listen,6,take,35,job,14,#oklaproud,23,take,35
working,3,oklahomas,6,work,9,health,10,positive,9,honor,6,provide,34,take,14,provide,22,provide,34
grow,3,world,5,states,9,thank,10,testing,9,counties,6,people,33,oklahomas,14,great,22,people,33
achieve,3,tulsa,5,together,9,businesses,10,protect,9,cares,6,proud,33,critical,14,take,21,proud,33
supreme,3,2019,5,live,8,great,10,join,9,roundtable,6,protect,33,businesses,14,ppe,21,protect,33
thank,3,program,5,testing,8,statewide,10,live,8,funding,5,critical,32,nation,13,protect,20,critical,32
agency,3,place,5,provide,8,take,10,#oklaproud,8,take,5,care,30,thank,13,critical,18,care,30
services,3,community,5,spread,8,proud,9,update,8,discussion,5,top,30,join,13,stay,18,top,30
grandfather,3,employees,5,visit,8,healthcare,9,great,8,american,5,safely,29,protect,13,people,18,safely,29
big,3,across,5,new,7,home,9,help,8,gaming,5,community,28,students,12,workers,18,community,28
okc,3,students,5,home,7,resources,9,critical,7,recover,5,business,28,order,12,new,17,business,28
#oktopten,3,calling,5,federal,7,safely,8,social,7,excited,5,data,28,provide,12,discuss,16,data,28
nation,3,health,5,public,7,data,8,fight,7,tulsa,5,plan,28,respond,12,phase,16,plan,28
stronger,2,process,5,safety,7,gaming,8,discuss,7,program,5,workers,28,future,11,reopen,16,workers,28
greatgrandfathers,2,reform,5,thank,7,remember,8,sb,7,act,5,nation,28,10,11,facebook,15,nation,28
leadership,2,nation,5,great,6,provide,8,continues,7,watch,5,year,27,live,11,statewide,15,year,27
enough,2,towards,4,oklahomas,6,april,8,economy,7,funds,5,please,25,visit,11,remember,15,please,25
schools,2,deliver,4,update,6,pandemic,8,tests,7,facilities,5,agencies,25,ten,11,please,15,agencies,25
elected,2,best,4,impact,6,critical,8,support,6,proud,5,economy,23,resources,10,watch,15,economy,23
mission,2,move,4,delivery,6,work,8,full,6,thankful,5,ppe,23,please,10,nation,15,ppe,23
recognize,2,funding,4,eo,6,facebook,8,reopening,6,learn,5,visit,23,workers,10,care,15,visit,23
decisions,2,strong,4,loans,6,watch,7,commitment,6,welcome,5,resources,22,vision,10,available,14,resources,22
next,2,creators,4,steps,6,unemployment,7,distancing,6,president,5,stay,22,agency,10,thankful,14,stay,22
life,2,remain,4,information,6,symptoms,7,based,6,great,4,job,22,@okladoc,10,full,14,job,22
dedication,2,20,4,quickly,6,measures,7,remember,6,across,4,healthcare,20,ok,10,hospital,14,healthcare,20
opportunity,2,vision,4,issued,6,safety,7,take,6,top,4,public,20,response,10,pandemic,14,public,20
signed,2,proud,4,students,6,ensure,7,test,5,nation,4,leaders,20,best,10,economy,14,leaders,20
serve,2,provide,4,executive,5,communities,7,1,5,secretary,4,ensure,20,remain,9,measures,13,ensure,20
accountability,2,service,4,top,5,surge,7,goal,5,house,4,students,20,leaders,9,ensure,13,students,20
protecting,2,care,4,facebook,5,unprecedented,7,bill,5,african,4,facebook,20,proud,9,food,13,facebook,20
progress,2,outdated,4,nation,5,supplies,7,blood,5,assistance,4,support,19,okla,9,sen,13,support,19
oklahomas,2,critical,4,healthcare,5,nation,7,continuing,5,fight,4,federal,19,economy,9,positive,13,federal,19
kansas,2,opportunities,4,supplies,5,team,7,recover,5,economic,4,proactive,19,proactive,9,communities,13,proactive,19
improving,2,#oktopten,4,officials,5,program,7,pandemic,5,engage,4,helping,19,testing,8,gaming,13,helping,19
leaders,2,loved,4,supply,5,crisis,7,responsibly,5,@okguard,4,watch,18,needs,8,community,13,watch,18
forward,2,address,4,agencies,5,protect,7,cases,5,response,4,future,18,safety,8,support,13,future,18
awareness,2,operations,4,requiring,5,@healthyoklahoma,6,community,5,community,4,home,18,government,8,helping,13,home,18
people,2,#oklaed,4,#oklaproud,5,care,6,lets,5,protect,4,communities,18,steps,8,continuing,12,communities,18
