;#covid19;oklahoma;oklahomans;state;update;continue;help;live;together;testing;response;states;ppe;workers;join;oklahomas;plan;across;available;stay;people;hospital;#oklaproud;working;please;health;thank;businesses;great;statewide;take;proud;healthcare;home;resources;safely;data;gaming;remember;provide;april;pandemic;critical;work;facebook;watch;unemployment;symptoms;measures;safety;ensure;communities;surge;unprecedented;supplies;nation;team;program;crisis;protect;@healthyoklahoma;care;visit;proactive;new;fully;part;fellow;continuing;tested;spread;questions;ready;full;thankful;neighbor;due;test;info;sites;may;gas;discuss;phone;committed;call;reopen;@okguard;comprehensive;force;providing;census;beds;vulnerable;next;federal;responders;fund;based;updates
#covid19;0;40;26;28;30;20;18;26;14;22;28;20;14;16;24;18;8;12;16;10;6;12;4;10;10;10;8;6;6;10;8;6;14;4;10;2;6;0;0;10;6;12;10;6;16;2;6;10;12;4;6;6;8;6;8;0;4;4;6;8;4;6;2;12;4;2;6;4;8;6;8;8;4;2;4;2;10;6;4;8;4;4;8;4;4;0;2;4;6;4;6;0;4;4;2;6;2;0;6;6
oklahoma;0;0;6;26;2;10;16;0;10;18;6;10;8;14;0;4;8;12;6;10;10;10;6;4;6;8;12;8;16;6;6;6;8;4;2;8;6;2;0;2;8;6;14;4;0;0;2;6;2;8;4;6;6;6;4;4;4;6;6;2;2;6;4;2;8;2;4;4;6;4;2;2;2;2;2;2;4;4;2;6;4;2;4;6;4;4;4;2;0;4;0;6;2;0;6;6;0;2;2;4
oklahomans;0;0;0;26;2;16;16;2;10;8;4;4;6;2;2;2;4;10;8;6;10;0;12;12;12;6;10;4;2;10;8;8;0;6;12;4;2;0;4;8;0;4;4;8;0;0;4;4;2;8;6;4;0;10;4;2;6;2;6;2;2;0;4;2;0;2;2;12;2;4;2;4;4;2;4;6;6;2;2;2;2;0;2;2;6;4;2;4;0;0;2;2;0;2;0;2;4;2;2;0
state;0;0;0;0;0;10;14;0;6;10;4;0;10;0;6;6;6;18;10;4;10;2;12;12;6;6;6;6;4;6;6;10;0;0;10;10;4;6;2;10;6;4;4;4;0;0;2;6;6;6;0;6;0;6;8;10;4;2;2;2;4;0;4;6;4;6;4;4;6;6;0;4;0;0;2;4;2;8;0;2;4;0;6;4;6;4;6;6;0;2;2;0;2;0;2;4;2;4;2;2
update;0;0;0;0;0;0;0;32;2;4;24;16;2;0;18;8;2;2;4;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;16;6;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;6;2;6;0;0;2;0;2;0;0;0;2
continue;0;0;0;0;0;0;14;0;12;4;2;2;4;4;0;4;4;4;4;2;8;0;6;6;4;6;4;6;0;2;4;2;2;2;4;0;4;0;2;4;0;0;4;6;0;2;0;0;4;4;4;4;0;6;4;0;2;0;2;2;0;2;2;4;0;0;2;2;0;0;6;0;4;0;0;2;2;0;0;0;2;6;0;0;0;0;0;4;0;0;0;0;0;2;2;2;0;0;2;0
help;0;0;0;0;0;0;0;0;4;2;0;0;0;6;0;0;0;4;2;4;8;0;8;4;2;2;4;6;6;4;2;6;4;2;4;2;0;0;2;6;0;0;2;2;0;0;2;0;4;0;0;6;0;8;2;0;2;6;6;0;0;0;2;4;2;0;2;8;0;0;2;0;2;0;0;6;0;0;0;0;2;4;0;2;0;4;0;2;0;2;0;2;0;0;0;0;2;0;0;0
live;0;0;0;0;0;0;0;0;0;0;22;14;2;0;18;8;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;16;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;8;0;0;0;0;0;0;0;0;2
together;0;0;0;0;0;0;0;0;0;0;2;4;4;2;2;0;0;4;2;6;4;0;6;2;2;2;4;2;0;0;4;2;0;4;0;0;0;0;6;2;2;4;4;4;0;0;0;0;2;0;4;0;0;2;2;4;0;0;0;2;2;2;0;2;0;0;0;0;0;0;6;0;0;2;4;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0
testing;0;0;0;0;0;0;0;0;0;0;2;4;4;4;0;2;0;6;8;0;2;0;0;4;4;2;4;0;2;10;2;2;2;0;0;0;0;0;0;2;0;0;6;0;0;0;0;12;0;2;0;0;0;2;2;0;0;0;0;0;2;0;4;0;4;0;2;2;4;8;0;0;0;0;0;0;0;6;2;10;2;0;0;0;0;2;0;2;0;2;0;0;0;0;2;2;0;0;0;0
response;0;0;0;0;0;0;0;0;0;0;0;18;4;0;20;8;2;2;0;2;0;2;0;0;0;2;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;16;0;2;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;6;0;2;2;0;0;4;0;0;0;0;2
states;0;0;0;0;0;0;0;0;0;0;0;0;6;4;16;2;6;0;2;2;2;4;0;0;0;4;2;0;4;2;0;2;0;2;0;0;4;0;2;0;0;4;0;2;12;0;2;0;0;4;4;0;4;2;2;0;0;0;0;0;2;2;0;0;4;2;0;0;2;0;0;2;4;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;4
