;#covid19;state;oklahomans;oklahoma;health;continue;people;working;businesses;protect;help;take;care;please;workers;critical;respond;join;across;response;resources;community;order;proactive;business;work;states;together;live;testing;provide;spread;visit;new;home;federal;public;safety;thank;great;oklahomas;update;impact;delivery;eo;loans;steps;information;quickly;issued;students;executive;top;facebook;nation;healthcare;supplies;officials;supply;agencies;requiring;#oklaproud;prioritize;mitigate;link;remain;schools;#flattenthecurve;ive;virus;prayer;labs;affected;remains;fellow;professionals;private;allow;needs;best;hard;vulnerable;lives;protecting;bill;ensure;pickup;guidelines;12;priority;leaders;22;proud;meet;support;economic;10;measures;owners;risk
#covid19;0;28;20;28;22;12;16;14;14;10;10;12;8;8;6;8;16;14;10;14;8;10;8;12;8;12;10;10;12;6;6;14;4;12;6;4;0;6;8;4;10;12;4;4;4;8;6;4;6;8;4;6;4;8;0;4;0;6;2;4;4;2;4;6;0;4;2;8;6;8;6;4;8;2;2;4;4;4;6;4;2;4;0;6;4;4;0;2;2;4;4;0;2;6;2;2;2;6;4;2
state;0;0;20;20;20;10;10;10;8;8;2;8;10;8;4;4;4;14;12;4;6;8;6;6;4;4;4;10;4;2;6;6;2;6;6;2;4;4;6;4;4;6;4;0;2;0;2;2;6;4;4;2;6;4;6;4;2;8;0;10;2;4;4;6;0;6;2;2;2;0;6;2;2;2;2;6;2;0;2;4;4;2;6;0;2;2;0;2;0;0;8;4;2;4;2;4;6;4;4;4
oklahomans;0;0;0;6;16;12;8;6;8;10;8;12;4;0;8;4;4;2;8;2;10;8;4;10;4;8;4;8;2;2;4;4;6;6;2;4;6;8;6;4;0;0;6;2;6;0;8;4;6;2;4;2;6;2;2;6;2;0;2;6;0;6;4;4;0;0;2;4;2;2;0;2;4;4;8;2;2;0;6;2;4;2;6;4;4;0;2;0;4;4;2;2;6;6;0;2;0;0;4;2
oklahoma;0;0;0;0;10;6;10;8;12;8;4;6;4;6;2;4;6;10;10;0;6;6;4;4;4;2;2;10;2;2;4;4;2;4;2;4;4;4;4;4;2;2;0;0;0;4;0;2;4;4;4;2;2;2;2;4;2;6;2;4;0;2;2;0;0;2;0;0;0;2;6;0;4;4;0;2;0;2;2;2;2;2;0;0;0;2;0;2;2;4;4;0;0;0;0;2;2;4;2;0
health;0;0;0;0;0;10;4;4;4;16;2;8;16;4;10;4;10;4;2;4;4;6;10;4;2;6;4;0;4;4;4;6;0;2;10;2;10;8;0;0;2;4;4;6;8;0;2;0;0;8;0;4;2;4;0;0;2;8;2;4;6;0;4;6;0;0;2;4;4;2;0;2;0;2;2;4;2;0;2;2;2;4;2;8;0;2;2;0;0;2;4;4;2;2;2;2;0;2;2;2
continue;0;0;0;0;0;0;6;4;2;10;4;12;2;0;2;0;8;2;4;0;2;2;6;6;0;0;2;4;0;0;4;0;2;0;4;0;0;4;4;4;0;0;4;0;4;0;6;0;0;2;4;2;4;0;0;0;0;2;0;0;0;4;6;2;0;2;2;4;0;4;2;0;2;2;4;0;0;0;2;2;0;2;2;0;0;2;0;0;0;4;2;4;0;2;2;4;0;2;0;0
people;0;0;0;0;0;0;0;6;2;4;6;4;0;2;0;0;8;4;2;0;2;2;4;2;2;4;0;6;0;0;2;2;2;2;4;0;0;4;0;0;0;0;0;0;0;0;2;0;2;2;0;2;4;0;0;2;0;0;0;0;0;0;4;2;0;2;0;4;0;4;4;0;4;0;2;2;0;0;2;0;0;4;0;0;4;2;0;0;2;4;2;0;2;2;0;0;2;2;0;2
working;0;0;0;0;0;0;0;0;6;2;2;2;2;0;2;2;8;0;6;2;4;2;6;2;2;2;6;2;0;4;6;0;0;2;0;2;2;4;8;4;2;0;0;0;0;0;0;0;4;2;4;4;0;0;0;4;0;2;0;2;0;2;2;0;0;4;4;2;0;0;0;2;2;0;0;2;0;2;2;0;6;4;0;0;2;2;0;0;4;0;0;0;0;2;2;0;0;2;2;0
businesses;0;0;0;0;0;0;0;0;0;2;4;2;2;0;0;2;4;0;2;0;2;2;4;2;8;2;2;0;0;0;4;2;4;2;0;2;2;4;2;0;0;0;2;0;2;6;2;2;4;2;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0
protect;0;0;0;0;0;0;0;0;0;0;4;6;2;0;2;4;4;0;0;2;4;2;6;6;2;0;2;2;0;0;0;2;0;2;2;2;6;6;0;0;0;0;2;0;2;0;4;0;0;6;0;4;4;0;0;0;0;2;0;2;0;0;4;4;0;2;0;2;0;2;0;0;0;4;0;2;0;0;2;4;0;4;2;0;0;2;0;2;0;4;2;4;0;2;0;4;0;2;2;2
help;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;2;2;2;0;2;0;0;0;2;4;2;2;0;4;2;4;4;0;2;0;0;2;0;2;0;2;0;2;0;2;2;2;2;0;2;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;0;2;2;4;0;0;2;0;4;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;2;2;0;2;2;0;2;0
take;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;2;2;4;4;0;6;12;0;2;2;2;0;2;0;0;2;4;0;0;2;4;2;0;0;0;0;0;6;0;8;0;0;4;0;4;2;0;0;0;2;0;0;2;2;2;2;0;0;2;0;4;0;2;2;2;2;4;4;0;2;2;2;2;0;2;0;0;0;4;0;0;0;2;0;0;2;2;0;0;0;4;0;2
care;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;6;0;2;0;4;0;4;0;2;2;4;0;0;2;2;2;0;0;4;0;2;0;0;0;0;0;0;4;6;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;4;2;0;2;0;0;0;2;4;0;0;0;0;0;2;4;0;0;0;2;2;0;0;4;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;2;2;0;0;4;2;0;0;2;2;0;0;6;0;4;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;2;4;6;0;0;2;0;0;2;0;0;0;0;2;4;2;0;0;0;4;6;0;0;0;0;2;0;0;0;0;0;6;0;0;2;0;4;0;0;4;0;0;0;2;2;0;0;0;0;0;6;2;0;0;2;2;2;0;2;6;0;0;2;0;2;0;2;0;0;2;2;0;0;0;2;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;6;0;2;0;0;2;0;2;2;0;2;4;0;2;2;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0
respond;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;2;2;0;4;0;0;0;4;0;2;4;2;0;2;4;2;2;0;0;0;4;4;0;2;0;0;6;2;2;0;0;0;0;2;2;0;2;4;2;4;0;0;2;2;4;4;4;0;0;2;0;2;0;0;0;0;0;2;2;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;4;0;2;0;0;0;6;10;0;0;0;0;0;2;0;0;0;2;0;8;8;0;0;0;0;0;2;0;0;0;0;0;10;4;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;6;0;0;2;2;0;0;0;4;0;2;8;4;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;6;2;0;0;0;0;2;0;0;0;2;4;0;0;0;4;0;4;0;2;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;2;0;10;0;0;0;0;2;0;0;2;0;0;0;10;8;0;0;2;0;2;0;0;4;0;2;0;6;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;2
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;4;0;0;2;0;4;4;2;2;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;2;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;4;2;2;0;0;0;4;0;0;0;0;2;0;0;4;2;0;0;0;2;2;0
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;6;2;0;0;0;0;2;0;2;2;4;2;0;0;0;0;0;0;0;4;0;0;4;0;2;0;4;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;2;2;0;2;2;4;0;4;4;0;0;0;0;0;0;2;0;2;0;2;6;0;10;0;0;0;0;0;2;0;2;0;0;4;0;0;2;0;4;2;2;0;2;0;0;0;2;0;4;0;0;2;2;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;2;0;0
proactive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;4;0;4;0;0;0;0;0;2;0;6;0;2;4;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;2;0;2;4;2;0;0;2;2;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;4;0;2
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;2;0;4;0;0;2;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;4;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;6;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;2;4;4;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;0;2;2;0;2;2;4;2;0;0;2;0;0;2;0;2;2;2;0;2;2;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;2;0;2
