;oklahoma;#covid19;oklahomans;state;continue;help;states;update;join;thank;live;together;oklahomas;response;testing;work;safely;across;health;plan;data;proud;businesses;working;#oklaproud;provide;great;take;ppe;protect;critical;stay;people;workers;new;discuss;phase;reopen;facebook;statewide;remember;please;watch;nation;care;available;thankful;full;hospital;pandemic;economy;measures;ensure;food;sen;positive;communities;gaming;community;support;helping;continuing;healthcare;funding;visit;due;program;social;recover;resources;business;next;based;2;part;@okguard;fight;leaders;rep;home;test;federal;counties;continues;hb;fellow;@realdonaldtrump;@healthyoklahoma;sb;distancing;safety;lives;honor;yesterday;proactive;secretary;virus;cities;spread;forward
oklahoma;0;70;36;70;24;32;22;6;16;36;6;24;6;16;20;24;32;24;16;14;22;20;22;16;14;10;24;16;8;8;22;10;14;16;16;14;8;14;2;8;4;6;6;12;10;6;18;6;10;14;6;8;8;4;10;0;16;4;14;14;10;12;12;14;6;6;12;8;18;2;16;6;14;8;6;6;10;10;10;6;8;10;10;8;6;8;10;6;4;6;8;6;10;8;6;2;4;6;4;8
#covid19;0;0;64;50;46;32;44;46;36;20;38;18;36;52;36;20;12;22;20;16;16;16;10;22;6;22;12;18;18;10;22;12;6;22;10;20;6;10;24;16;4;12;4;4;12;18;8;6;12;16;6;22;12;6;2;2;10;0;4;8;14;14;20;8;8;22;8;8;4;12;6;2;6;2;8;10;14;4;2;4;8;10;12;4;0;4;4;10;0;4;6;0;2;4;20;8;10;8;14;2
oklahomans;0;0;0;52;48;34;18;2;20;34;2;20;4;6;20;26;14;22;14;8;14;22;8;22;24;18;4;18;10;24;12;10;14;8;4;8;10;4;2;16;12;16;4;6;6;10;10;6;0;8;10;2;10;8;6;4;8;0;12;6;16;2;4;2;10;12;6;14;2;16;0;6;6;6;12;10;6;12;6;8;6;4;2;4;0;20;2;4;2;12;12;16;4;4;2;4;10;2;4;2
state;0;0;0;0;24;22;2;0;12;28;2;12;18;8;20;18;30;32;12;14;20;28;10;22;20;18;12;10;14;8;6;6;16;2;6;10;8;16;0;8;2;8;6;16;2;10;10;6;4;10;8;10;2;2;14;4;10;8;8;12;10;16;2;2;6;4;2;2;18;10;4;6;10;4;4;12;6;6;10;0;12;12;4;6;8;6;0;6;6;2;6;2;0;4;8;6;6;2;2;4
continue;0;0;0;0;0;18;12;0;2;10;2;20;6;6;14;14;10;4;16;14;14;8;10;10;8;10;2;10;10;12;14;4;12;4;2;0;8;8;0;4;8;6;8;6;8;4;0;8;0;6;8;8;6;2;0;2;4;0;4;2;2;0;2;0;6;2;0;12;4;6;2;4;4;6;8;6;8;0;0;4;0;2;0;4;0;2;2;4;2;10;4;4;0;0;8;2;8;0;10;8
help;0;0;0;0;0;0;4;2;2;10;4;8;6;0;4;6;2;10;2;0;2;8;10;8;14;12;8;4;0;0;8;4;8;6;6;4;0;0;0;6;4;2;0;0;4;2;6;2;0;6;6;4;2;6;2;0;10;0;8;6;2;2;4;6;2;6;10;0;4;4;2;2;0;0;2;4;4;4;2;2;0;2;2;2;2;14;2;2;0;0;0;6;0;0;4;6;0;2;2;4
states;0;0;0;0;0;0;0;28;24;4;24;6;4;34;6;4;6;0;6;10;12;4;0;4;0;2;8;4;6;0;2;2;2;4;4;10;4;2;16;2;6;0;0;2;4;2;0;4;4;4;8;2;6;0;2;2;0;0;2;2;0;2;0;0;4;2;0;2;2;2;4;0;4;2;2;0;2;4;0;2;2;0;0;2;0;0;2;4;0;2;4;2;4;4;2;0;2;0;4;0
update;0;0;0;0;0;0;0;0;30;0;54;4;12;40;4;0;0;4;2;4;0;0;4;2;0;0;0;0;2;0;0;4;0;0;0;2;2;0;28;0;0;0;8;0;0;4;0;6;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
join;0;0;0;0;0;0;0;0;0;0;26;12;14;32;0;4;2;4;4;8;2;6;2;2;2;4;0;6;2;0;0;2;0;2;2;12;2;2;28;0;2;6;4;2;0;2;2;0;2;4;4;2;0;4;0;0;4;0;6;0;2;0;0;2;0;0;2;2;2;2;0;0;0;2;0;0;0;12;0;2;0;2;0;0;0;0;2;2;0;2;0;2;6;0;2;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;8;2;6;6;12;2;16;2;0;4;10;8;10;14;8;2;0;12;8;8;4;4;8;0;2;2;0;0;4;2;2;0;2;4;2;0;0;2;12;4;0;4;2;22;0;0;0;4;2;4;4;8;0;0;0;0;2;0;0;2;2;2;0;4;6;6;2;20;4;0;2;0;2;10;8;2;0;8;2;6;0;2;2;0;2;0;0;0;0
live;0;0;0;0;0;0;0;0;0;0;0;0;12;34;0;0;0;0;2;2;0;0;8;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;26;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;2;0;2;0;4;0;0;2;0;0;2;2;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;20;2;8;2;2;0;2;4;6;8;4;2;4;4;2;6;10;4;2;0;0;2;0;2;0;6;4;8;8;2;2;6;6;0;8;4;2;6;2;2;0;2;0;14;0;2;2;0;2;0;0;0;6;2;0;2;2;0;2;0;2;2;8;0;4;0;0;0;0;0;0;4;2;0;4;0;2;2;0;2;0;0;0;6;2
oklahomas;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;8;8;0;10;20;10;0;6;2;0;2;6;2;2;0;2;2;0;0;8;12;2;8;6;4;0;0;8;4;0;2;2;4;2;0;16;4;2;2;0;0;2;4;2;0;2;6;0;0;2;6;0;2;6;0;2;2;6;4;4;2;0;2;0;0;0;6;2;0;0;0;6;0;0;2;2;0;2;2;4;4;0;0;2;2
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;4;2;4;0;2;0;4;0;4;2;0;6;0;4;2;0;0;0;8;4;2;22;2;0;0;0;0;0;0;2;4;2;4;0;0;2;2;0;0;6;0;2;4;2;2;0;4;0;0;0;0;0;2;2;4;0;2;2;4;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;12;2;2;0;6;0;6;0;6;4;2;12;0;10;2;2;4;4;0;0;2;0;10;0;4;2;0;2;8;2;2;2;0;0;0;2;0;0;6;2;0;0;2;4;4;2;0;4;0;0;4;0;0;0;2;0;0;4;4;2;0;0;0;8;2;0;2;0;2;0;4;0;2;2;0;0;2;0;0;6;0;0;4
